dataset,subset,model,mean_acc,std_acc,mean_gps,std_gps,mean_acc_class_0,std_acc_class_0,mean_acc_class_1,std_acc_class_1
ArtificialDataset3,all,LogReg,0.946,0.017435595774162677,0.9459607440150603,0.017482817709159305,0.952,0.020396078054371124,0.9399999999999998,0.03346640106136301
ArtificialDataset3,all,SVM-linear,0.945,0.02202271554554522,0.9449394988281318,0.022106008309589607,0.958,0.022715633383201095,0.9319999999999998,0.03815756805667782
ArtificialDataset3,all,SVM-rbf,0.985,0.009219544457292894,0.984993922718101,0.009228338594721342,0.9940000000000001,0.009165151389911688,0.976,0.01959591794226544
ArtificialDataset3,all,RandomForest,0.954,0.016248076809271903,0.9539715560194969,0.01625431285857657,0.962,0.022715633383201116,0.946,0.032310988842807004
ArtificialDataset3,all,KNN,0.967,0.017916472867168902,0.9669906465143647,0.017924295666054992,0.96,0.026832815729997475,0.9739999999999999,0.018000000000000016
ArtificialDataset3,all,NaiveBayes,0.898,0.022715633383201116,0.8977914271712963,0.022824151047022623,0.93,0.025690465157330235,0.866,0.04103656905736638
ArtificialDataset3,all,DecisionTree,0.825,0.028722813232690127,0.8246749840388052,0.028662532465546557,0.8480000000000001,0.05075431016179809,0.8019999999999999,0.03515679166249387
ArtificialDataset3,all,XGBoost,0.9510000000000002,0.011357816691600535,0.950976124976971,0.011374354186403106,0.9580000000000002,0.01661324772583614,0.9440000000000002,0.026532998322843174
ArtificialDataset3,informative,LogReg,0.954,0.01854723699099139,0.9539748993501501,0.018575031796637453,0.9599999999999997,0.019999999999999997,0.9480000000000001,0.031240998703626604
ArtificialDataset3,informative,SVM-linear,0.9489999999999998,0.02507987240796889,0.9489206735604944,0.02522606634302911,0.968,0.016000000000000014,0.9299999999999999,0.044045431091090485
ArtificialDataset3,informative,SVM-rbf,0.993,0.007810249675906661,0.9929988802792236,0.00781172562521197,0.994,0.012806248474865708,0.992,0.009797958971132722
ArtificialDataset3,informative,RandomForest,0.9559999999999998,0.016852299546352714,0.9559886743804314,0.016853557945193984,0.9579999999999999,0.016613247725836167,0.954,0.028354893757515647
ArtificialDataset3,informative,KNN,0.9809999999999999,0.012206555615733713,0.9809943195580082,0.012212207983285503,0.976,0.021540659228538032,0.986,0.012806248474865708
ArtificialDataset3,informative,NaiveBayes,0.9049999999999999,0.028372521918222225,0.9049106409088246,0.028355661039491265,0.9120000000000001,0.044,0.8979999999999999,0.03944616584663204
ArtificialDataset3,informative,DecisionTree,0.8460000000000001,0.03498571136907179,0.8457232902439497,0.03496027550264334,0.8699999999999999,0.04312771730569569,0.8220000000000001,0.051730068625510224
ArtificialDataset3,informative,XGBoost,0.9560000000000001,0.011135528725660027,0.9559691382225226,0.01115877886357429,0.9620000000000001,0.0244131112314674,0.95,0.02720294101747088
ArtificialDataset3,informative+redundant,LogReg,0.9530000000000001,0.016763054614240196,0.9529766800362669,0.016791491298767062,0.9599999999999997,0.015491933384829681,0.9460000000000001,0.02973213749463699
ArtificialDataset3,informative+redundant,SVM-linear,0.9509999999999998,0.025865034312755112,0.950922628804203,0.02601070037520366,0.97,0.01843908891458579,0.9319999999999998,0.044
ArtificialDataset3,informative+redundant,SVM-rbf,0.992,0.007483314773547889,0.9919979625990575,0.007486042051316901,0.992,0.013266499161421611,0.992,0.013266499161421611
ArtificialDataset3,informative+redundant,RandomForest,0.9570000000000001,0.01552417469626004,0.956968695520462,0.015538456871748105,0.966,0.025377155080899043,0.9479999999999998,0.02993325909419152
ArtificialDataset3,informative+redundant,KNN,0.983,0.012688577540449532,0.9829947639302297,0.012692013569048683,0.986,0.0200997512422418,0.9800000000000001,0.017888543819998333
ArtificialDataset3,informative+redundant,NaiveBayes,0.914,0.020099751242241764,0.9138690042244562,0.02019140763571866,0.938,0.016613247725836118,0.89,0.04219004621945796
ArtificialDataset3,informative+redundant,DecisionTree,0.842,0.04069397989875161,0.8416826876688897,0.040729764852864295,0.8699999999999999,0.04753945729601886,0.8140000000000001,0.05370288632839021
ArtificialDataset3,informative+redundant,XGBoost,0.9479999999999998,0.010770329614269,0.947968926310371,0.010772695496021572,0.9559999999999998,0.01959591794226542,0.9400000000000001,0.029664793948382635
ArtificialDataset3,informative+redundant_nonLinear,LogReg,0.952,0.020880613017821084,0.9519431779359373,0.020979091570576477,0.9620000000000001,0.02088061301782112,0.9419999999999998,0.039446165846632034
ArtificialDataset3,informative+redundant_nonLinear,SVM-linear,0.9480000000000001,0.023999999999999987,0.9479256169352442,0.024150191443506965,0.9620000000000001,0.016613247725836167,0.9339999999999999,0.043863424398922615
ArtificialDataset3,informative+redundant_nonLinear,SVM-rbf,0.9880000000000001,0.00979795897113272,0.9879969376492632,0.009800466034385221,0.994,0.012806248474865708,0.982,0.016613247725836163
ArtificialDataset3,informative+redundant_nonLinear,RandomForest,0.9540000000000001,0.0190787840283389,0.9539841058007783,0.019076388123137573,0.954,0.023748684174075826,0.954,0.031048349392520037
ArtificialDataset3,informative+redundant_nonLinear,KNN,0.9740000000000002,0.012806248474865708,0.9739873324514429,0.012815938089160902,0.9639999999999999,0.02154065922853801,0.984,0.01959591794226544
ArtificialDataset3,informative+redundant_nonLinear,NaiveBayes,0.8870000000000001,0.029681644159311685,0.886873183535835,0.029630404240425335,0.8959999999999999,0.04363484845854286,0.8779999999999999,0.04686149805543994
ArtificialDataset3,informative+redundant_nonLinear,DecisionTree,0.8400000000000001,0.03346640106136301,0.8397940919010736,0.03340709801652179,0.8540000000000001,0.050635955604688664,0.826,0.041036569057366384
ArtificialDataset3,informative+redundant_nonLinear,XGBoost,0.9540000000000001,0.012806248474865708,0.9539591026530756,0.012833280314019927,0.958,0.027495454169735024,0.95,0.03130495168499705
ArtificialDataset3,informative+noise,LogReg,0.953,0.015524174696260004,0.952973128252507,0.015553811360510553,0.96,0.015491933384829681,0.9460000000000001,0.031048349392520033
ArtificialDataset3,informative+noise,SVM-linear,0.952,0.01777638883463116,0.9519728625883159,0.01781041210696925,0.9620000000000001,0.010770329614269018,0.942,0.032802438933713436
ArtificialDataset3,informative+noise,SVM-rbf,0.9870000000000001,0.007810249675906661,0.9869949744682603,0.007817545850806953,0.992,0.013266499161421611,0.982,0.018867962264113226
ArtificialDataset3,informative+noise,RandomForest,0.951,0.013747727084867508,0.9509691443385666,0.013748707781604986,0.954,0.025377155080899036,0.9479999999999998,0.0312409987036266
ArtificialDataset3,informative+noise,KNN,0.9700000000000001,0.01897366596101027,0.9699866322996542,0.018992426262251613,0.968,0.02561249694973139,0.9719999999999999,0.023999999999999997
ArtificialDataset3,informative+noise,NaiveBayes,0.9019999999999999,0.026000000000000006,0.901946293419406,0.02599109029884832,0.906,0.03583294573433783,0.8979999999999999,0.033999999999999996
ArtificialDataset3,informative+noise,DecisionTree,0.8300000000000001,0.030331501776206183,0.8296810002787407,0.03039054029267201,0.8480000000000001,0.046647615158762416,0.8119999999999999,0.04578209256903838
ArtificialDataset3,informative+noise,XGBoost,0.9550000000000001,0.010246950765959608,0.9549691090189413,0.01026360137441466,0.9559999999999998,0.02497999199359359,0.954,0.028354893757515636
