dataset,model,strategy,pre_corr,measure,corr_th,corr_th,corr_th,corr_th,n_features,n_features,n_features,acc_train,acc_train,acc_train,gps_train,gps_train,gps_train,acc_test,acc_test,acc_test,gps_test,gps_test,gps_test,complexity_all_kDN,complexity_all_kDN,complexity_all_kDN,complexity_all_N1,complexity_all_N1,complexity_all_N1,complexity_all_Hostility,complexity_all_Hostility,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_kDN,complexity_sel_kDN,complexity_sel_N1,complexity_sel_N1,complexity_sel_N1,complexity_sel_Hostility,complexity_sel_Hostility,complexity_sel_Hostility
,,,,,,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
Australian_NoPreFilter,KNN,COMPLEXITY_corr,False,Hostility,0.55,0.55,0.55,0.0,11.0,11.0,0.0,0.8909420289855072,0.8894927536231884,0.007403194471631346,0.8885477813236026,0.8867512884210368,0.007560712858377918,0.8565217391304347,0.855072463768116,0.028251577811040506,0.852732800127125,0.848795489492568,0.029133122285328984,,,,,,,,,,0.19144927536231884,0.19130434782608693,0.005856803087611648,0.18335144927536232,0.1818840579710145,0.004879809957050014,0.1355072463768116,0.1322463768115942,0.0132134656005873
Australian_NoPreFilter,KNN,COMPLEXITY_corr,False,Hostility,0.6,0.6,0.6,0.0,11.0,11.0,0.0,0.8909420289855072,0.8894927536231884,0.007403194471631346,0.8885477813236026,0.8867512884210368,0.007560712858377918,0.8565217391304347,0.855072463768116,0.028251577811040506,0.852732800127125,0.848795489492568,0.029133122285328984,,,,,,,,,,0.19144927536231884,0.19130434782608693,0.005856803087611648,0.18335144927536232,0.1818840579710145,0.004879809957050014,0.1355072463768116,0.1322463768115942,0.0132134656005873
Australian_NoPreFilter,KNN,COMPLEXITY_corr,False,Hostility,0.65,0.65,0.65,0.0,11.2,11.0,0.44721359549995804,0.8920289855072465,0.8894927536231884,0.009021666375354172,0.8897580985242776,0.8867512884210368,0.00936906612615368,0.8579710144927537,0.855072463768116,0.027402420871288496,0.8548174634279787,0.848795489492568,0.02785891025509278,,,,,,,,,,0.19021739130434784,0.18804347826086956,0.006506624998575351,0.18385351966873706,0.18397170462387852,0.00476450571777433,0.13695652173913045,0.1322463768115942,0.010989674556596446
Australian_NoPreFilter,KNN,COMPLEXITY_corr,False,Hostility,0.7,0.7,0.7,0.0,11.8,12.0,0.44721359549995815,0.8891304347826086,0.8876811594202898,0.008819319887418894,0.8868112771144105,0.8852302949709865,0.009237200362713164,0.8579710144927537,0.8623188405797102,0.022098479249241913,0.8550278601697985,0.8559230230038871,0.022248924309643574,,,,,,,,,,0.18746376811594204,0.18659420289855072,0.008112220937845775,0.18160541752933057,0.18274672187715665,0.006934289734812208,0.13768115942028986,0.13768115942028986,0.011019497337496782
Australian_NoPreFilter,KNN,COMPLEXITY_corr,False,Hostility,0.75,0.75,0.75,0.0,12.0,12.0,0.0,0.8887681159420289,0.8876811594202898,0.009021666375354145,0.8865625968088047,0.8852302949709865,0.00938020115948182,0.8594202898550725,0.8623188405797102,0.024359038136190725,0.8564586289056123,0.8559230230038871,0.02454964842412259,,,,,,,,,,0.18557971014492752,0.18659420289855072,0.005284144227236867,0.1806935817805383,0.18274672187715665,0.005770451820794085,0.13623188405797101,0.13768115942028986,0.009272814414543288
Australian_NoPreFilter,KNN,COMPLEXITY_corr,False,Hostility,0.8,0.8,0.8,0.0,12.6,13.0,0.547722557505166,0.8891304347826086,0.8894927536231884,0.009272814414543272,0.8868683470458099,0.8868881495216981,0.00964954651871758,0.8565217391304347,0.8623188405797102,0.02137374087500382,0.8534115537733594,0.8559230230038871,0.021221401482862556,,,,,,,,,,0.1868840579710145,0.18913043478260871,0.004775191877497566,0.18332643202208418,0.18397170462387852,0.008613961850610313,0.13442028985507246,0.1358695652173913,0.007833966779144805
Australian_NoPreFilter,KNN,COMPLEXITY_corr,False,N1,0.55,0.55,0.55,0.0,9.8,9.0,1.9235384061671346,0.8880434782608695,0.8894927536231884,0.00468919532809589,0.8861959759152838,0.8876316391726663,0.005060074261675725,0.8594202898550725,0.855072463768116,0.00648135645652111,0.8568486960026244,0.8521303258145364,0.007860987240767676,,,,,,,,,,0.19043478260869567,0.19347826086956524,0.007176291510269742,0.1808635265700483,0.18072377501725329,0.007961339012418498,0.13115942028985508,0.13043478260869565,0.008744578540686356
Australian_NoPreFilter,KNN,COMPLEXITY_corr,False,N1,0.6,0.6,0.6,0.0,10.4,9.0,2.1908902300206643,0.8876811594202898,0.8913043478260869,0.007132253509068635,0.8856297072344053,0.8897437812803466,0.007643150327413338,0.8608695652173914,0.855072463768116,0.017300487516396092,0.8581239236230693,0.8521303258145364,0.018526912050301526,,,,,,,,,,0.19115942028985508,0.19384057971014493,0.006683776091697006,0.17983695652173912,0.18226363008971705,0.009224927347327548,0.14239130434782607,0.14130434782608695,0.015562848981822124
Australian_NoPreFilter,KNN,COMPLEXITY_corr,False,N1,0.65,0.65,0.65,0.0,11.2,11.0,1.9235384061671343,0.8869565217391304,0.8894927536231884,0.006606732800293587,0.8849138018730963,0.8879544799877296,0.0071002147914682,0.8579710144927537,0.855072463768116,0.021496227498828013,0.8544042640344338,0.8537794299876084,0.023403527187581607,,,,,,,,,,0.1918840579710145,0.1927536231884058,0.007493958919680244,0.18222394755003452,0.18465752242926156,0.011508848444647488,0.13731884057971017,0.1322463768115942,0.018358878348055413
