fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
1,parkinsons_NoPreFilter,KNN,NONE,False,,NONE,22,0.9487179487179487,0.9290508149568553,0.9487179487179487,0.9261477045908182,0.1076923076923077,0.07168803418803418,0.08333333333333333,,,
1,parkinsons_NoPreFilter,SVM,NONE,False,,NONE,22,0.9038461538461539,0.8415374241402563,0.8717948717948718,0.7733333333333333,0.1076923076923077,0.07168803418803418,0.08333333333333333,,,
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,kDN,10,0.9743589743589743,0.9648798521256932,0.8974358974358975,0.8484848484848485,,,,0.10512820512820512,0.06773504273504273,0.1858974358974359
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,kDN,10,0.9166666666666666,0.8674698795180724,0.8717948717948718,0.7733333333333333,,,,0.10512820512820512,0.06773504273504273,0.1858974358974359
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,kDN,12,0.9551282051282052,0.9386578839028407,0.9230769230769231,0.882608695652174,,,,0.10512820512820514,0.05555555555555555,0.1282051282051282
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,kDN,12,0.9166666666666666,0.8674698795180724,0.8717948717948718,0.7733333333333333,,,,0.10512820512820514,0.05555555555555555,0.1282051282051282
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,kDN,13,0.9551282051282052,0.9386578839028407,0.9230769230769231,0.882608695652174,,,,0.10769230769230773,0.058760683760683746,0.10256410256410256
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,kDN,13,0.9166666666666666,0.8674698795180724,0.8717948717948718,0.7733333333333333,,,,0.10769230769230773,0.058760683760683746,0.10256410256410256
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,kDN,14,0.9615384615384616,0.9480249480249481,0.9230769230769231,0.882608695652174,,,,0.10641025641025642,0.05662393162393162,0.07051282051282051
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,kDN,14,0.9166666666666666,0.8674698795180724,0.8717948717948718,0.7733333333333333,,,,0.10641025641025642,0.05662393162393162,0.07051282051282051
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,kDN,14,0.9615384615384616,0.9480249480249481,0.9230769230769231,0.882608695652174,,,,0.10641025641025642,0.05662393162393162,0.07051282051282051
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,kDN,14,0.9166666666666666,0.8674698795180724,0.8717948717948718,0.7733333333333333,,,,0.10641025641025642,0.05662393162393162,0.07051282051282051
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,kDN,17,0.967948717948718,0.9563961882760611,0.8974358974358975,0.8484848484848485,,,,0.10384615384615384,0.053739316239316236,0.15384615384615385
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,kDN,17,0.9166666666666666,0.8674698795180724,0.8717948717948718,0.7733333333333333,,,,0.10384615384615384,0.053739316239316236,0.15384615384615385
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,N1,18,0.9487179487179487,0.9303693248647378,0.9487179487179487,0.9261477045908182,,,,0.11666666666666667,0.06549145299145298,0.09615384615384616
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,N1,18,0.9038461538461539,0.8415374241402563,0.8717948717948718,0.7733333333333333,,,,0.11666666666666667,0.06549145299145298,0.09615384615384616
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,N1,20,0.9615384615384616,0.9470588235294117,0.8974358974358975,0.8484848484848485,,,,0.10256410256410256,0.06634615384615385,0.07051282051282051
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,N1,20,0.9038461538461539,0.8415374241402563,0.8717948717948718,0.7733333333333333,,,,0.10256410256410256,0.06634615384615385,0.07051282051282051
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,N1,20,0.9615384615384616,0.9470588235294117,0.8974358974358975,0.8484848484848485,,,,0.10256410256410256,0.06634615384615385,0.07051282051282051
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,N1,20,0.9038461538461539,0.8415374241402563,0.8717948717948718,0.7733333333333333,,,,0.10256410256410256,0.06634615384615385,0.07051282051282051
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,N1,20,0.9615384615384616,0.9470588235294117,0.8974358974358975,0.8484848484848485,,,,0.10256410256410256,0.06634615384615385,0.07051282051282051
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,N1,20,0.9038461538461539,0.8415374241402563,0.8717948717948718,0.7733333333333333,,,,0.10256410256410256,0.06634615384615385,0.07051282051282051
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,N1,20,0.9615384615384616,0.9470588235294117,0.8974358974358975,0.8484848484848485,,,,0.10256410256410256,0.06634615384615385,0.07051282051282051
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,N1,20,0.9038461538461539,0.8415374241402563,0.8717948717948718,0.7733333333333333,,,,0.10256410256410256,0.06634615384615385,0.07051282051282051
1,parkinsons_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,N1,20,0.9615384615384616,0.9470588235294117,0.8974358974358975,0.8484848484848485,,,,0.10256410256410256,0.06634615384615385,0.07051282051282051
1,parkinsons_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,N1,20,0.9038461538461539,0.8415374241402563,0.8717948717948718,0.7733333333333333,,,,0.10256410256410256,0.06634615384615385,0.07051282051282051
