fold,dataset,model,strategy,pre_corr,corr_th,measure,n_features,acc_train,gps_train,acc_test,gps_test,complexity_all_kDN,complexity_all_N1,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_N1,complexity_sel_Hostility
1,pollution_NoPreFilter,KNN,NONE,False,,NONE,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,0.29583333333333334,0.2881944444444444,0.1875,,,
1,pollution_NoPreFilter,SVM,NONE,False,,NONE,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,0.29583333333333334,0.2881944444444444,0.1875,,,
1,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,kDN,14,0.9166666666666666,0.9165085388994307,0.9166666666666666,0.916030534351145,,,,0.2916666666666667,0.3274305555555555,0.22916666666666666
1,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,kDN,14,0.9166666666666666,0.9165085388994307,0.75,0.7476635514018692,,,,0.2916666666666667,0.3274305555555555,0.22916666666666666
1,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,kDN,14,0.9166666666666666,0.9165085388994307,0.9166666666666666,0.916030534351145,,,,0.2916666666666667,0.3274305555555555,0.22916666666666666
1,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,kDN,14,0.9166666666666666,0.9165085388994307,0.75,0.7476635514018692,,,,0.2916666666666667,0.3274305555555555,0.22916666666666666
1,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.65,kDN,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.65,kDN,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.7,kDN,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.7,kDN,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.75,kDN,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.75,kDN,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.8,kDN,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.8,kDN,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.55,N1,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.55,N1,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,KNN,COMPLEXITY_corr,False,0.6,N1,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
1,pollution_NoPreFilter,SVM,COMPLEXITY_corr,False,0.6,N1,15,0.8958333333333334,0.8957828405235095,0.75,0.7476635514018692,,,,0.29583333333333334,0.2881944444444444,0.1875
