model,measure,corr_type,n_features,n_features,n_features,acc_train,acc_train,acc_train,gps_train,gps_train,gps_train,acc_test,acc_test,acc_test,gps_test,gps_test,gps_test,complexity_all_kDN,complexity_all_kDN,complexity_all_kDN,complexity_all_N1,complexity_all_N1,complexity_all_N1,complexity_all_Hostility,complexity_all_Hostility,complexity_all_Hostility,complexity_sel_kDN,complexity_sel_kDN,complexity_sel_kDN,complexity_sel_N1,complexity_sel_N1,complexity_sel_N1,complexity_sel_Hostility,complexity_sel_Hostility,complexity_sel_Hostility,corr_th
,,,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,
KNN,ALL,none,20.0,20.0,0.0,0.7497972972972973,0.7483108108108109,0.0037646566510787364,0.7249958496377653,0.7230006291415407,0.005063253767744833,0.6851351351351351,0.6858108108108109,0.0050788163440449305,0.6278289459337433,0.629171744218662,0.008842399563578395,0.32506756756756755,0.3252702702702703,0.0013405395188531466,0.33186953969350236,0.3319628841503841,0.005219135051205421,0.1247972972972973,0.125,0.007225505522690912,,,,,,,,,,0.7
KNN,Hostility,pearson,20.0,20.0,0.0,0.7497972972972973,0.7483108108108109,0.0037646566510787364,0.7249958496377653,0.7230006291415407,0.005063253767744833,0.6851351351351351,0.6858108108108109,0.0050788163440449305,0.6278289459337433,0.629171744218662,0.008842399563578395,,,,,,,,,,0.32506756756756755,0.3252702702702703,0.0013405395188531466,0.33186953969350236,0.3319628841503841,0.005219135051205421,0.1247972972972973,0.125,0.007225505522690912,0.7
KNN,Hostility,spearman,20.0,20.0,0.0,0.7497972972972973,0.7483108108108109,0.0037646566510787364,0.7249958496377653,0.7230006291415407,0.005063253767744833,0.6851351351351351,0.6858108108108109,0.0050788163440449305,0.6278289459337433,0.629171744218662,0.008842399563578395,,,,,,,,,,0.32506756756756755,0.3252702702702703,0.0013405395188531466,0.33186953969350236,0.3319628841503841,0.005219135051205421,0.1247972972972973,0.125,0.007225505522690912,0.7
KNN,N1,pearson,20.0,20.0,0.0,0.7497972972972973,0.7483108108108109,0.0037646566510787364,0.7249958496377653,0.7230006291415407,0.005063253767744833,0.6851351351351351,0.6858108108108109,0.0050788163440449305,0.6278289459337433,0.629171744218662,0.008842399563578395,,,,,,,,,,0.32506756756756755,0.3252702702702703,0.0013405395188531466,0.33186953969350236,0.3319628841503841,0.005219135051205421,0.1247972972972973,0.125,0.007225505522690912,0.7
KNN,N1,spearman,20.0,20.0,0.0,0.7497972972972973,0.7483108108108109,0.0037646566510787364,0.7249958496377653,0.7230006291415407,0.005063253767744833,0.6851351351351351,0.6858108108108109,0.0050788163440449305,0.6278289459337433,0.629171744218662,0.008842399563578395,,,,,,,,,,0.32506756756756755,0.3252702702702703,0.0013405395188531466,0.33186953969350236,0.3319628841503841,0.005219135051205421,0.1247972972972973,0.125,0.007225505522690912,0.7
KNN,kDN,pearson,20.0,20.0,0.0,0.7497972972972973,0.7483108108108109,0.0037646566510787364,0.7249958496377653,0.7230006291415407,0.005063253767744833,0.6851351351351351,0.6858108108108109,0.0050788163440449305,0.6278289459337433,0.629171744218662,0.008842399563578395,,,,,,,,,,0.32506756756756755,0.3252702702702703,0.0013405395188531466,0.33186953969350236,0.3319628841503841,0.005219135051205421,0.1247972972972973,0.125,0.007225505522690912,0.7
KNN,kDN,spearman,20.0,20.0,0.0,0.7497972972972973,0.7483108108108109,0.0037646566510787364,0.7249958496377653,0.7230006291415407,0.005063253767744833,0.6851351351351351,0.6858108108108109,0.0050788163440449305,0.6278289459337433,0.629171744218662,0.008842399563578395,,,,,,,,,,0.32506756756756755,0.3252702702702703,0.0013405395188531466,0.33186953969350236,0.3319628841503841,0.005219135051205421,0.1247972972972973,0.125,0.007225505522690912,0.7
SVM-rbf,ALL,none,20.0,20.0,0.0,0.986722972972973,0.9863175675675676,0.0009143492299138078,0.9867195624712002,0.9863142889559846,0.0009145979216053779,0.9793243243243243,0.9804054054054054,0.002168487369713704,0.979319003705724,0.9803997009579128,0.0021675395014295455,0.32506756756756755,0.3252702702702703,0.0013405395188531466,0.33186953969350236,0.3319628841503841,0.005219135051205421,0.1247972972972973,0.125,0.007225505522690912,,,,,,,,,,0.7
SVM-rbf,Hostility,pearson,20.0,20.0,0.0,0.986722972972973,0.9863175675675676,0.0009143492299138078,0.9867195624712002,0.9863142889559846,0.0009145979216053779,0.9793243243243243,0.9804054054054054,0.002168487369713704,0.979319003705724,0.9803997009579128,0.0021675395014295455,,,,,,,,,,0.32506756756756755,0.3252702702702703,0.0013405395188531466,0.33186953969350236,0.3319628841503841,0.005219135051205421,0.1247972972972973,0.125,0.007225505522690912,0.7
SVM-rbf,Hostility,spearman,20.0,20.0,0.0,0.986722972972973,0.9863175675675676,0.0009143492299138078,0.9867195624712002,0.9863142889559846,0.0009145979216053779,0.9793243243243243,0.9804054054054054,0.002168487369713704,0.979319003705724,0.9803997009579128,0.0021675395014295455,,,,,,,,,,0.32506756756756755,0.3252702702702703,0.0013405395188531466,0.33186953969350236,0.3319628841503841,0.005219135051205421,0.1247972972972973,0.125,0.007225505522690912,0.7
