Dataset,Subset,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,L1,n_features,best_model,best_acc,best_gps
ArtificialDataset1,all,0.046,0.069,0.044941971803417816,0.6127272727272728,0.14736195957718337,0.05194166666666667,0.40127275414807917,0.9584028056112225,0.9763333333333335,0.7390839125735439,18.0,SVM-rbf,0.984,0.983999739833168
ArtificialDataset1,informative,0.03,0.051,0.016596661202412547,0.599090909090909,0.1460104620155271,0.03328333333333333,0.3737007138985289,0.9442284569138276,0.9747,0.6953928950826311,10.0,SVM-rbf,0.99,0.9899998383812264
ArtificialDataset1,informative+redundant,0.037,0.05280000000000001,0.010725047602836647,0.6135454545454546,0.1604663459592817,0.03311666666666666,0.37274397406161136,0.94463126252505,0.9716428571428571,0.7974563206605229,14.0,SVM-rbf,0.985,0.984999619279677
ArtificialDataset1,informative+redundant_nonLinear,0.034,0.0608,0.0165966189244774,0.5993636363636363,0.1418379457256524,0.03946666666666667,0.3797990979239049,0.9551783567134269,0.97725,0.6617627156800178,12.0,SVM-rbf,0.988,0.987999805664869
ArtificialDataset1,informative+noise,0.042,0.0664,0.09840705642404993,0.5506666666666667,0.14157418886377357,0.043423809523809524,0.4077178120469324,0.9625170340681364,0.9781666666666667,0.6645635109419763,12.0,SVM-rbf,0.987,0.9869996707110109
ArtificialDataset1,informative+rand_extra,0.041,0.06060000000000001,0.00977400426415286,0.6074545454545455,0.16429922978481587,0.047826190476190474,0.3903604131193877,0.950563126252505,0.9722307692307692,0.7222156264713815,13.0,SVM-rbf,0.987,0.9869998814578858
ArtificialDataset1,mutual_info_top10,0.064,0.0892,0.11701277292278976,0.5466153846153846,0.16974339559980206,0.08789999999999999,0.36242053684630443,0.9531583166332667,0.9639000000000001,0.06172794950647204,10.0,SVM-rbf,0.959,0.958994826250236
ArtificialDataset1,f_classif_top10,0.072,0.10360000000000001,0.06366782744886196,0.5520833333333334,0.1680730326722619,0.09889285714285714,0.38232377477372154,0.9506492985971944,0.9663,0.759173847976015,10.0,SVM-rbf,0.96,0.9599958328992603
ArtificialDataset1,rf_top10,0.048,0.0674,0.046560181324390555,0.7644444444444446,0.15692074225635463,0.060602380952380956,0.35338605540565066,0.9210901803607214,0.9642000000000001,0.09049840529402013,10.0,SVM-rbf,0.964,0.9639976097998206
ArtificialDataset1,relief_top10,0.048,0.0674,0.046560181324390555,0.7644444444444446,0.1569207422563546,0.060602380952380956,0.35338605540565066,0.9210901803607214,0.9642000000000001,0.09049840529255751,10.0,SVM-rbf,0.964,0.9639976097998206
