dataset,subset,model,acc,gps,is_best,acc_class_0,acc_class_1
ArtificialDataset3,all,LogReg,0.943,0.9429994559863242,0,0.946,0.94
ArtificialDataset3,all,SVM-linear,0.946,0.9459888095207888,0,0.96,0.932
ArtificialDataset3,all,SVM-rbf,0.531,0.2599556042898024,0,0.972,0.09
ArtificialDataset3,all,RandomForest,0.954,0.9539969138390835,1,0.962,0.946
ArtificialDataset3,all,KNN,0.842,0.8418309356794673,0,0.872,0.812
ArtificialDataset3,all,NaiveBayes,0.898,0.8978835554128539,0,0.93,0.866
ArtificialDataset3,all,DecisionTree,0.825,0.8248877158808497,0,0.848,0.802
ArtificialDataset3,all,XGBoost,0.951,0.9509974751590775,0,0.958,0.944
ArtificialDataset3,informative,LogReg,0.95,0.9499947362880304,0,0.96,0.94
ArtificialDataset3,informative,SVM-linear,0.954,0.9539807046979867,0,0.974,0.934
ArtificialDataset3,informative,SVM-rbf,0.991,0.9909999909182553,1,0.992,0.99
ArtificialDataset3,informative,RandomForest,0.956,0.9559998158988113,0,0.958,0.954
ArtificialDataset3,informative,KNN,0.979,0.9789994637248141,0,0.974,0.984
ArtificialDataset3,informative,NaiveBayes,0.905,0.9049948560750803,0,0.912,0.898
ArtificialDataset3,informative,DecisionTree,0.846,0.8458950774995742,0,0.87,0.822
ArtificialDataset3,informative,XGBoost,0.956,0.9559983430338382,0,0.962,0.95
ArtificialDataset3,informative+redundant,LogReg,0.951,0.9509937647166465,0,0.962,0.94
ArtificialDataset3,informative+redundant,SVM-linear,0.951,0.9509813925159812,0,0.97,0.932
ArtificialDataset3,informative+redundant,SVM-rbf,0.989,0.9889998998979768,1,0.992,0.986
ArtificialDataset3,informative+redundant,RandomForest,0.957,0.956996360193496,0,0.966,0.948
ArtificialDataset3,informative+redundant,KNN,0.976,0.976,0,0.976,0.976
ArtificialDataset3,informative+redundant,NaiveBayes,0.914,0.9139457688871762,0,0.938,0.89
ArtificialDataset3,informative+redundant,DecisionTree,0.842,0.8418527465003043,0,0.87,0.814
ArtificialDataset3,informative+redundant,XGBoost,0.948,0.9479964892144618,0,0.956,0.94
ArtificialDataset3,informative+redundant_nonLinear,LogReg,0.948,0.9479945141892604,0,0.958,0.938
ArtificialDataset3,informative+redundant_nonLinear,SVM-linear,0.952,0.9519870889650998,0,0.968,0.936
ArtificialDataset3,informative+redundant_nonLinear,SVM-rbf,0.525,0.2373270127685603,0,0.97,0.08
ArtificialDataset3,informative+redundant_nonLinear,RandomForest,0.954,0.954,1,0.954,0.954
ArtificialDataset3,informative+redundant_nonLinear,KNN,0.806,0.8059036742800396,0,0.826,0.786
ArtificialDataset3,informative+redundant_nonLinear,NaiveBayes,0.887,0.8869896800046001,0,0.896,0.878
ArtificialDataset3,informative+redundant_nonLinear,DecisionTree,0.84,0.8399626579535225,0,0.854,0.826
ArtificialDataset3,informative+redundant_nonLinear,XGBoost,0.954,0.953999228498591,0,0.958,0.95
ArtificialDataset3,informative+noise,LogReg,0.949,0.9489973665658185,0,0.956,0.942
ArtificialDataset3,informative+noise,SVM-linear,0.955,0.9549976909810032,0,0.962,0.948
ArtificialDataset3,informative+noise,SVM-rbf,0.991,0.9909999909182553,1,0.992,0.99
ArtificialDataset3,informative+noise,RandomForest,0.951,0.9509995362732141,0,0.954,0.948
ArtificialDataset3,informative+noise,KNN,0.978,0.9779991901542389,0,0.972,0.984
ArtificialDataset3,informative+noise,NaiveBayes,0.902,0.901998261609962,0,0.906,0.898
ArtificialDataset3,informative+noise,DecisionTree,0.83,0.8299336126391508,0,0.848,0.812
ArtificialDataset3,informative+noise,XGBoost,0.955,0.9549999528795318,0,0.956,0.954
ArtificialDataset3,informative+rand_extra,LogReg,0.954,0.9539969138390835,0,0.962,0.946
