y,Hostility,kDN,DCP,TD_U,CLD,N1,N2,LSC,F1,F2,F3,F4,L1,level,subset
0,0.4995169082125604,0.5646376811594203,0.5169505032934115,0.44467632850241545,0.645842108904632,0.5398757763975156,0.5029175327775961,0.9989861613358375,0.9962962962962963,0.6656894234497924,0.8693654886415585,0.9921428834850523,-0.7533386191051363,class,complexity_N1_top30
1,0.13740458015267176,0.2560814249363868,0.27228690631485036,0.5425139949109414,0.3390895745338604,0.25265350849320317,0.4810577549883048,0.9983359504153646,0.9974045801526717,0.6640749275829865,0.8718406544049616,0.9925221914349609,1.5295968511389266,class,complexity_N1_top30
dataset,0.2623333333333333,0.3625333333333333,0.35669584727245396,0.50876,0.44491919889177656,0.3517451909201909,0.48859937832561023,0.998560273182928,0.9970222222222224,0.6646319286570346,0.8709867222165875,0.9923913301922423,0.7419841139047249,class,complexity_N1_top30
0,0.33333333333333337,0.6,0.7520491803278688,0.36,0.6783896778729899,1.0,0.5320792200303204,1.0,0.9666666666666667,0.6583781140023963,0.8680888845533032,0.9914047422249228,-3.2692031011640332,instance,complexity_N1_top30
0,0.5384615384615384,0.4,0.4736842105263158,0.64,0.6343589006253975,0.0,0.49959224983169026,0.9990328820116054,1.0,0.6668283309994263,0.8691559932903066,0.994240628617169,0.890727367270094,instance,complexity_N1_top30
0,0.125,0.4,0.125,0.16,0.6346367348964438,0.4,0.5007827509787492,1.0,1.0,0.6668612476884228,0.8676232106611185,0.9969745362878315,-0.7696852678658652,instance,complexity_N1_top30
1,0.5454545454545454,0.4,0.5263157894736843,0.6,0.36513628841251533,1.0,0.5231620173986975,1.0,1.0,0.6669122306553236,0.8850215249193228,0.9970953647723407,0.19408442682527297,instance,complexity_N1_top30
0,0.0,0.2,0.6097560975609756,0.56,0.6344728857094424,0.0,0.4663239093627569,0.9961315280464217,1.0,0.6669625734942046,0.8704580910090655,0.9945182526763449,0.7628573121581712,instance,complexity_N1_top30
0,0.4,0.8,0.4514285714285714,0.56,0.639418365686775,0.0,0.4847528816156864,0.9990328820116054,1.0,0.6667834500674185,0.8590757508098643,0.9933674536951388,-0.5900256316907003,instance,complexity_N1_top30
1,0.3076923076923077,0.4,0.9076923076923077,0.36,0.36526661456023746,0.0,0.47876797242246816,0.9989816700610998,1.0,0.6668771036082313,0.8670707940132127,0.9903700810778329,-0.5513504133838099,instance,complexity_N1_top30
0,0.33333333333333337,0.6,0.09230769230769231,0.28,0.6345443998218577,0.5,0.4864787367997031,0.9990328820116054,1.0,0.666866588382056,0.8674857389948546,0.9998977062169905,0.7536973432144788,instance,complexity_N1_top30
0,0.5714285714285714,0.6,0.728494623655914,0.4,0.6466017271277783,0.5,0.5040662204062887,1.0,1.0,0.6667294347731829,0.8912236313014926,0.9989623466813661,-0.9352360449559035,instance,complexity_N1_top30
0,0.16666666666666663,0.2,0.6097560975609756,0.48,0.634868956989171,0.0,0.48214024044910386,0.9970986460348162,1.0,0.6668556740053756,0.8462705044387506,0.9636947887065397,-0.775742785937102,instance,complexity_N1_top30
0,0.375,0.8,0.36363636363636365,0.4,0.638878578242883,1.0,0.5398534408132813,1.0,1.0,0.6668950156151926,0.8664467706632103,0.9905001457688296,-1.626926008797638,instance,complexity_N1_top30
1,0.4444444444444444,0.2,0.14634146341463417,0.4,0.36278176125138256,1.0,0.5052092488344666,1.0,1.0,0.6668083358143917,0.8790551154857837,0.992458776039243,0.3507997131900817,instance,complexity_N1_top30
0,0.75,0.8,0.7520491803278688,0.8,0.6381769655482213,1.0,0.5130692156680303,1.0,1.0,0.6669689270045484,0.9148879791191111,0.9897973042800088,-1.585913808114591,instance,complexity_N1_top30
0,0.625,1.0,0.4514285714285714,0.56,0.6584786262202448,1.0,0.5167382325245686,1.0,1.0,0.6668269707278331,0.8780405018654522,0.9960777393354576,-2.1068499936432,instance,complexity_N1_top30
0,0.6923076923076923,0.2,0.09230769230769231,0.28,0.6345982711523429,0.0,0.4758130603824168,0.9990328820116054,0.9666666666666667,0.612681345857707,0.888262027255461,0.9964598095487578,1.618097209074428,instance,complexity_N1_top30
0,0.5833333333333333,0.4,0.36585365853658536,0.32,0.6429990372018964,0.5,0.46903466119248804,0.9990328820116054,1.0,0.6672756665208822,0.8827006411216677,0.9953086185319688,-1.240931285120662,instance,complexity_N1_top30
1,0.33333333333333337,0.4,0.13465783664459163,0.36,0.3607582763413638,0.6666666666666666,0.5358759500121208,1.0,1.0,0.6668033996325307,0.8979557627089829,0.9984891538322005,1.2507961526247648,instance,complexity_N1_top30
0,0.7777777777777778,0.6,0.7520491803278688,0.96,0.655332108289555,0.0,0.48977019135929123,0.9980657640232108,1.0,0.6668420782691518,0.8720746047389512,0.9996916855658151,-2.2272140906407754,instance,complexity_N1_top30
0,0.5,0.4,0.27586206896551724,0.52,0.6358348328051546,0.0,0.4967464727080554,0.9990328820116054,1.0,0.6669457352948891,0.8594706295695015,0.997767103342914,-0.01739921826023385,instance,complexity_N1_top30
0,0.6,0.4,0.7520491803278688,0.8,0.638294688102218,0.6666666666666666,0.47360729456559125,0.9990328820116054,1.0,0.6669754895760727,0.8697959812375139,0.9986846738626206,-1.1656860797441513,instance,complexity_N1_top30
0,0.16666666666666663,0.8,0.36363636363636365,0.36,0.6341724700171932,1.0,0.5196662420668674,1.0,1.0,0.6668224833955952,0.8576974163598556,0.9990066301003198,0.8250123945063721,instance,complexity_N1_top30
0,0.1428571428571429,0.2,0.6101694915254237,0.44,0.6345277386740804,0.0,0.48680938716381894,0.9980657640232108,1.0,0.6669226300147079,0.8589912296071859,0.9925414832385728,0.00997284449789707,instance,complexity_N1_top30
0,0.33333333333333337,0.4,0.1875,0.28,0.634426812812191,0.0,0.4629321073453251,0.9970986460348162,1.0,0.6669555391390316,0.8703850330895909,0.9860387661615446,-0.10366534706165725,instance,complexity_N1_top30
0,0.7142857142857143,0.6,0.4736842105263158,0.48,0.6365952464224972,1.0,0.5025541993051192,1.0,1.0,0.6668078047886061,0.8717409963505584,0.9872134198253779,-0.4829297433143108,instance,complexity_N1_top30
0,0.25,0.6,0.4514285714285714,0.64,0.6353628953803563,0.75,0.5289548440528568,1.0,1.0,0.6669342780522192,0.8847507074753829,0.9985490863195272,0.2942336065844464,instance,complexity_N1_top30
0,0.4,1.0,0.36585365853658536,0.32,0.641811553902743,1.0,0.5465980447586224,1.0,1.0,0.6668852270311638,0.875364103952191,0.9937907940581666,-1.8209415284602546,instance,complexity_N1_top30
0,0.5,0.6,0.728494623655914,0.6,0.6361667784453875,0.5,0.4999487098102432,0.9990328820116054,1.0,0.6670711998310676,0.8982236182147492,0.9992698229465813,-0.166920594018052,instance,complexity_N1_top30
0,0.75,0.6,0.7520491803278688,0.6,0.6633081988651596,0.0,0.4956146702023595,0.9990328820116054,1.0,0.666933751749085,0.8930476009482898,0.9936171349882036,-2.5894488736307957,instance,complexity_N1_top30
0,0.1428571428571429,0.8,0.36585365853658536,0.36,0.6390973465179663,1.0,0.5229677979423961,1.0,1.0,0.6683208882555772,0.8570315285306179,0.9936274243838211,-0.4954344978281904,instance,complexity_N1_top30
0,0.5,0.8,0.7608695652173914,0.32,0.6341356812397759,1.0,0.5514152004435232,1.0,1.0,0.6667820296638374,0.8743807346057425,0.9928656417673787,0.28902171812024546,instance,complexity_N1_top30
0,0.0,0.2,0.06896551724137934,0.36,0.6341701888175318,0.0,0.4749863811381617,0.9970986460348162,1.0,0.6667876185769475,0.8446200362584809,0.9826020587347764,-0.234197271967674,instance,complexity_N1_top30
0,0.33333333333333337,0.6,0.7520491803278688,0.68,0.6388530531315628,1.0,0.5098829703090686,1.0,1.0,0.6669461097424659,0.8482258836752679,0.9947115044225399,-0.9414415559201363,instance,complexity_N1_top30
0,0.0,1.0,0.6097560975609756,0.56,0.6343142120465682,1.0,0.5330516162066715,1.0,1.0,0.6667751426636234,0.8469441177890263,0.9946151746836898,0.27507482199713246,instance,complexity_N1_top30
0,0.0,0.8,0.36363636363636365,0.28,0.6359922214598175,1.0,0.5127710532491148,1.0,1.0,0.6667568555497727,0.8558617648440383,0.9991034834979128,-1.4159300821184957,instance,complexity_N1_top30
0,0.0,0.4,0.09230769230769231,0.4,0.6346984251496289,1.0,0.502722869533504,1.0,1.0,0.6667644201406541,0.8639410875306246,0.9971070294609979,1.526407261267174,instance,complexity_N1_top30
0,0.23076923076923073,0.6,0.4736842105263158,0.48,0.6368020520176425,0.0,0.4500469546899504,0.9980657640232108,1.0,0.6669395351931016,0.9055371097342149,0.9968793520055892,-0.966785557338566,instance,complexity_N1_top30
0,0.8,1.0,0.8653421633554084,0.44,0.6404596508130034,1.0,0.5625789596115831,1.0,1.0,0.6668569300659487,0.9099791790978004,0.9989995398997171,-1.3688131870620572,instance,complexity_N1_top30
0,0.0,0.6,0.125,0.16,0.6344267973011166,0.0,0.49872654371323866,0.9990328820116054,1.0,0.6668407318455631,0.8506339694094247,0.9862833852406034,0.9746164524127768,instance,complexity_N1_top30
0,0.5,0.2,0.4514285714285714,0.56,0.6406834285955856,0.0,0.44555131423352523,0.9961315280464217,1.0,0.6669256324124435,0.8739839576895353,0.9766118211913148,-0.7310705507596875,instance,complexity_N1_top30
0,0.8888888888888888,0.8,0.7520491803278688,0.8,0.6508648333571813,0.0,0.49962999337766034,0.9990328820116054,1.0,0.6668298318664072,0.8817709867569578,0.997653427665463,-1.1154964391026854,instance,complexity_N1_top30
0,0.08333333333333337,0.4,0.475,0.4,0.6341263677150553,0.0,0.46163972111648055,0.9980657640232108,0.9666666666666667,0.6291039246550291,0.8381792832255891,0.9934089211415815,1.3358977452939438,instance,complexity_N1_top30
0,0.5384615384615384,0.6,0.27586206896551724,0.52,0.6357634738653203,0.5,0.49359330768852605,0.9990328820116054,1.0,0.6668852374127323,0.8834575064159822,0.998990124002719,-0.4342920864215695,instance,complexity_N1_top30
