dataset,subset,model,acc,gps,acc_class_0,acc_class_1
ArtificialDataset16,all,LogReg,0.71,0.5177714906692648,0.3236363636363636,0.856551724137931
ArtificialDataset16,all,SVM-linear,0.693,0.5050357000774724,0.32727272727272727,0.8317241379310345
ArtificialDataset16,all,SVM-rbf,0.761,0.4044076954564061,0.15636363636363637,0.9903448275862069
ArtificialDataset16,all,RandomForest,0.736,0.17224456410605957,0.05090909090909091,0.9958620689655172
ArtificialDataset16,all,KNN,0.757,0.5685699208443272,0.33090909090909093,0.9186206896551724
ArtificialDataset16,all,NaiveBayes,0.642,0.5599405687327201,0.5381818181818182,0.6813793103448276
ArtificialDataset16,all,DecisionTree,0.629,0.46936729009152406,0.3527272727272727,0.7337931034482759
ArtificialDataset16,all,XGBoost,0.733,0.4241609316475957,0.19272727272727272,0.9379310344827586
ArtificialDataset16,informative,LogReg,0.76,0.5571740713765477,0.3090909090909091,0.9310344827586207
ArtificialDataset16,informative,SVM-linear,0.777,0.5165308280620886,0.23636363636363636,0.9820689655172414
ArtificialDataset16,informative,SVM-rbf,0.824,0.7011515096563604,0.44,0.9696551724137931
ArtificialDataset16,informative,RandomForest,0.741,0.2560558193623413,0.08363636363636363,0.9903448275862069
ArtificialDataset16,informative,KNN,0.792,0.6420525657071339,0.3927272727272727,0.9434482758620689
ArtificialDataset16,informative,NaiveBayes,0.713,0.4974569673691215,0.2909090909090909,0.8731034482758621
ArtificialDataset16,informative,DecisionTree,0.656,0.5174448939791807,0.4036363636363636,0.7517241379310344
ArtificialDataset16,informative,XGBoost,0.76,0.5546179090482889,0.3054545454545455,0.9324137931034483
ArtificialDataset16,informative+redundant,LogReg,0.745,0.5514284162630959,0.3236363636363636,0.9048275862068965
ArtificialDataset16,informative+redundant,SVM-linear,0.767,0.5344115631814381,0.2690909090909091,0.9558620689655173
ArtificialDataset16,informative+redundant,SVM-rbf,0.794,0.610056835520293,0.33090909090909093,0.9696551724137931
ArtificialDataset16,informative+redundant,RandomForest,0.73,0.22371012209531307,0.07272727272727272,0.9793103448275862
ArtificialDataset16,informative+redundant,KNN,0.769,0.5860301879933164,0.3381818181818182,0.9324137931034483
ArtificialDataset16,informative+redundant,NaiveBayes,0.68,0.5260291875408408,0.38181818181818183,0.7931034482758621
ArtificialDataset16,informative+redundant,DecisionTree,0.649,0.49487443871611503,0.3709090909090909,0.7544827586206897
ArtificialDataset16,informative+redundant,XGBoost,0.754,0.5080052201037655,0.2545454545454545,0.9434482758620689
ArtificialDataset16,informative+redundant_nonLinear,LogReg,0.737,0.5175440998210371,0.2872727272727273,0.9075862068965517
ArtificialDataset16,informative+redundant_nonLinear,SVM-linear,0.751,0.49502175198684345,0.24363636363636362,0.9434482758620689
ArtificialDataset16,informative+redundant_nonLinear,SVM-rbf,0.765,0.4383979307177823,0.1781818181818182,0.9875862068965517
