,Hostility_importances,Hostility_importances_norm,count_vars,kDN_importances,kDN_importances_norm,count_vars,N1_importances,N1_importances_norm,count_vars
f0,0.3019999999999999,0.0009496855345911946,318.0,0.6221999999999999,0.0023130111524163562,269.0,1.3247166666666665,0.006338357256778309,209.0
f1,0.8899999999999999,0.002270408163265306,392.0,0.9698000000000004,0.004253508771929826,228.0,0.8402214285714287,0.0034435304449648716,244.0
f10,0.145,0.0014795918367346938,98.0,0.0005999999999999894,2.608695652173867e-05,23.0,0.2667499999999999,0.0017665562913907276,151.0
f11,0.5999999999999999,0.0024590163934426223,244.0,0.46619999999999984,0.0028956521739130422,161.0,0.7751999999999997,0.0033128205128205115,234.0
f12,0.3429999999999999,0.002766129032258064,124.0,0.33440000000000025,0.0064307692307692356,52.0,0.17919523809523824,0.0014451228878648245,124.0
f13,0.147,0.000459375,320.0,0.0706,0.00025579710144927535,276.0,0.18318809523809537,0.0011668031543827732,157.0
f14,0.20199999999999996,0.0017413793103448272,116.0,0.5564,0.003810958904109589,146.0,0.9720119047619047,0.014294292717086834,68.0
f15,0.2630000000000002,0.0029886363636363656,88.0,0.37100000000000005,0.0046962025316455705,79.0,0.17851428571428568,0.004958730158730158,36.0
f16,0.34800000000000003,0.0054375000000000005,64.0,0.4140000000000001,0.0018482142857142861,224.0,0.570316666666667,0.0021440476190476205,266.0
f17,0.2370000000000001,0.000800675675675676,296.0,0.10099999999999987,0.00048557692307692245,208.0,0.1375,0.0004774305555555556,288.0
f18,0.20800000000000007,0.0011751412429378534,177.0,0.1791999999999998,0.0012985507246376798,138.0,0.24788452380952403,0.003934674981103556,63.0
f19,-0.05000000000000007,-0.0003703703703703709,135.0,0.2827999999999998,0.0024591304347826065,115.0,0.213238095238095,0.002070272769301893,103.0
f2,0.164,0.0014017094017094018,117.0,0.19320000000000032,0.0074307692307692425,26.0,0.1947714285714286,0.004328253968253969,45.0
