,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars
f0,0.11099999999999999,0.0842523809523813,-0.00020000000000003348,0.0003447204968944099,0.000261653356994973,-6.211180124224642e-07,322.0
f1,0.5969999999999999,0.7381238095238092,0.7424,0.0025844155844155837,0.003195341166769737,0.003213852813852814,231.0
f10,0.08300000000000013,0.033248015873016123,0.07040000000000057,0.0003755656108597291,0.0001504435107376295,0.00031855203619909764,221.0
f11,0.33099999999999996,0.5296261904761905,0.4812000000000002,0.0013791666666666666,0.0022067757936507938,0.0020050000000000007,240.0
f12,0.138,0.4559999999999998,0.36320000000000024,0.0008023255813953489,0.002651162790697673,0.0021116279069767455,172.0
f13,0.328,0.1847460317460317,0.10319999999999985,0.002,0.001126500193573364,0.0006292682926829258,164.0
f14,0.26100000000000007,0.2409265873015876,0.10460000000000019,0.001683870967741936,0.0015543650793650814,0.0006748387096774206,155.0
f15,0.02199999999999988,0.019838095238095155,0.08779999999999977,0.0001062801932367144,9.583620887968674e-05,0.00042415458937197954,207.0
f16,0.11599999999999996,0.1405928571428573,0.04760000000000009,0.0009586776859504129,0.0011619244391971677,0.00039338842975206683,121.0
f17,0.11099999999999971,0.13202619047619057,0.11860000000000015,0.00041417910447761084,0.0004926350390902633,0.0004425373134328364,268.0
f18,-0.012999999999999956,0.14745277777777732,0.18060000000000004,-6.220095693779884e-05,0.0007055156831472599,0.0008641148325358853,209.0
f19,-0.069,0.05111666666666648,0.03479999999999983,-0.0003876404494382023,0.00028717228464419367,0.00019550561797752715,178.0
f2,-0.00999999999999987,0.45219682539682565,0.29479999999999984,-4.065040650406451e-05,0.0018381984772228685,0.0011983739837398367,246.0
f20,0.247,0.2229345238095236,0.10160000000000008,0.0011932367149758453,0.0010769783758914184,0.0004908212560386478,207.0
f21,0.4759999999999999,0.6655202380952383,0.5637999999999997,0.00245360824742268,0.0034305166912125687,0.002906185567010308,194.0
f22,0.2709999999999999,0.04380873015873016,0.010000000000000064,0.0016325301204819273,0.00026390801300439854,6.024096385542208e-05,166.0
f23,0.16099999999999998,-0.03869761904761926,0.01820000000000016,0.0007523364485981307,-0.0001808299955496227,8.504672897196337e-05,214.0
f24,0.29899999999999993,0.16563333333333324,0.14239999999999992,0.0012999999999999997,0.0007201449275362315,0.0006191304347826083,230.0
f25,0.11699999999999991,0.12082976190476169,0.060600000000000265,0.0004957627118644064,0.0005119905165456004,0.00025677966101695027,236.0
f26,0.5630000000000002,0.7576607142857141,0.6551999999999999,0.002069852941176471,0.0027855173319327724,0.0024088235294117645,272.0
f27,0.045999999999999985,0.04739642857142845,0.05380000000000018,0.00019999999999999993,0.00020607142857142805,0.00023391304347826166,230.0
f28,0.304,0.10602738095238118,0.13019999999999987,0.0010482758620689655,0.0003656116584564868,0.00044896551724137886,290.0
f29,0.499,0.7018404761904763,0.638,0.001750877192982456,0.0024625981620718467,0.00223859649122807,285.0
f3,0.17900000000000021,0.28576666666666656,0.23580000000000034,0.0006215277777777786,0.00099224537037037,0.0008187500000000012,288.0
f30,0.10599999999999998,0.24721904761904767,0.15840000000000004,0.0003221884498480243,0.0007514256766536404,0.00048145896656534966,329.0
f31,0.27,0.5022904761904764,0.3503999999999998,0.001291866028708134,0.0024033037138300305,0.001676555023923444,209.0
f32,0.628,0.7318607142857145,0.6561999999999999,0.004361111111111111,0.005082366071428573,0.004556944444444443,144.0
f33,0.029000000000000026,0.07356071428571448,0.03639999999999993,0.0001174089068825912,0.00029781665702718413,0.0001473684210526313,247.0
f34,0.1620000000000001,0.4568321428571428,0.3282000000000002,0.0006721991701244817,0.0018955690574985178,0.0013618257261410797,241.0
f35,0.37200000000000016,0.6744845238095241,0.5605999999999998,0.0016607142857142864,0.003011091624149661,0.00250267857142857,224.0
f36,0.469,0.7791936507936511,0.6504,0.0023686868686868686,0.003935321468654804,0.0032848484848484846,198.0
f37,0.16899999999999998,-0.040313095238095065,-0.0240000000000003,0.0011045751633986928,-0.00026348428260192854,-0.00015686274509804117,153.0
f38,0.25799999999999995,0.2466547619047621,0.19999999999999984,0.0016433121019108277,0.001571049438883835,0.0012738853503184704,157.0
f39,0.471,0.7750107142857141,0.593,0.002837349397590361,0.004668739242685025,0.003572289156626506,166.0
f4,0.459,0.6110440476190477,0.5786000000000001,0.002134883720930233,0.002842065337763013,0.002691162790697675,215.0
f40,-0.04300000000000001,-0.027172619047618973,-0.03519999999999962,-0.00023756906077348073,-0.000150124967113917,-0.00019447513812154485,181.0
f41,0.13,0.04664523809523802,-0.03920000000000001,0.0007222222222222223,0.0002591402116402112,-0.00021777777777777784,180.0
f42,-0.09000000000000008,0.05116309523809548,-0.08640000000000009,-0.00040723981900452527,0.00023150721827192524,-0.00039095022624434427,221.0
f43,-0.09799999999999998,-0.09877619047619085,-0.004000000000000115,-0.0004454545454545453,-0.0004489826839826857,-1.8181818181818704e-05,220.0
f44,0.14500000000000002,0.045342857142857185,0.027800000000000213,0.0005253623188405797,0.00016428571428571444,0.00010072463768116019,276.0
