feature,Hostility_importances,N1_importances,kDN_importances,Hostility_importances_norm,N1_importances_norm,kDN_importances_norm,count_vars,Hostility_removed_count,N1_removed_count,kDN_removed_count,fold,model
f0,-0.0004166666666666763,0.0017708333333333326,0.10491666666666627,-4.251700680272207e-06,1.8069727891156453e-05,0.001070578231292513,98.0,1.0,1.0,1.0,1,SVM-rbf
f1,0.13666666666666674,0.15343253968253945,0.6810833333333339,0.000576652601969058,0.0006473946822048078,0.002873769338959215,237.0,1.0,1.0,0.0,1,SVM-rbf
f10,-0.0016666666666666496,-0.006299603174603208,-0.003416666666666679,-0.0001282051282051269,-0.00048458485958486215,-0.0002628205128205138,13.0,1.0,1.0,1.0,1,SVM-rbf
f100,,,,,,,,,,,1,SVM-rbf
f101,0.05208333333333326,0.00616666666666682,0.02691666666666659,0.0009300595238095225,0.00011011904761905037,0.00048065476190476054,56.0,1.0,1.0,1.0,1,SVM-rbf
f102,0.042083333333333306,0.012013888888888935,0.00216666666666665,0.0005009920634920632,0.0001430224867724873,2.5793650793650596e-05,84.0,1.0,1.0,1.0,1,SVM-rbf
f103,,,,,,,,,,,1,SVM-rbf
f104,,,,,,,,,,,1,SVM-rbf
f105,,,,,,,,,,,1,SVM-rbf
f106,,,,,,,,,,,1,SVM-rbf
f107,,,,,,,,,,,1,SVM-rbf
f108,,,,,,,,,,,1,SVM-rbf
f109,,,,,,,,,,,1,SVM-rbf
f11,-0.006666666666666654,0.057744047619047834,0.013583333333333447,-5.46448087431693e-05,0.0004733118657299003,0.00011133879781420859,122.0,1.0,1.0,1.0,1,SVM-rbf
f110,,,,,,,,,,,1,SVM-rbf
f111,,,,,,,,,,,1,SVM-rbf
f112,-0.027083333333333348,-0.0025972222222221952,0.0028333333333335764,-0.0003149224806201552,-3.0200258397932502e-05,3.2945736434111355e-05,86.0,1.0,1.0,1.0,1,SVM-rbf
f113,0.05958333333333332,0.001138888888888856,-0.0009166666666665657,0.0009930555555555554,1.8981481481480933e-05,-1.5277777777776096e-05,60.0,1.0,1.0,1.0,1,SVM-rbf
f114,,,,,,,,,,,1,SVM-rbf
f12,-0.01708333333333334,-0.018784722222222328,0.16733333333333344,-0.00013888888888888894,-0.00015272131887985633,0.0013604336043360442,123.0,1.0,1.0,1.0,1,SVM-rbf
f13,0.07458333333333333,0.021903769841269738,-0.009333333333333249,0.001183862433862434,0.0003476788863693609,-0.00014814814814814682,63.0,1.0,1.0,1.0,1,SVM-rbf
f14,-0.04625000000000001,0.02295833333333336,0.0038333333333334663,-0.0007708333333333335,0.0003826388888888893,6.38888888888911e-05,60.0,1.0,1.0,1.0,1,SVM-rbf
f15,1.5754166666666662,0.9646319444444442,1.0233333333333339,0.003842479674796747,0.0023527608401084006,0.002495934959349595,410.0,0.0,0.0,0.0,1,SVM-rbf
f16,0.016249999999999987,0.02575000000000016,0.2463333333333338,9.67261904761904e-05,0.00015327380952381047,0.001466269841269844,168.0,1.0,1.0,0.0,1,SVM-rbf
f17,-0.0004166666666666208,-0.0030486111111111547,-0.007916666666666683,-7.18390804597622e-06,-5.256226053639922e-05,-0.0001364942528735635,58.0,1.0,1.0,1.0,1,SVM-rbf
f18,0.10250000000000009,0.9014930555555559,0.9118333333333333,0.00037272727272727305,0.003278156565656567,0.0033157575757575756,275.0,1.0,0.0,0.0,1,SVM-rbf
f19,0.025833333333333375,-0.0024861111111111334,0.055833333333333235,0.00029356060606060654,-2.825126262626288e-05,0.0006344696969696959,88.0,1.0,1.0,1.0,1,SVM-rbf
f2,-0.010833333333333306,-0.00314682539682537,0.036833333333333274,-0.0002927927927927921,-8.504933504933432e-05,0.000995495495495494,37.0,1.0,1.0,1.0,1,SVM-rbf
f20,-0.01708333333333334,0.8950208333333334,0.9856666666666662,-4.9805636540330437e-05,0.002609390184645287,0.0028736637512147703,343.0,1.0,0.0,0.0,1,SVM-rbf
f21,0.12708333333333333,0.16252777777777766,-0.009333333333333249,0.0017650462962962962,0.0022573302469135787,-0.00012962962962962847,72.0,1.0,1.0,1.0,1,SVM-rbf
f22,1.294166666666666,0.7534543650793653,1.106583333333334,0.0029346182917611473,0.0017085132994996944,0.0025092592592592606,441.0,0.0,0.0,0.0,1,SVM-rbf
f23,-0.004583333333333328,0.040999007936508125,0.09483333333333338,-7.161458333333325e-05,0.0006406094990079395,0.001481770833333334,64.0,1.0,1.0,1.0,1,SVM-rbf
f24,0.004166666666666596,0.02076388888888886,0.11266666666666669,2.9137529137528646e-05,0.00014520202020202,0.000787878787878788,143.0,1.0,1.0,1.0,1,SVM-rbf
