dataset,fold,measure,k,n_available_features,model,acc_test,gps_test
ArtificialDataset14,1,kDN_importances_norm,1,104,SVM-rbf,0.6666666666666666,0.24559616762853156
ArtificialDataset14,1,kDN_importances_norm,1,104,KNN,0.6033333333333334,0.4633897207204963
ArtificialDataset14,1,kDN_importances_norm,2,104,SVM-rbf,0.6733333333333333,0.2795166690930267
ArtificialDataset14,1,kDN_importances_norm,2,104,KNN,0.605,0.43687776141384393
ArtificialDataset14,1,kDN_importances_norm,3,104,SVM-rbf,0.6966666666666667,0.4373076923076923
ArtificialDataset14,1,kDN_importances_norm,3,104,KNN,0.6166666666666667,0.49945887445887444
ArtificialDataset14,1,kDN_importances_norm,4,104,SVM-rbf,0.7,0.4457478005865103
ArtificialDataset14,1,kDN_importances_norm,4,104,KNN,0.6516666666666666,0.5209653498719159
ArtificialDataset14,1,kDN_importances_norm,5,104,SVM-rbf,0.7133333333333334,0.4735547355473555
ArtificialDataset14,1,kDN_importances_norm,5,104,KNN,0.6566666666666666,0.513125059986563
ArtificialDataset14,1,kDN_importances_norm,6,104,SVM-rbf,0.7166666666666667,0.5182041074582794
ArtificialDataset14,1,kDN_importances_norm,6,104,KNN,0.65,0.5047050001209512
ArtificialDataset14,1,kDN_importances_norm,7,104,SVM-rbf,0.7316666666666667,0.5694898736104766
ArtificialDataset14,1,kDN_importances_norm,7,104,KNN,0.675,0.5185596108242552
ArtificialDataset14,1,kDN_importances_norm,8,104,SVM-rbf,0.7466666666666667,0.638064461263713
ArtificialDataset14,1,kDN_importances_norm,8,104,KNN,0.69,0.587984761578632
ArtificialDataset14,1,kDN_importances_norm,9,104,SVM-rbf,0.7583333333333333,0.6580029132605191
ArtificialDataset14,1,kDN_importances_norm,9,104,KNN,0.6966666666666667,0.5870731018910528
ArtificialDataset14,1,kDN_importances_norm,10,104,SVM-rbf,0.7666666666666667,0.6683899404749644
ArtificialDataset14,1,kDN_importances_norm,10,104,KNN,0.7016666666666667,0.5891697695591257
ArtificialDataset14,1,kDN_importances_norm,11,104,SVM-rbf,0.7683333333333333,0.679398211846641
ArtificialDataset14,1,kDN_importances_norm,11,104,KNN,0.715,0.6102714218168102
ArtificialDataset14,1,kDN_importances_norm,12,104,SVM-rbf,0.7766666666666666,0.7054528301886792
