fold,measure,n_features,top_features,acc_train,gps_train,acc_test,gps_test,complexity_kDN,removed_features,fixed_features,model
1,kDN_importances_norm,50,"['f15', 'f128', 'f20', 'f31', 'f28', 'f40', 'f0', 'f34', 'f19', 'f107', 'f26', 'f45', 'f33', 'f124', 'f3', 'f69', 'f63', 'f38', 'f95', 'f132', 'f50', 'f5', 'f4', 'f117', 'f121', 'f22', 'f51', 'f8', 'f134', 'f130', 'f24', 'f6', 'f18', 'f77', 'f83', 'f21', 'f11', 'f13', 'f97', 'f23', 'f56', 'f46', 'f47', 'f115', 'f104', 'f74', 'f70', 'f67', 'f9', 'f65']",0.82,0.7206661619984861,0.67,0.0,0.40049999999999997,"['f51', 'f14', 'f97', 'f21', 'f7', 'f68', 'f38', 'f0', 'f52', 'f30', 'f116', 'f44', 'f41', 'f9', 'f55', 'f82', 'f109', 'f45', 'f32', 'f40', 'f100', 'f11', 'f3', 'f48', 'f120', 'f105', 'f39', 'f60', 'f74', 'f31', 'f128', 'f71', 'f35', 'f24', 'f76', 'f65', 'f46', 'f70', 'f101', 'f90', 'f6', 'f58', 'f37', 'f22', 'f1', 'f57', 'f104', 'f20', 'f42', 'f13', 'f61', 'f33', 'f63', 'f81', 'f5', 'f79', 'f17', 'f27', 'f53', 'f49', 'f34', 'f28', 'f12', 'f18', 'f4', 'f36', 'f69', 'f132', 'f62', 'f75', 'f78', 'f2', 'f134', 'f25', 'f43', 'f59', 'f138', 'f112', 'f54', 'f92', 'f73', 'f23', 'f66', 'f8', 'f93', 'f95', 'f67', 'f83', 'f10', 'f99', 'f56', 'f107', 'f72', 'f47', 'f64', 'f29', 'f16', 'f19', 'f50', 'f89', 'f77', 'f26']","['f117', 'f124', 'f15', 'f130']",SVM-rbf
2,kDN_importances_norm,50,"['f25', 'f4', 'f40', 'f104', 'f56', 'f134', 'f70', 'f111', 'f54', 'f28', 'f49', 'f68', 'f53', 'f107', 'f69', 'f100', 'f7', 'f21', 'f89', 'f109', 'f99', 'f132', 'f8', 'f82', 'f17', 'f30', 'f1', 'f64', 'f13', 'f95', 'f3', 'f29', 'f73', 'f38', 'f121', 'f128', 'f18', 'f23', 'f75', 'f117', 'f19', 'f34', 'f115', 'f60', 'f63', 'f11', 'f57', 'f71', 'f39', 'f2']",0.8075,0.6905013750793314,0.69,0.11281625881377022,0.391,"['f51', 'f14', 'f97', 'f21', 'f7', 'f68', 'f38', 'f0', 'f52', 'f30', 'f116', 'f44', 'f41', 'f9', 'f82', 'f55', 'f109', 'f45', 'f32', 'f40', 'f100', 'f11', 'f3', 'f48', 'f120', 'f105', 'f39', 'f60', 'f74', 'f31', 'f128', 'f71', 'f35', 'f111', 'f24', 'f76', 'f65', 'f46', 'f70', 'f101', 'f90', 'f6', 'f58', 'f37', 'f22', 'f1', 'f57', 'f104', 'f20', 'f42', 'f13', 'f61', 'f33', 'f63', 'f81', 'f124', 'f5', 'f79', 'f17', 'f27', 'f53', 'f49', 'f34', 'f28', 'f12', 'f121', 'f18', 'f4', 'f36', 'f69', 'f132', 'f62', 'f75', 'f78', 'f2', 'f134', 'f25', 'f43', 'f59', 'f138', 'f112', 'f54', 'f92', 'f73', 'f130', 'f23', 'f66', 'f117', 'f8', 'f93', 'f95', 'f67', 'f83', 'f15', 'f10', 'f99', 'f56', 'f107', 'f72', 'f47', 'f29', 'f64', 'f16', 'f19', 'f50', 'f77', 'f89', 'f26']",[],SVM-rbf
3,kDN_importances_norm,50,"['f112', 'f128', 'f6', 'f44', 'f40', 'f10', 'f36', 'f70', 'f76', 'f17', 'f69', 'f20', 'f45', 'f12', 'f57', 'f1', 'f90', 'f4', 'f29', 'f82', 'f49', 'f81', 'f38', 'f83', 'f56', 'f101', 'f41', 'f5', 'f79', 'f62', 'f73', 'f138', 'f30', 'f65', 'f7', 'f134', 'f75', 'f107', 'f67', 'f121', 'f116', 'f120', 'f25', 'f13', 'f55', 'f23', 'f74', 'f93', 'f124', 'f42']",0.835,0.7536983240223464,0.68,0.10965630114566284,0.38800000000000007,"['f51', 'f14', 'f97', 'f21', 'f7', 'f68', 'f38', 'f0', 'f52', 'f116', 'f30', 'f44', 'f41', 'f9', 'f55', 'f82', 'f109', 'f45', 'f32', 'f100', 'f40', 'f11', 'f3', 'f48', 'f105', 'f39', 'f60', 'f74', 'f31', 'f128', 'f71', 'f35', 'f111', 'f24', 'f76', 'f65', 'f46', 'f70', 'f101', 'f90', 'f6', 'f58', 'f37', 'f22', 'f1', 'f57', 'f104', 'f20', 'f42', 'f13', 'f61', 'f33', 'f63', 'f81', 'f124', 'f5', 'f79', 'f17', 'f27', 'f53', 'f49', 'f34', 'f28', 'f12', 'f121', 'f18', 'f4', 'f36', 'f69', 'f132', 'f62', 'f75', 'f78', 'f2', 'f25', 'f43', 'f59', 'f138', 'f112', 'f54', 'f92', 'f73', 'f23', 'f66', 'f117', 'f115', 'f93', 'f8', 'f95', 'f67', 'f83', 'f15', 'f10', 'f99', 'f56', 'f107', 'f72', 'f47', 'f64', 'f29', 'f16', 'f19', 'f50', 'f89', 'f77', 'f26']",[],SVM-rbf
4,kDN_importances_norm,50,"['f38', 'f0', 'f25', 'f65', 'f19', 'f69', 'f20', 'f128', 'f101', 'f47', 'f16', 'f109', 'f40', 'f70', 'f81', 'f39', 'f4', 'f17', 'f31', 'f18', 'f10', 'f75', 'f7', 'f2', 'f34', 'f72', 'f35', 'f74', 'f36', 'f44', 'f63', 'f50', 'f112', 'f55', 'f117', 'f66', 'f12', 'f134', 'f30', 'f29', 'f54', 'f68', 'f111', 'f120', 'f60', 'f99', 'f51', 'f77', 'f5', 'f76']",0.845,0.774093398301065,0.69,0.20037383177570092,0.405,"['f51', 'f14', 'f97', 'f21', 'f7', 'f68', 'f0', 'f52', 'f30', 'f116', 'f44', 'f41', 'f9', 'f55', 'f82', 'f109', 'f45', 'f32', 'f100', 'f40', 'f11', 'f3', 'f48', 'f105', 'f39', 'f60', 'f31', 'f74', 'f71', 'f35', 'f24', 'f76', 'f65', 'f46', 'f70', 'f101', 'f90', 'f6', 'f58', 'f37', 'f22', 'f1', 'f57', 'f104', 'f20', 'f42', 'f13', 'f61', 'f33', 'f63', 'f81', 'f124', 'f5', 'f79', 'f17', 'f27', 'f53', 'f49', 'f34', 'f28', 'f12', 'f18', 'f4', 'f36', 'f69', 'f132', 'f62', 'f75', 'f78', 'f2', 'f134', 'f25', 'f43', 'f59', 'f138', 'f112', 'f54', 'f92', 'f73', 'f23', 'f66', 'f8', 'f93', 'f95', 'f67', 'f83', 'f15', 'f10', 'f99', 'f56', 'f107', 'f72', 'f47', 'f64', 'f29', 'f16', 'f19', 'f50', 'f77', 'f89', 'f26']","['f120', 'f128', 'f38']",SVM-rbf
5,kDN_importances_norm,50,"['f77', 'f73', 'f21', 'f7', 'f38', 'f40', 'f15', 'f60', 'f0', 'f75', 'f89', 'f100', 'f59', 'f66', 'f70', 'f46', 'f3', 'f128', 'f2', 'f76', 'f93', 'f36', 'f30', 'f25', 'f1', 'f48', 'f18', 'f72', 'f20', 'f24', 'f29', 'f78', 'f16', 'f19', 'f104', 'f134', 'f95', 'f124', 'f130', 'f10', 'f117', 'f121', 'f26', 'f92', 'f90', 'f111', 'f99', 'f115', 'f79', 'f31']",0.8325,0.7484071764453815,0.69,0.20037383177570092,0.38049999999999995,"['f51', 'f14', 'f97', 'f21', 'f7', 'f68', 'f38', 'f0', 'f52', 'f30', 'f116', 'f44', 'f41', 'f9', 'f55', 'f82', 'f109', 'f45', 'f32', 'f100', 'f40', 'f11', 'f3', 'f48', 'f120', 'f105', 'f39', 'f60', 'f74', 'f31', 'f128', 'f71', 'f35', 'f24', 'f76', 'f65', 'f46', 'f70', 'f101', 'f90', 'f6', 'f58', 'f37', 'f22', 'f1', 'f57', 'f104', 'f20', 'f42', 'f13', 'f61', 'f33', 'f63', 'f81', 'f124', 'f5', 'f79', 'f17', 'f27', 'f53', 'f49', 'f34', 'f28', 'f12', 'f18', 'f4', 'f36', 'f69', 'f132', 'f62', 'f75', 'f78', 'f2', 'f25', 'f43', 'f59', 'f138', 'f112', 'f54', 'f92', 'f23', 'f66', 'f115', 'f93', 'f8', 'f95', 'f67', 'f83', 'f15', 'f10', 'f99', 'f56', 'f107', 'f72', 'f47', 'f29', 'f64', 'f16', 'f19', 'f50', 'f89', 'f26']","['f77', 'f73', 'f130']",SVM-rbf
1,kDN_importances_norm,50,"['f15', 'f128', 'f20', 'f31', 'f28', 'f40', 'f0', 'f34', 'f19', 'f107', 'f26', 'f45', 'f33', 'f124', 'f3', 'f69', 'f63', 'f38', 'f95', 'f132', 'f50', 'f5', 'f4', 'f117', 'f121', 'f22', 'f51', 'f8', 'f134', 'f130', 'f24', 'f6', 'f18', 'f77', 'f83', 'f21', 'f11', 'f13', 'f97', 'f23', 'f56', 'f46', 'f47', 'f115', 'f104', 'f74', 'f70', 'f67', 'f9', 'f65']",0.775,0.6470856102003643,0.59,0.40286349049617376,0.40049999999999997,"['f51', 'f14', 'f97', 'f21', 'f7', 'f68', 'f38', 'f0', 'f52', 'f30', 'f116', 'f44', 'f41', 'f9', 'f55', 'f82', 'f109', 'f45', 'f32', 'f40', 'f100', 'f11', 'f3', 'f48', 'f120', 'f105', 'f39', 'f60', 'f74', 'f31', 'f128', 'f71', 'f35', 'f24', 'f76', 'f65', 'f46', 'f70', 'f101', 'f90', 'f6', 'f58', 'f37', 'f22', 'f1', 'f57', 'f104', 'f20', 'f42', 'f13', 'f61', 'f33', 'f63', 'f81', 'f5', 'f79', 'f17', 'f27', 'f53', 'f49', 'f34', 'f28', 'f12', 'f18', 'f4', 'f36', 'f69', 'f132', 'f62', 'f75', 'f78', 'f2', 'f134', 'f25', 'f43', 'f59', 'f138', 'f112', 'f54', 'f92', 'f73', 'f23', 'f66', 'f8', 'f93', 'f95', 'f67', 'f83', 'f10', 'f99', 'f56', 'f107', 'f72', 'f47', 'f64', 'f29', 'f16', 'f19', 'f50', 'f89', 'f77', 'f26']","['f117', 'f124', 'f15', 'f130']",KNN
2,kDN_importances_norm,50,"['f25', 'f4', 'f40', 'f104', 'f56', 'f134', 'f70', 'f111', 'f54', 'f28', 'f49', 'f68', 'f53', 'f107', 'f69', 'f100', 'f7', 'f21', 'f89', 'f109', 'f99', 'f132', 'f8', 'f82', 'f17', 'f30', 'f1', 'f64', 'f13', 'f95', 'f3', 'f29', 'f73', 'f38', 'f121', 'f128', 'f18', 'f23', 'f75', 'f117', 'f19', 'f34', 'f115', 'f60', 'f63', 'f11', 'f57', 'f71', 'f39', 'f2']",0.7275,0.49683529243801455,0.7,0.45652173913043487,0.391,"['f51', 'f14', 'f97', 'f21', 'f7', 'f68', 'f38', 'f0', 'f52', 'f30', 'f116', 'f44', 'f41', 'f9', 'f82', 'f55', 'f109', 'f45', 'f32', 'f40', 'f100', 'f11', 'f3', 'f48', 'f120', 'f105', 'f39', 'f60', 'f74', 'f31', 'f128', 'f71', 'f35', 'f111', 'f24', 'f76', 'f65', 'f46', 'f70', 'f101', 'f90', 'f6', 'f58', 'f37', 'f22', 'f1', 'f57', 'f104', 'f20', 'f42', 'f13', 'f61', 'f33', 'f63', 'f81', 'f124', 'f5', 'f79', 'f17', 'f27', 'f53', 'f49', 'f34', 'f28', 'f12', 'f121', 'f18', 'f4', 'f36', 'f69', 'f132', 'f62', 'f75', 'f78', 'f2', 'f134', 'f25', 'f43', 'f59', 'f138', 'f112', 'f54', 'f92', 'f73', 'f130', 'f23', 'f66', 'f117', 'f8', 'f93', 'f95', 'f67', 'f83', 'f15', 'f10', 'f99', 'f56', 'f107', 'f72', 'f47', 'f29', 'f64', 'f16', 'f19', 'f50', 'f77', 'f89', 'f26']",[],KNN
3,kDN_importances_norm,50,"['f112', 'f128', 'f6', 'f44', 'f40', 'f10', 'f36', 'f70', 'f76', 'f17', 'f69', 'f20', 'f45', 'f12', 'f57', 'f1', 'f90', 'f4', 'f29', 'f82', 'f49', 'f81', 'f38', 'f83', 'f56', 'f101', 'f41', 'f5', 'f79', 'f62', 'f73', 'f138', 'f30', 'f65', 'f7', 'f134', 'f75', 'f107', 'f67', 'f121', 'f116', 'f120', 'f25', 'f13', 'f55', 'f23', 'f74', 'f93', 'f124', 'f42']",0.7775,0.6336769941370319,0.65,0.3453237410071943,0.38800000000000007,"['f51', 'f14', 'f97', 'f21', 'f7', 'f68', 'f38', 'f0', 'f52', 'f116', 'f30', 'f44', 'f41', 'f9', 'f55', 'f82', 'f109', 'f45', 'f32', 'f100', 'f40', 'f11', 'f3', 'f48', 'f105', 'f39', 'f60', 'f74', 'f31', 'f128', 'f71', 'f35', 'f111', 'f24', 'f76', 'f65', 'f46', 'f70', 'f101', 'f90', 'f6', 'f58', 'f37', 'f22', 'f1', 'f57', 'f104', 'f20', 'f42', 'f13', 'f61', 'f33', 'f63', 'f81', 'f124', 'f5', 'f79', 'f17', 'f27', 'f53', 'f49', 'f34', 'f28', 'f12', 'f121', 'f18', 'f4', 'f36', 'f69', 'f132', 'f62', 'f75', 'f78', 'f2', 'f25', 'f43', 'f59', 'f138', 'f112', 'f54', 'f92', 'f73', 'f23', 'f66', 'f117', 'f115', 'f93', 'f8', 'f95', 'f67', 'f83', 'f15', 'f10', 'f99', 'f56', 'f107', 'f72', 'f47', 'f64', 'f29', 'f16', 'f19', 'f50', 'f89', 'f77', 'f26']",[],KNN
4,kDN_importances_norm,50,"['f38', 'f0', 'f25', 'f65', 'f19', 'f69', 'f20', 'f128', 'f101', 'f47', 'f16', 'f109', 'f40', 'f70', 'f81', 'f39', 'f4', 'f17', 'f31', 'f18', 'f10', 'f75', 'f7', 'f2', 'f34', 'f72', 'f35', 'f74', 'f36', 'f44', 'f63', 'f50', 'f112', 'f55', 'f117', 'f66', 'f12', 'f134', 'f30', 'f29', 'f54', 'f68', 'f111', 'f120', 'f60', 'f99', 'f51', 'f77', 'f5', 'f76']",0.7725,0.6683728225873029,0.62,0.3632432432432433,0.405,"['f51', 'f14', 'f97', 'f21', 'f7', 'f68', 'f0', 'f52', 'f30', 'f116', 'f44', 'f41', 'f9', 'f55', 'f82', 'f109', 'f45', 'f32', 'f100', 'f40', 'f11', 'f3', 'f48', 'f105', 'f39', 'f60', 'f31', 'f74', 'f71', 'f35', 'f24', 'f76', 'f65', 'f46', 'f70', 'f101', 'f90', 'f6', 'f58', 'f37', 'f22', 'f1', 'f57', 'f104', 'f20', 'f42', 'f13', 'f61', 'f33', 'f63', 'f81', 'f124', 'f5', 'f79', 'f17', 'f27', 'f53', 'f49', 'f34', 'f28', 'f12', 'f18', 'f4', 'f36', 'f69', 'f132', 'f62', 'f75', 'f78', 'f2', 'f134', 'f25', 'f43', 'f59', 'f138', 'f112', 'f54', 'f92', 'f73', 'f23', 'f66', 'f8', 'f93', 'f95', 'f67', 'f83', 'f15', 'f10', 'f99', 'f56', 'f107', 'f72', 'f47', 'f64', 'f29', 'f16', 'f19', 'f50', 'f77', 'f89', 'f26']","['f120', 'f128', 'f38']",KNN
5,kDN_importances_norm,50,"['f77', 'f73', 'f21', 'f7', 'f38', 'f40', 'f15', 'f60', 'f0', 'f75', 'f89', 'f100', 'f59', 'f66', 'f70', 'f46', 'f3', 'f128', 'f2', 'f76', 'f93', 'f36', 'f30', 'f25', 'f1', 'f48', 'f18', 'f72', 'f20', 'f24', 'f29', 'f78', 'f16', 'f19', 'f104', 'f134', 'f95', 'f124', 'f130', 'f10', 'f117', 'f121', 'f26', 'f92', 'f90', 'f111', 'f99', 'f115', 'f79', 'f31']",0.7825,0.6818771247327655,0.62,0.3632432432432433,0.38049999999999995,"['f51', 'f14', 'f97', 'f21', 'f7', 'f68', 'f38', 'f0', 'f52', 'f30', 'f116', 'f44', 'f41', 'f9', 'f55', 'f82', 'f109', 'f45', 'f32', 'f100', 'f40', 'f11', 'f3', 'f48', 'f120', 'f105', 'f39', 'f60', 'f74', 'f31', 'f128', 'f71', 'f35', 'f24', 'f76', 'f65', 'f46', 'f70', 'f101', 'f90', 'f6', 'f58', 'f37', 'f22', 'f1', 'f57', 'f104', 'f20', 'f42', 'f13', 'f61', 'f33', 'f63', 'f81', 'f124', 'f5', 'f79', 'f17', 'f27', 'f53', 'f49', 'f34', 'f28', 'f12', 'f18', 'f4', 'f36', 'f69', 'f132', 'f62', 'f75', 'f78', 'f2', 'f25', 'f43', 'f59', 'f138', 'f112', 'f54', 'f92', 'f23', 'f66', 'f115', 'f93', 'f8', 'f95', 'f67', 'f83', 'f15', 'f10', 'f99', 'f56', 'f107', 'f72', 'f47', 'f29', 'f64', 'f16', 'f19', 'f50', 'f89', 'f26']","['f77', 'f73', 'f130']",KNN
