feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
f0,0.028500000000000025,0.0013571428571428584,21.0,1.0,0.0,1,SVM-rbf
f1,0.07400000000000007,0.002551724137931037,29.0,1.0,3.0,1,SVM-rbf
f10,-0.03999999999999998,-0.0049999999999999975,8.0,1.0,0.0,1,SVM-rbf
f11,-0.02549999999999991,-0.0014999999999999948,17.0,1.0,0.0,1,SVM-rbf
f12,-0.0044999999999999485,-0.00029999999999999656,15.0,1.0,0.0,1,SVM-rbf
f13,0.08199999999999952,0.001952380952380941,42.0,1.0,4.0,1,SVM-rbf
f14,0.07350000000000007,0.0017500000000000016,42.0,1.0,2.0,1,SVM-rbf
f15,-0.020000000000000018,-0.0013333333333333346,15.0,1.0,0.0,1,SVM-rbf
f16,-0.03199999999999986,-0.0029090909090908963,11.0,1.0,0.0,1,SVM-rbf
f17,0.10499999999999987,0.001944444444444442,54.0,1.0,4.0,1,SVM-rbf
f18,0.012500000000000067,0.0010416666666666723,12.0,1.0,0.0,1,SVM-rbf
f19,-0.021499999999999853,-0.0016538461538461425,13.0,1.0,0.0,1,SVM-rbf
f2,-0.015499999999999847,-0.00045588235294117196,34.0,1.0,0.0,1,SVM-rbf
f20,0.03949999999999987,0.0011969696969696929,33.0,1.0,2.0,1,SVM-rbf
f21,-0.007000000000000062,-0.0007000000000000062,10.0,1.0,0.0,1,SVM-rbf
f22,0.04150000000000004,0.0012205882352941187,34.0,1.0,2.0,1,SVM-rbf
f23,-0.025000000000000133,-0.0019230769230769334,13.0,1.0,0.0,1,SVM-rbf
f24,0.006999999999999895,0.0002692307692307652,26.0,1.0,0.0,1,SVM-rbf
f25,0.38350000000000034,0.004357954545454549,88.0,0.0,27.0,1,SVM-rbf
f26,-0.011000000000000065,-0.0006875000000000041,16.0,1.0,0.0,1,SVM-rbf
f27,-0.016499999999999848,-0.0012692307692307575,13.0,1.0,0.0,1,SVM-rbf
f28,-0.00649999999999995,-0.0004062499999999969,16.0,1.0,0.0,1,SVM-rbf
f29,-0.022499999999999964,-0.004499999999999993,5.0,1.0,0.0,1,SVM-rbf
f3,0.033000000000000085,0.000750000000000002,44.0,1.0,3.0,1,SVM-rbf
f30,-0.013000000000000067,-0.001181818181818188,11.0,1.0,0.0,1,SVM-rbf
f31,,,,,,1,SVM-rbf
f32,-0.01150000000000001,-0.0003484848484848488,33.0,1.0,0.0,1,SVM-rbf
f33,-0.01100000000000012,-0.002200000000000024,5.0,1.0,0.0,1,SVM-rbf
f34,,,,,,1,SVM-rbf
f35,-0.02100000000000002,-0.0011666666666666676,18.0,1.0,0.0,1,SVM-rbf
f36,0.018000000000000016,0.00046153846153846196,39.0,1.0,1.0,1,SVM-rbf
f37,-0.01200000000000001,-0.0040000000000000036,3.0,1.0,0.0,1,SVM-rbf
f38,,,,,,1,SVM-rbf
f39,0.021499999999999964,0.000511904761904761,42.0,1.0,0.0,1,SVM-rbf
f4,0.026499999999999968,0.0008833333333333322,30.0,1.0,1.0,1,SVM-rbf
f40,,,,,,1,SVM-rbf
f41,-0.007500000000000062,-0.00039473684210526646,19.0,1.0,0.0,1,SVM-rbf
f42,-0.014499999999999957,-0.0016111111111111064,9.0,1.0,0.0,1,SVM-rbf
f43,,,,,,1,SVM-rbf
f44,,,,,,1,SVM-rbf
f45,-0.01849999999999985,-0.0011562499999999906,16.0,1.0,0.0,1,SVM-rbf
f46,,,,,,1,SVM-rbf
f47,,,,,,1,SVM-rbf
f48,0.40250000000000036,0.0050312500000000045,80.0,0.0,32.0,1,SVM-rbf
f49,-0.008500000000000063,-0.00025757575757575946,33.0,1.0,0.0,1,SVM-rbf
f5,0.05999999999999983,0.0010344827586206866,58.0,1.0,3.0,1,SVM-rbf
f6,-0.009499999999999953,-0.0013571428571428504,7.0,1.0,0.0,1,SVM-rbf
f7,-0.01100000000000001,-0.0006111111111111116,18.0,1.0,0.0,1,SVM-rbf
f8,-0.014000000000000123,-0.0005600000000000049,25.0,1.0,0.0,1,SVM-rbf
f9,0.03150000000000003,0.0005250000000000005,60.0,1.0,1.0,1,SVM-rbf
f0,-0.01650000000000007,-0.0006875000000000029,24.0,1.0,0.0,2,SVM-rbf
f1,0.04249999999999976,0.0004999999999999972,85.0,1.0,2.0,2,SVM-rbf
f10,-0.01100000000000001,-0.001833333333333335,6.0,1.0,0.0,2,SVM-rbf
f11,0.13000000000000017,0.0011016949152542388,118.0,1.0,7.0,2,SVM-rbf
f12,-0.006000000000000005,-0.0006000000000000005,10.0,1.0,0.0,2,SVM-rbf
f13,0.02900000000000008,0.0016111111111111157,18.0,1.0,2.0,2,SVM-rbf
f14,0.02499999999999991,0.0006097560975609734,41.0,1.0,1.0,2,SVM-rbf
f15,-0.02200000000000002,-0.00366666666666667,6.0,1.0,0.0,2,SVM-rbf
f16,-0.03549999999999992,-0.0014791666666666634,24.0,1.0,0.0,2,SVM-rbf
f17,0.10150000000000009,0.0011404494382022481,89.0,1.0,5.0,2,SVM-rbf
f18,0.05800000000000011,0.0012083333333333356,48.0,1.0,3.0,2,SVM-rbf
f19,-0.014499999999999902,-0.0007249999999999951,20.0,1.0,0.0,2,SVM-rbf
f2,-0.014500000000000124,-0.0007250000000000062,20.0,1.0,0.0,2,SVM-rbf
f20,0.25549999999999967,0.0017867132867132845,143.0,0.0,14.0,2,SVM-rbf
f21,-0.009499999999999953,-0.0003275862068965501,29.0,1.0,0.0,2,SVM-rbf
f22,-0.012000000000000066,-0.012000000000000066,1.0,1.0,0.0,2,SVM-rbf
f23,-0.020499999999999963,-0.0012812499999999977,16.0,1.0,0.0,2,SVM-rbf
f24,0.0004999999999998894,1.0416666666664362e-05,48.0,1.0,2.0,2,SVM-rbf
f25,0.05499999999999999,0.0007746478873239435,71.0,1.0,1.0,2,SVM-rbf
f26,-0.019000000000000128,-0.0010555555555555626,18.0,1.0,0.0,2,SVM-rbf
f27,-0.040500000000000036,-0.0010945945945945955,37.0,1.0,0.0,2,SVM-rbf
f28,-0.012000000000000122,-0.0006000000000000061,20.0,1.0,0.0,2,SVM-rbf
f29,-0.009000000000000008,-0.0005000000000000004,18.0,1.0,0.0,2,SVM-rbf
f3,-0.022499999999999798,-0.0006818181818181757,33.0,1.0,0.0,2,SVM-rbf
f30,0.026999999999999913,0.00030681818181818083,88.0,1.0,2.0,2,SVM-rbf
f31,,,,,,2,SVM-rbf
f32,0.0029999999999998916,0.0001499999999999946,20.0,1.0,0.0,2,SVM-rbf
f33,0.03300000000000003,0.0025384615384615406,13.0,1.0,1.0,2,SVM-rbf
f34,,,,,,2,SVM-rbf
f35,0.2099999999999998,0.0015555555555555542,135.0,1.0,10.0,2,SVM-rbf
f36,-0.01550000000000007,-0.0007750000000000034,20.0,1.0,0.0,2,SVM-rbf
f37,-0.01899999999999996,-0.0008636363636363619,22.0,1.0,0.0,2,SVM-rbf
