feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
f0,0.05450000000000005,0.013625000000000012,4.0,1.0,0.0,1,SVM-rbf
f1,0.7497499999999997,0.004333815028901732,173.0,1.0,21.0,1,SVM-rbf
f10,-0.006000000000000005,-0.00042857142857142893,14.0,1.0,0.0,1,SVM-rbf
f11,-0.024499999999999994,-0.0061249999999999985,4.0,1.0,0.0,1,SVM-rbf
f12,,,,,,1,SVM-rbf
f13,,,,,,1,SVM-rbf
f14,-0.029249999999999915,-0.009749999999999972,3.0,1.0,0.0,1,SVM-rbf
f15,,,,,,1,SVM-rbf
f16,,,,,,1,SVM-rbf
f17,,,,,,1,SVM-rbf
f2,6.242499999999999,0.009139824304538798,683.0,0.0,161.0,1,SVM-rbf
f3,-0.012000000000000066,-0.0008000000000000044,15.0,1.0,0.0,1,SVM-rbf
f4,0.2384999999999999,0.004499999999999998,53.0,1.0,5.0,1,SVM-rbf
f5,4.028500000000001,0.0063944444444444465,630.0,0.0,129.0,1,SVM-rbf
f6,10.298250000000001,0.016854746317512277,611.0,0.0,151.0,1,SVM-rbf
f7,11.613250000000003,0.017179363905325446,676.0,0.0,159.0,1,SVM-rbf
f8,16.216,0.024311844077961022,667.0,0.0,174.0,1,SVM-rbf
f9,13.670999999999982,0.018301204819277085,747.0,0.0,167.0,1,SVM-rbf
f0,3.7924999999999978,0.004862179487179485,780.0,0.0,98.0,2,SVM-rbf
f1,0.9265000000000001,0.00935858585858586,99.0,1.0,16.0,2,SVM-rbf
f10,-0.02449999999999991,-0.0012894736842105215,19.0,1.0,0.0,2,SVM-rbf
f11,-0.012999999999999956,-0.0016249999999999945,8.0,1.0,0.0,2,SVM-rbf
f12,,,,,,2,SVM-rbf
f13,,,,,,2,SVM-rbf
f14,0.09850000000000006,0.0018240740740740752,54.0,1.0,4.0,2,SVM-rbf
f15,,,,,,2,SVM-rbf
f16,,,,,,2,SVM-rbf
f17,,,,,,2,SVM-rbf
f2,6.152499999999996,0.008181515957446804,752.0,0.0,168.0,2,SVM-rbf
f3,0.27825000000000005,0.0018427152317880798,151.0,1.0,10.0,2,SVM-rbf
f4,0.5015000000000001,0.003634057971014493,138.0,1.0,12.0,2,SVM-rbf
f5,2.577250000000002,0.004001940993788823,644.0,1.0,91.0,2,SVM-rbf
f6,12.185999999999998,0.017408571428571426,700.0,0.0,169.0,2,SVM-rbf
f7,9.556499999999996,0.012299227799227794,777.0,0.0,167.0,2,SVM-rbf
f8,13.410249999999994,0.016195954106280185,828.0,0.0,168.0,2,SVM-rbf
f9,13.82724999999999,0.01745864898989898,792.0,0.0,167.0,2,SVM-rbf
f0,0.0020000000000000018,0.0006666666666666673,3.0,1.0,0.0,3,SVM-rbf
f1,6.891249999999999,0.009055519053876478,761.0,0.0,164.0,3,SVM-rbf
f10,-0.007250000000000145,-0.00048333333333334304,15.0,1.0,0.0,3,SVM-rbf
f11,-0.026000000000000023,-0.0018571428571428589,14.0,1.0,0.0,3,SVM-rbf
f12,,,,,,3,SVM-rbf
f13,,,,,,3,SVM-rbf
f14,0.06025,0.006694444444444444,9.0,1.0,1.0,3,SVM-rbf
f15,,,,,,3,SVM-rbf
f16,,,,,,3,SVM-rbf
f17,,,,,,3,SVM-rbf
f2,6.918500000000002,0.008026102088167055,862.0,0.0,166.0,3,SVM-rbf
f3,-0.012749999999999928,-0.004249999999999976,3.0,1.0,0.0,3,SVM-rbf
f4,5.943500000000001,0.007830698287220028,759.0,0.0,143.0,3,SVM-rbf
f5,2.664999999999999,0.003390585241730279,786.0,0.0,94.0,3,SVM-rbf
f6,9.356250000000005,0.010854118329466363,862.0,0.0,166.0,3,SVM-rbf
f7,10.491750000000003,0.011342432432432437,925.0,0.0,158.0,3,SVM-rbf
f8,12.827250000000005,0.014659714285714292,875.0,0.0,173.0,3,SVM-rbf
f9,11.693499999999997,0.013518497109826586,865.0,0.0,181.0,3,SVM-rbf
f0,0.4652499999999995,0.003323214285714282,140.0,1.0,13.0,4,SVM-rbf
f1,0.12125,0.011022727272727273,11.0,1.0,1.0,4,SVM-rbf
f10,-0.010750000000000037,-0.005375000000000019,2.0,1.0,0.0,4,SVM-rbf
f11,-0.015250000000000041,-0.0038125000000000103,4.0,1.0,0.0,4,SVM-rbf
f12,,,,,,4,SVM-rbf
f13,,,,,,4,SVM-rbf
f14,0.15774999999999975,0.002464843749999996,64.0,1.0,7.0,4,SVM-rbf
f15,,,,,,4,SVM-rbf
f16,,,,,,4,SVM-rbf
f17,,,,,,4,SVM-rbf
f2,2.1285000000000016,0.007095000000000005,300.0,1.0,51.0,4,SVM-rbf
f3,-0.01550000000000007,-0.00516666666666669,3.0,1.0,0.0,4,SVM-rbf
f4,2.003749999999999,0.004433075221238935,452.0,1.0,67.0,4,SVM-rbf
f5,4.203750000000003,0.006293038922155693,668.0,0.0,137.0,4,SVM-rbf
f6,9.650999999999994,0.015566129032258055,620.0,0.0,137.0,4,SVM-rbf
f7,13.151499999999992,0.019171282798833806,686.0,0.0,162.0,4,SVM-rbf
f8,16.247250000000005,0.025707674050632918,632.0,0.0,176.0,4,SVM-rbf
f9,12.471000000000009,0.018952887537993936,658.0,0.0,162.0,4,SVM-rbf
f0,0.5902500000000002,0.010731818181818184,55.0,1.0,12.0,5,SVM-rbf
f1,9.496499999999992,0.013413135593220328,708.0,0.0,167.0,5,SVM-rbf
f10,-0.016000000000000014,-0.0020000000000000018,8.0,1.0,0.0,5,SVM-rbf
f11,-0.028000000000000025,-0.0046666666666666705,6.0,1.0,0.0,5,SVM-rbf
f12,,,,,,5,SVM-rbf
f13,,,,,,5,SVM-rbf
f14,3.948750000000002,0.005244023904382473,753.0,0.0,151.0,5,SVM-rbf
f15,,,,,,5,SVM-rbf
f16,,,,,,5,SVM-rbf
f17,,,,,,5,SVM-rbf
f2,0.1135000000000001,0.004934782608695657,23.0,1.0,2.0,5,SVM-rbf
f3,-0.008250000000000035,-0.00019186046511627988,43.0,1.0,1.0,5,SVM-rbf
