fold,measure,n_features,top_features,acc_train,gps_train,acc_test,gps_test,complexity_Hostility,complexity_N1,complexity_kDN,model
1,Hostility_importances_norm,10,"['f8', 'f7', 'f14', 'f2', 'f1', 'f9', 'f5', 'f4', 'f6', 'f0']",0.8875,0.8874492729117349,0.855,0.8549957601099446,0.06625,0.09214583333333333,0.11725000000000002,LogReg
1,N1_importances_norm,10,"['f8', 'f2', 'f9', 'f6', 'f14', 'f3', 'f10', 'f0', 'f5', 'f4']",0.87125,0.8711980264633327,0.82,0.8199780461031835,0.14125,0.14239583333333333,0.18625,LogReg
1,kDN_importances_norm,10,"['f7', 'f8', 'f9', 'f4', 'f6', 'f2', 'f14', 'f1', 'f5', 'f0']",0.8875,0.8874492729117349,0.855,0.8549957601099446,0.06625,0.09214583333333333,0.11725000000000002,LogReg
2,Hostility_importances_norm,10,"['f14', 'f6', 'f8', 'f2', 'f4', 'f0', 'f3', 'f1', 'f11', 'f9']",0.84625,0.8462429026450632,0.85,0.8497171145685997,0.12375,0.14922321428571428,0.17925000000000002,LogReg
2,N1_importances_norm,10,"['f9', 'f8', 'f3', 'f2', 'f6', 'f4', 'f1', 'f0', 'f14', 'f5']",0.87125,0.8712109660209064,0.855,0.8547919533835027,0.12625,0.13133035714285715,0.16150000000000003,LogReg
2,kDN_importances_norm,10,"['f7', 'f1', 'f9', 'f8', 'f5', 'f0', 'f6', 'f4', 'f2', 'f14']",0.8825,0.8824325569200462,0.91,0.9096425419240954,0.0775,0.10629761904761903,0.1325,LogReg
3,Hostility_importances_norm,10,"['f6', 'f8', 'f0', 'f2', 'f9', 'f14', 'f7', 'f3', 'f10', 'f11']",0.86375,0.8635957803232671,0.815,0.8129284407084586,0.13125,0.14939880952380952,0.18600000000000003,LogReg
3,N1_importances_norm,10,"['f9', 'f8', 'f2', 'f4', 'f0', 'f14', 'f1', 'f7', 'f10', 'f5']",0.8625,0.8623563718662951,0.865,0.8649960981531258,0.14875,0.12872916666666664,0.188,LogReg
3,kDN_importances_norm,10,"['f9', 'f2', 'f8', 'f1', 'f7', 'f6', 'f14', 'f5', 'f3', 'f4']",0.85125,0.8512431737873434,0.825,0.8243559718969555,0.1,0.106,0.13975,LogReg
4,Hostility_importances_norm,10,"['f14', 'f6', 'f2', 'f10', 'f8', 'f4', 'f9', 'f1', 'f7', 'f0']",0.855,0.855,0.84,0.8399237732253453,0.10375,0.11896130952380951,0.15600000000000003,LogReg
4,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f2', 'f4', 'f14', 'f0', 'f7', 'f3', 'f6']",0.85875,0.8587188955355891,0.87,0.8697604790419161,0.08125,0.09783333333333331,0.12875,LogReg
4,kDN_importances_norm,10,"['f7', 'f6', 'f8', 'f2', 'f9', 'f3', 'f0', 'f5', 'f14', 'f11']",0.86375,0.8637438379087331,0.875,0.8748247546565192,0.10625,0.1314419642857143,0.17049999999999998,LogReg
5,Hostility_importances_norm,10,"['f11', 'f5', 'f9', 'f14', 'f6', 'f7', 'f8', 'f2', 'f0', 'f1']",0.85625,0.8562056546635732,0.88,0.8798771470822431,0.10375,0.13710714285714284,0.15525000000000003,LogReg
5,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f6', 'f0', 'f14', 'f3', 'f2', 'f4', 'f7']",0.86,0.8599837190370974,0.86,0.8599348534201954,0.09375,0.1059077380952381,0.13425,LogReg
5,kDN_importances_norm,10,"['f8', 'f9', 'f7', 'f2', 'f6', 'f5', 'f3', 'f10', 'f14', 'f0']",0.86375,0.8637083334087303,0.895,0.8949266247379456,0.1225,0.13724999999999998,0.16899999999999998,LogReg
1,Hostility_importances_norm,10,"['f8', 'f7', 'f14', 'f2', 'f1', 'f9', 'f5', 'f4', 'f6', 'f0']",0.88375,0.8834976744186046,0.86,0.8597390493942217,0.06625,0.09214583333333333,0.11725000000000002,SVM-linear
1,N1_importances_norm,10,"['f8', 'f2', 'f9', 'f6', 'f14', 'f3', 'f10', 'f0', 'f5', 'f4']",0.88375,0.8835521457072572,0.84,0.839828387558098,0.14625,0.14239583333333333,0.18625,SVM-linear
1,kDN_importances_norm,10,"['f7', 'f8', 'f9', 'f4', 'f6', 'f2', 'f14', 'f1', 'f5', 'f0']",0.88375,0.8834976744186046,0.86,0.8597390493942217,0.06625,0.09214583333333333,0.11725000000000002,SVM-linear
2,Hostility_importances_norm,10,"['f14', 'f6', 'f8', 'f2', 'f4', 'f0', 'f3', 'f1', 'f11', 'f9']",0.8475,0.8474820037762567,0.855,0.8548939283101684,0.12375,0.14922321428571428,0.17925000000000002,SVM-linear
2,N1_importances_norm,10,"['f9', 'f8', 'f3', 'f2', 'f6', 'f4', 'f1', 'f0', 'f14', 'f5']",0.87875,0.8784211924497084,0.86,0.8591977546485792,0.12625,0.13133035714285715,0.16150000000000003,SVM-linear
2,kDN_importances_norm,10,"['f7', 'f1', 'f9', 'f8', 'f5', 'f0', 'f6', 'f4', 'f2', 'f14']",0.87625,0.8759471677472289,0.9,0.8994525751312703,0.0775,0.10629761904761903,0.1325,SVM-linear
3,Hostility_importances_norm,10,"['f6', 'f8', 'f0', 'f2', 'f9', 'f14', 'f7', 'f3', 'f10', 'f11']",0.865,0.8643373703929599,0.84,0.8367148584619122,0.13125,0.14939880952380952,0.18600000000000003,SVM-linear
3,N1_importances_norm,10,"['f9', 'f8', 'f2', 'f4', 'f0', 'f14', 'f1', 'f7', 'f10', 'f5']",0.8725,0.8719266055045871,0.855,0.8546557636507518,0.14875,0.12872916666666664,0.188,SVM-linear
3,kDN_importances_norm,10,"['f9', 'f2', 'f8', 'f1', 'f7', 'f6', 'f14', 'f5', 'f3', 'f4']",0.84875,0.8487274427887812,0.82,0.8189179241810821,0.1,0.106,0.13975,SVM-linear
4,Hostility_importances_norm,10,"['f14', 'f6', 'f10', 'f2', 'f8', 'f4', 'f9', 'f1', 'f7', 'f0']",0.85125,0.8512497269635224,0.84,0.8399809501131088,0.10375,0.11896130952380951,0.15600000000000003,SVM-linear
4,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f2', 'f4', 'f14', 'f0', 'f7', 'f3', 'f6']",0.86125,0.8611933390807205,0.875,0.8748247546565192,0.08125,0.09783333333333331,0.12875,SVM-linear
4,kDN_importances_norm,10,"['f7', 'f6', 'f8', 'f2', 'f9', 'f3', 'f0', 'f5', 'f14', 'f11']",0.87375,0.8736304551337012,0.865,0.8645262333594361,0.10625,0.1314419642857143,0.17049999999999998,SVM-linear
5,Hostility_importances_norm,10,"['f5', 'f11', 'f9', 'f14', 'f6', 'f7', 'f8', 'f2', 'f0', 'f1']",0.86625,0.8660467989861965,0.88,0.8798771470822431,0.10375,0.13710714285714284,0.15525000000000003,SVM-linear
5,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f6', 'f0', 'f14', 'f3', 'f2', 'f4', 'f7']",0.86125,0.861092494210598,0.85,0.8499823508648077,0.09375,0.1059077380952381,0.13425,SVM-linear
5,kDN_importances_norm,10,"['f8', 'f9', 'f7', 'f2', 'f6', 'f3', 'f5', 'f10', 'f14', 'f0']",0.86625,0.8661222559043532,0.895,0.8949970669571776,0.1225,0.13724999999999998,0.16899999999999998,SVM-linear
1,Hostility_importances_norm,10,"['f8', 'f7', 'f14', 'f2', 'f1', 'f9', 'f5', 'f4', 'f6', 'f0']",0.97375,0.9737489469250209,0.94,0.94,0.06625,0.09214583333333333,0.11725000000000002,SVM-rbf
1,N1_importances_norm,10,"['f8', 'f2', 'f9', 'f6', 'f14', 'f3', 'f10', 'f0', 'f5', 'f4']",0.96,0.9599958328992603,0.915,0.914979093219644,0.14625,0.14239583333333333,0.18625,SVM-rbf
1,kDN_importances_norm,10,"['f7', 'f8', 'f9', 'f4', 'f6', 'f2', 'f14', 'f1', 'f5', 'f0']",0.97375,0.9737489469250209,0.94,0.94,0.06625,0.09214583333333333,0.11725000000000002,SVM-rbf
2,Hostility_importances_norm,10,"['f14', 'f6', 'f8', 'f2', 'f4', 'f0', 'f3', 'f1', 'f11', 'f9']",0.955,0.955,0.935,0.9349565217391305,0.12375,0.14922321428571428,0.17925000000000002,SVM-rbf
2,N1_importances_norm,10,"['f9', 'f8', 'f3', 'f2', 'f6', 'f4', 'f1', 'f0', 'f14', 'f5']",0.965,0.9649854862119013,0.94,0.93984,0.12625,0.13133035714285715,0.16150000000000003,SVM-rbf
2,kDN_importances_norm,10,"['f7', 'f1', 'f9', 'f8', 'f5', 'f0', 'f6', 'f4', 'f2', 'f14']",0.9675,0.9674981103552531,0.965,0.9649555134756556,0.0775,0.10629761904761903,0.1325,SVM-rbf
3,Hostility_importances_norm,10,"['f6', 'f8', 'f0', 'f2', 'f9', 'f14', 'f7', 'f3', 'f10', 'f11']",0.9525,0.9524388320937689,0.9,0.8992837958818264,0.13125,0.14939880952380952,0.18600000000000003,SVM-rbf
3,N1_importances_norm,10,"['f9', 'f8', 'f2', 'f4', 'f0', 'f14', 'f1', 'f7', 'f10', 'f5']",0.95625,0.9562413483711647,0.92,0.9199913034025439,0.14875,0.12872916666666664,0.188,SVM-rbf
3,kDN_importances_norm,10,"['f9', 'f2', 'f8', 'f1', 'f7', 'f6', 'f14', 'f5', 'f3', 'f4']",0.9625,0.9624990259487259,0.965,0.9649773169151004,0.1,0.106,0.13975,SVM-rbf
4,Hostility_importances_norm,10,"['f14', 'f6', 'f10', 'f2', 'f8', 'f4', 'f9', 'f1', 'f7', 'f0']",0.95375,0.9537493180600632,0.95,0.9499789385004213,0.10375,0.11896130952380951,0.15600000000000003,SVM-rbf
4,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f2', 'f4', 'f14', 'f0', 'f7', 'f3', 'f6']",0.97,0.9699982602083883,0.945,0.9449985449350512,0.08125,0.09783333333333331,0.12875,SVM-rbf
4,kDN_importances_norm,10,"['f7', 'f6', 'f8', 'f2', 'f9', 'f3', 'f0', 'f5', 'f14', 'f11']",0.96125,0.9612448973288094,0.955,0.9549422033498468,0.10625,0.1314419642857143,0.17049999999999998,SVM-rbf
5,Hostility_importances_norm,10,"['f5', 'f11', 'f9', 'f14', 'f6', 'f7', 'f8', 'f2', 'f0', 'f1']",0.96875,0.968749949596693,0.92,0.9199913034025439,0.10375,0.13710714285714284,0.15525000000000003,SVM-rbf
5,N1_importances_norm,10,"['f8', 'f1', 'f9', 'f6', 'f0', 'f14', 'f3', 'f2', 'f4', 'f7']",0.96875,0.9687487398685432,0.95,0.9499947362880304,0.09375,0.1059077380952381,0.13425,SVM-rbf
5,kDN_importances_norm,10,"['f8', 'f9', 'f7', 'f2', 'f6', 'f3', 'f5', 'f10', 'f14', 'f0']",0.96625,0.9662407740795916,0.94,0.94,0.1225,0.13724999999999998,0.16899999999999998,SVM-rbf
1,Hostility_importances_norm,10,"['f8', 'f7', 'f14', 'f2', 'f1', 'f9', 'f5', 'f4', 'f6', 'f0']",1.0,1.0,0.88,0.88,0.06625,0.09214583333333333,0.11725000000000002,RandomForest
1,N1_importances_norm,10,"['f8', 'f2', 'f9', 'f6', 'f14', 'f3', 'f10', 'f0', 'f5', 'f4']",1.0,1.0,0.85,0.8498410081262513,0.14625,0.14239583333333333,0.18625,RandomForest
1,kDN_importances_norm,10,"['f7', 'f8', 'f9', 'f4', 'f6', 'f2', 'f14', 'f1', 'f5', 'f0']",1.0,1.0,0.89,0.8899876390605687,0.06625,0.09214583333333333,0.11725000000000002,RandomForest
2,Hostility_importances_norm,10,"['f14', 'f6', 'f8', 'f2', 'f4', 'f0', 'f3', 'f1', 'f11', 'f9']",1.0,1.0,0.9,0.8998219056099733,0.12375,0.14922321428571428,0.17925000000000002,RandomForest
2,N1_importances_norm,10,"['f9', 'f8', 'f3', 'f2', 'f6', 'f4', 'f1', 'f0', 'f14', 'f5']",1.0,1.0,0.91,0.9098414795244386,0.12625,0.13133035714285715,0.16150000000000003,RandomForest
2,kDN_importances_norm,10,"['f7', 'f1', 'f9', 'f8', 'f5', 'f0', 'f6', 'f4', 'f2', 'f14']",1.0,1.0,0.945,0.9449869016432484,0.0775,0.10629761904761903,0.1325,RandomForest
3,Hostility_importances_norm,10,"['f6', 'f8', 'f0', 'f2', 'f9', 'f14', 'f7', 'f3', 'f10', 'f11']",1.0,1.0,0.87,0.8697604790419161,0.13125,0.14939880952380952,0.18600000000000003,RandomForest
3,N1_importances_norm,10,"['f9', 'f8', 'f2', 'f4', 'f0', 'f14', 'f1', 'f7', 'f10', 'f5']",1.0,1.0,0.86,0.8598533348853451,0.14875,0.12872916666666664,0.188,RandomForest
3,kDN_importances_norm,10,"['f9', 'f2', 'f8', 'f1', 'f7', 'f6', 'f14', 'f5', 'f3', 'f4']",1.0,1.0,0.895,0.8948560879415961,0.1,0.106,0.13975,RandomForest
4,Hostility_importances_norm,10,"['f14', 'f6', 'f10', 'f2', 'f8', 'f4', 'f9', 'f1', 'f7', 'f0']",1.0,1.0,0.905,0.9049763753419359,0.10375,0.11896130952380951,0.15600000000000003,RandomForest
