fold,measure,n_features,top_features,acc_train,gps_train,acc_test,gps_test,complexity_kDN,removed_features,fixed_features,model
1,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'chest', 'sex']",0.8379629629629629,0.8367562553147629,0.8703703703703703,0.8660968660968661,0.27037037037037037,"['age', 'chest', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",LogReg
2,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'thal', 'sex', 'oldpeak']",0.8194444444444444,0.8159347252219822,0.7962962962962963,0.7919049714034316,0.2518518518518519,"['chest', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",LogReg
3,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'maximum_heart_rate_achieved', 'oldpeak']",0.8333333333333334,0.8293838862559242,0.7592592592592593,0.7501172058134085,0.2490740740740741,"['age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina']","['thal', 'chest', 'maximum_heart_rate_achieved', 'number_of_major_vessels']",LogReg
4,kDN_importances_norm,4.333333333333333,"['chest', 'oldpeak', 'number_of_major_vessels', 'thal']",0.8425925925925926,0.839389534883721,0.8333333333333334,0.8316008316008318,0.237962962962963,"['thal', 'age', 'resting_electrocardiographic_results', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['chest', 'serum_cholestoral', 'oldpeak', 'number_of_major_vessels']",LogReg
5,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'chest', 'slope', 'resting_blood_pressure']",0.8055555555555556,0.7993850883935434,0.7592592592592593,0.753810623556582,0.24351851851851855,"['thal', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'sex', 'fasting_blood_sugar', 'maximum_heart_rate_achieved']","['chest', 'exercise_induced_angina', 'slope', 'resting_blood_pressure', 'number_of_major_vessels']",LogReg
1,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'chest', 'sex']",0.8379629629629629,0.8367562553147629,0.8703703703703703,0.8660968660968661,0.27037037037037037,"['age', 'chest', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",SVM-linear
2,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'thal', 'sex', 'oldpeak']",0.8101851851851852,0.8069939475453933,0.7962962962962963,0.7919049714034316,0.2518518518518519,"['chest', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",SVM-linear
3,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'maximum_heart_rate_achieved', 'oldpeak']",0.8379629629629629,0.8361143448454276,0.7037037037037037,0.6941649899396378,0.2490740740740741,"['age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina']","['thal', 'chest', 'maximum_heart_rate_achieved', 'number_of_major_vessels']",SVM-linear
4,kDN_importances_norm,4.333333333333333,"['chest', 'oldpeak', 'number_of_major_vessels', 'thal']",0.8287037037037037,0.8254118887570846,0.8148148148148148,0.811965811965812,0.237962962962963,"['thal', 'age', 'resting_electrocardiographic_results', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['chest', 'serum_cholestoral', 'oldpeak', 'number_of_major_vessels']",SVM-linear
5,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'chest', 'slope', 'resting_blood_pressure']",0.8009259259259259,0.7949502466991923,0.7777777777777778,0.7713248638838477,0.24351851851851855,"['thal', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'sex', 'fasting_blood_sugar', 'maximum_heart_rate_achieved']","['chest', 'exercise_induced_angina', 'slope', 'resting_blood_pressure', 'number_of_major_vessels']",SVM-linear
1,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'chest', 'sex']",0.8518518518518519,0.8496732026143791,0.8703703703703703,0.8660968660968661,0.27037037037037037,"['age', 'chest', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",SVM-rbf
2,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'thal', 'sex', 'oldpeak']",0.8379629629629629,0.8353305086948611,0.7592592592592593,0.753810623556582,0.2518518518518519,"['chest', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",SVM-rbf
3,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'maximum_heart_rate_achieved', 'oldpeak']",0.8564814814814815,0.8554359607773941,0.7037037037037037,0.7013752455795677,0.2490740740740741,"['age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina']","['thal', 'chest', 'maximum_heart_rate_achieved', 'number_of_major_vessels']",SVM-rbf
4,kDN_importances_norm,4.333333333333333,"['chest', 'oldpeak', 'number_of_major_vessels', 'thal']",0.8472222222222222,0.8443516585479007,0.8333333333333334,0.8299034019319612,0.237962962962963,"['thal', 'age', 'resting_electrocardiographic_results', 'resting_blood_pressure', 'slope', 'sex', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['chest', 'serum_cholestoral', 'oldpeak', 'number_of_major_vessels']",SVM-rbf
5,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'chest', 'slope', 'resting_blood_pressure']",0.8564814814814815,0.8524607033521133,0.7592592592592593,0.753810623556582,0.24351851851851855,"['thal', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'sex', 'fasting_blood_sugar', 'maximum_heart_rate_achieved']","['chest', 'exercise_induced_angina', 'slope', 'resting_blood_pressure', 'number_of_major_vessels']",SVM-rbf
1,kDN_importances_norm,4.333333333333333,"['thal', 'number_of_major_vessels', 'chest', 'sex']",0.8657407407407407,0.8632730756624561,0.8333333333333334,0.8275862068965518,0.27037037037037037,"['age', 'chest', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",RandomForest
2,kDN_importances_norm,4.333333333333333,"['number_of_major_vessels', 'thal', 'sex', 'oldpeak']",0.9120370370370371,0.9100045682960256,0.7777777777777778,0.7713248638838477,0.2518518518518519,"['chest', 'age', 'serum_cholestoral', 'resting_electrocardiographic_results', 'oldpeak', 'resting_blood_pressure', 'slope', 'fasting_blood_sugar', 'exercise_induced_angina', 'maximum_heart_rate_achieved']","['thal', 'sex', 'number_of_major_vessels']",RandomForest
