fold,measure,n_features,top_features,acc_train,gps_train,acc_test,gps_test,complexity_kDN,removed_features,fixed_features,model
1,kDN_importances_norm,11.0,"[' Pulse5', ' Pulse16', ' Pulse3', ' Pulse28', ' Pulse8', ' Pulse7', ' Pulse24', ' Pulse21', ' Pulse6', ' Pulse23', ' Pulse14']",0.9857142857142858,0.9842788790157212,0.8732394366197183,0.8541557762676424,0.08071428571428572,"[' Pulse20', ' Pulse10', ' Pulse31', ' Pulse18', ' Pulse25', ' Pulse33', ' Pulse30', ' Pulse17', ' Pulse22', ' Pulse23', ' Pulse12', ' Pulse19', ' Pulse21', ' Pulse7', ' Pulse8', ' Pulse6', ' Pulse4', ' Pulse24', ' Pulse34', ' Pulse15', ' Pulse13', ' Pulse32', 'Pulse1', ' Pulse11', ' Pulse27', ' Pulse9', ' Pulse29', ' Pulse26', ' Pulse14']","[' Pulse3', ' Pulse16', ' Pulse28', ' Pulse5']",SVM-rbf
2,kDN_importances_norm,11.0,"[' Pulse5', ' Pulse8', ' Pulse7', ' Pulse6', ' Pulse14', ' Pulse31', ' Pulse34', ' Pulse33', ' Pulse21', ' Pulse24', ' Pulse13']",0.9608540925266904,0.9568401778707821,0.9285714285714286,0.9191743347426014,0.099644128113879,"[' Pulse20', ' Pulse16', ' Pulse10', ' Pulse31', ' Pulse18', ' Pulse25', ' Pulse33', ' Pulse30', ' Pulse17', ' Pulse22', ' Pulse23', ' Pulse12', ' Pulse3', ' Pulse19', ' Pulse21', ' Pulse4', ' Pulse24', ' Pulse28', ' Pulse34', ' Pulse15', ' Pulse13', ' Pulse32', ' Pulse11', ' Pulse27', ' Pulse9', ' Pulse29', ' Pulse26', ' Pulse14']","[' Pulse7', ' Pulse8', ' Pulse6', 'Pulse1', ' Pulse5']",SVM-rbf
3,kDN_importances_norm,11.0,"[' Pulse5', ' Pulse6', ' Pulse3', ' Pulse21', ' Pulse27', ' Pulse28', ' Pulse8', ' Pulse16', ' Pulse12', ' Pulse15', ' Pulse11']",0.9715302491103203,0.9687213565536205,0.9571428571428572,0.9516943042537852,0.10177935943060497,"[' Pulse20', ' Pulse16', ' Pulse10', ' Pulse31', ' Pulse18', ' Pulse25', ' Pulse33', ' Pulse30', ' Pulse17', ' Pulse22', ' Pulse23', ' Pulse12', ' Pulse19', ' Pulse21', ' Pulse7', ' Pulse8', ' Pulse4', ' Pulse24', ' Pulse28', ' Pulse34', ' Pulse15', ' Pulse13', ' Pulse32', 'Pulse1', ' Pulse11', ' Pulse9', ' Pulse29', ' Pulse26', ' Pulse14']","[' Pulse3', ' Pulse6', ' Pulse27', ' Pulse5']",SVM-rbf
4,kDN_importances_norm,11.0,"[' Pulse5', ' Pulse8', ' Pulse7', ' Pulse4', ' Pulse27', ' Pulse6', ' Pulse14', ' Pulse13', ' Pulse19', ' Pulse23', ' Pulse31']",0.9466192170818505,0.9407572383073497,0.9571428571428572,0.9516943042537852,0.11814946619217083,"[' Pulse20', ' Pulse16', ' Pulse10', ' Pulse31', ' Pulse18', ' Pulse25', ' Pulse33', ' Pulse30', ' Pulse17', ' Pulse22', ' Pulse23', ' Pulse12', ' Pulse3', ' Pulse19', ' Pulse21', ' Pulse6', ' Pulse24', ' Pulse28', ' Pulse34', ' Pulse15', ' Pulse13', ' Pulse32', 'Pulse1', ' Pulse11', ' Pulse9', ' Pulse29', ' Pulse26', ' Pulse14']","[' Pulse7', ' Pulse8', ' Pulse4', ' Pulse27', ' Pulse5']",SVM-rbf
5,kDN_importances_norm,11.0,"[' Pulse5', ' Pulse7', ' Pulse9', ' Pulse4', ' Pulse24', ' Pulse8', ' Pulse15', ' Pulse13', ' Pulse6', ' Pulse16', ' Pulse34']",0.9644128113879004,0.9606824710559151,0.9571428571428572,0.9535689535689537,0.10676156583629894,"[' Pulse20', ' Pulse16', ' Pulse10', ' Pulse31', ' Pulse18', ' Pulse33', ' Pulse25', ' Pulse30', ' Pulse17', ' Pulse22', ' Pulse23', ' Pulse12', ' Pulse3', ' Pulse19', ' Pulse21', ' Pulse8', ' Pulse6', ' Pulse34', ' Pulse28', ' Pulse15', ' Pulse13', ' Pulse32', 'Pulse1', ' Pulse11', ' Pulse27', ' Pulse29', ' Pulse26', ' Pulse14']","[' Pulse7', ' Pulse4', ' Pulse24', ' Pulse9', ' Pulse5']",SVM-rbf
1,kDN_importances_norm,11.0,"[' Pulse5', ' Pulse16', ' Pulse3', ' Pulse28', ' Pulse8', ' Pulse7', ' Pulse24', ' Pulse21', ' Pulse6', ' Pulse23', ' Pulse14']",0.9214285714285714,0.9082088104017078,0.8450704225352113,0.8101265822784811,0.08071428571428572,"[' Pulse20', ' Pulse10', ' Pulse31', ' Pulse18', ' Pulse25', ' Pulse33', ' Pulse30', ' Pulse17', ' Pulse22', ' Pulse23', ' Pulse12', ' Pulse19', ' Pulse21', ' Pulse7', ' Pulse8', ' Pulse6', ' Pulse4', ' Pulse24', ' Pulse34', ' Pulse15', ' Pulse13', ' Pulse32', 'Pulse1', ' Pulse11', ' Pulse27', ' Pulse9', ' Pulse29', ' Pulse26', ' Pulse14']","[' Pulse3', ' Pulse16', ' Pulse28', ' Pulse5']",KNN
2,kDN_importances_norm,11.0,"[' Pulse5', ' Pulse8', ' Pulse7', ' Pulse6', ' Pulse14', ' Pulse31', ' Pulse34', ' Pulse33', ' Pulse21', ' Pulse24', ' Pulse13']",0.8861209964412812,0.8648208469055373,0.8285714285714286,0.779746835443038,0.099644128113879,"[' Pulse20', ' Pulse16', ' Pulse10', ' Pulse31', ' Pulse18', ' Pulse25', ' Pulse33', ' Pulse30', ' Pulse17', ' Pulse22', ' Pulse23', ' Pulse12', ' Pulse3', ' Pulse19', ' Pulse21', ' Pulse4', ' Pulse24', ' Pulse28', ' Pulse34', ' Pulse15', ' Pulse13', ' Pulse32', ' Pulse11', ' Pulse27', ' Pulse9', ' Pulse29', ' Pulse26', ' Pulse14']","[' Pulse7', ' Pulse8', ' Pulse6', 'Pulse1', ' Pulse5']",KNN
3,kDN_importances_norm,11.0,"[' Pulse5', ' Pulse6', ' Pulse3', ' Pulse21', ' Pulse27', ' Pulse28', ' Pulse8', ' Pulse16', ' Pulse12', ' Pulse15', ' Pulse11']",0.9145907473309609,0.9011791848244041,0.8857142857142857,0.8605174353205849,0.10177935943060497,"[' Pulse20', ' Pulse16', ' Pulse10', ' Pulse31', ' Pulse18', ' Pulse25', ' Pulse33', ' Pulse30', ' Pulse17', ' Pulse22', ' Pulse23', ' Pulse12', ' Pulse19', ' Pulse21', ' Pulse7', ' Pulse8', ' Pulse4', ' Pulse24', ' Pulse28', ' Pulse34', ' Pulse15', ' Pulse13', ' Pulse32', 'Pulse1', ' Pulse11', ' Pulse9', ' Pulse29', ' Pulse26', ' Pulse14']","[' Pulse3', ' Pulse6', ' Pulse27', ' Pulse5']",KNN
4,kDN_importances_norm,11.0,"[' Pulse5', ' Pulse8', ' Pulse7', ' Pulse4', ' Pulse27', ' Pulse6', ' Pulse14', ' Pulse13', ' Pulse19', ' Pulse23', ' Pulse31']",0.9074733096085409,0.8921144270511276,0.8714285714285714,0.8449590511155042,0.11814946619217083,"[' Pulse20', ' Pulse16', ' Pulse10', ' Pulse31', ' Pulse18', ' Pulse25', ' Pulse33', ' Pulse30', ' Pulse17', ' Pulse22', ' Pulse23', ' Pulse12', ' Pulse3', ' Pulse19', ' Pulse21', ' Pulse6', ' Pulse24', ' Pulse28', ' Pulse34', ' Pulse15', ' Pulse13', ' Pulse32', 'Pulse1', ' Pulse11', ' Pulse9', ' Pulse29', ' Pulse26', ' Pulse14']","[' Pulse7', ' Pulse8', ' Pulse4', ' Pulse27', ' Pulse5']",KNN
5,kDN_importances_norm,11.0,"[' Pulse5', ' Pulse7', ' Pulse9', ' Pulse4', ' Pulse24', ' Pulse8', ' Pulse15', ' Pulse13', ' Pulse6', ' Pulse16', ' Pulse34']",0.9323843416370107,0.9236010927284447,0.9,0.8863694923988664,0.10676156583629894,"[' Pulse20', ' Pulse16', ' Pulse10', ' Pulse31', ' Pulse18', ' Pulse33', ' Pulse25', ' Pulse30', ' Pulse17', ' Pulse22', ' Pulse23', ' Pulse12', ' Pulse3', ' Pulse19', ' Pulse21', ' Pulse8', ' Pulse6', ' Pulse34', ' Pulse28', ' Pulse15', ' Pulse13', ' Pulse32', 'Pulse1', ' Pulse11', ' Pulse27', ' Pulse29', ' Pulse26', ' Pulse14']","[' Pulse7', ' Pulse4', ' Pulse24', ' Pulse9', ' Pulse5']",KNN
