feature,kDN_importances,kDN_importances_norm,count_vars,kDN_removed_count,kDN_fixed_count,fold,model
Area1,,,,,,1,SVM-rbf
Area2,,,,,,1,SVM-rbf
Area3,,,,,,1,SVM-rbf
Compactness1,0.013186813186813182,0.0007756948933419519,17.0,1.0,0.0,1,SVM-rbf
Compactness2,0.8734065934065934,0.0019070012956475839,458.0,1.0,25.0,1,SVM-rbf
Compactness3,0.43736263736263725,0.0023019086176980907,190.0,1.0,5.0,1,SVM-rbf
Concave_points1,,,,,,1,SVM-rbf
Concave_points2,1.1081318681318677,0.002473508634222919,448.0,1.0,17.0,1,SVM-rbf
Concave_points3,,,,,,1,SVM-rbf
Concavity1,12.35604395604396,0.012031201515135306,1027.0,0.0,140.0,1,SVM-rbf
Concavity2,4.050109890109892,0.0040501098901098926,1000.0,0.0,132.0,1,SVM-rbf
Concavity3,6.723516483516476,0.008642052035368221,778.0,1.0,76.0,1,SVM-rbf
Fractal_dimension1,0.2527472527472529,0.0034622911335240123,73.0,1.0,4.0,1,SVM-rbf
Fractal_dimension2,0.18109890109890106,0.0011110362030607426,163.0,1.0,4.0,1,SVM-rbf
Fractal_dimension3,-0.03780219780219781,-0.0004666938000271335,81.0,1.0,0.0,1,SVM-rbf
Perimeter1,,,,,,1,SVM-rbf
Perimeter2,,,,,,1,SVM-rbf
Perimeter3,,,,,,1,SVM-rbf
Radius1,12.892747252747265,0.013036144846053857,989.0,0.0,193.0,1,SVM-rbf
Radius2,7.089230769230755,0.007211831911730168,983.0,0.0,111.0,1,SVM-rbf
Radius3,,,,,,1,SVM-rbf
Smoothness1,0.09626373626373629,0.0008444187391555815,114.0,1.0,4.0,1,SVM-rbf
Smoothness2,-0.0017582417582418658,-2.0209675382090412e-05,87.0,1.0,2.0,1,SVM-rbf
Smoothness3,0.19692307692307687,0.0018066337332392373,109.0,1.0,5.0,1,SVM-rbf
Symmetry1,0.28395604395604385,0.001284868977176669,221.0,1.0,9.0,1,SVM-rbf
Symmetry2,0.16043956043956037,0.000471881060116354,340.0,1.0,8.0,1,SVM-rbf
Symmetry3,0.13758241758241757,0.0016778343607611898,82.0,1.0,2.0,1,SVM-rbf
Texture1,3.5859340659340635,0.003532939966437501,1015.0,0.0,114.0,1,SVM-rbf
Texture2,0.14593406593406613,0.0003621192703078564,403.0,1.0,9.0,1,SVM-rbf
Texture3,,,,,,1,SVM-rbf
Area1,,,,,,2,SVM-rbf
Area2,,,,,,2,SVM-rbf
Area3,,,,,,2,SVM-rbf
Compactness1,0.3982417582417582,0.0035557299843014126,112.0,1.0,8.0,2,SVM-rbf
Compactness2,-0.03868131868131866,-0.0021489621489621477,18.0,1.0,0.0,2,SVM-rbf
Compactness3,0.07428571428571433,0.002971428571428573,25.0,1.0,1.0,2,SVM-rbf
Concave_points1,,,,,,2,SVM-rbf
Concave_points2,-0.010109890109890093,-0.0033699633699633643,3.0,1.0,0.0,2,SVM-rbf
Concave_points3,,,,,,2,SVM-rbf
Concavity1,0.621098901098901,0.01129270729270729,55.0,1.0,7.0,2,SVM-rbf
Concavity2,0.023736263736263682,0.00033431357375019274,71.0,1.0,0.0,2,SVM-rbf
Concavity3,16.72043956043954,0.021138355955043667,791.0,0.0,191.0,2,SVM-rbf
Fractal_dimension1,0.2712087912087914,0.001695054945054946,160.0,1.0,9.0,2,SVM-rbf
Fractal_dimension2,0.6971428571428573,0.0013253666485605652,526.0,0.0,33.0,2,SVM-rbf
Fractal_dimension3,0.032527472527472595,0.0006377935789700509,51.0,1.0,1.0,2,SVM-rbf
Perimeter1,,,,,,2,SVM-rbf
Perimeter2,,,,,,2,SVM-rbf
Perimeter3,,,,,,2,SVM-rbf
Radius1,19.87472527472526,0.024936920043569965,797.0,0.0,199.0,2,SVM-rbf
Radius2,10.566153846153837,0.013740122036610972,769.0,0.0,174.0,2,SVM-rbf
Radius3,,,,,,2,SVM-rbf
Smoothness1,0.3727472527472527,0.0034196995664885566,109.0,1.0,6.0,2,SVM-rbf
Smoothness2,0.17714285714285685,0.001080139372822298,164.0,1.0,7.0,2,SVM-rbf
Smoothness3,0.6742857142857145,0.0046183953033268116,146.0,1.0,14.0,2,SVM-rbf
Symmetry1,0.17054945054945056,0.0015791615791615793,108.0,1.0,6.0,2,SVM-rbf
Symmetry2,0.4272527472527472,0.0018657325207543545,229.0,1.0,17.0,2,SVM-rbf
Symmetry3,4.436923076923075,0.00573987461438949,773.0,0.0,97.0,2,SVM-rbf
Texture1,0.4364835164835167,0.004279250161603105,102.0,1.0,7.0,2,SVM-rbf
Texture2,-0.020219780219780242,-0.0007488807488807497,27.0,1.0,0.0,2,SVM-rbf
Texture3,,,,,,2,SVM-rbf
Area1,,,,,,3,SVM-rbf
Area2,,,,,,3,SVM-rbf
Area3,,,,,,3,SVM-rbf
Compactness1,0.5336263736263734,0.0020926524455936214,255.0,1.0,5.0,3,SVM-rbf
Compactness2,-0.021098901098901085,-0.0019180819180819168,11.0,1.0,0.0,3,SVM-rbf
Compactness3,3.494065934065934,0.0034801453526553125,1004.0,1.0,47.0,3,SVM-rbf
Concave_points1,,,,,,3,SVM-rbf
Concave_points2,0.25758241758241773,0.0018665392578436067,138.0,1.0,4.0,3,SVM-rbf
Concave_points3,,,,,,3,SVM-rbf
Concavity1,10.389890109890114,0.007967707139486285,1304.0,0.0,131.0,3,SVM-rbf
Concavity2,2.8180219780219806,0.0028123971836546712,1002.0,0.0,66.0,3,SVM-rbf
Concavity3,4.7494505494505495,0.005324496131671019,892.0,1.0,44.0,3,SVM-rbf
Fractal_dimension1,2.6483516483516496,0.0024119778218138887,1098.0,1.0,70.0,3,SVM-rbf
Fractal_dimension2,0.10901098901098898,0.0006647011525060303,164.0,1.0,4.0,3,SVM-rbf
Fractal_dimension3,0.04879120879120881,0.0004100101579093177,119.0,1.0,2.0,3,SVM-rbf
Perimeter1,,,,,,3,SVM-rbf
Perimeter2,,,,,,3,SVM-rbf
Perimeter3,,,,,,3,SVM-rbf
Radius1,15.396043956043947,0.011708018217523914,1315.0,0.0,207.0,3,SVM-rbf
Radius2,6.20703296703297,0.005296103214191954,1172.0,0.0,107.0,3,SVM-rbf
Radius3,,,,,,3,SVM-rbf
Smoothness1,3.4070329670329653,0.0026534524665365773,1284.0,0.0,113.0,3,SVM-rbf
Smoothness2,-0.01934065934065944,-0.00023024594453166001,84.0,1.0,0.0,3,SVM-rbf
Smoothness3,0.0021978021978022177,0.0001690617075232475,13.0,1.0,0.0,3,SVM-rbf
Symmetry1,0.19164835164835148,0.000434576761107373,441.0,1.0,5.0,3,SVM-rbf
Symmetry2,0.0747252747252748,0.000385181828480798,194.0,1.0,2.0,3,SVM-rbf
Symmetry3,3.4958241758241755,0.0027332479873527563,1279.0,0.0,99.0,3,SVM-rbf
Texture1,4.938901098901096,0.00380500855077126,1298.0,0.0,154.0,3,SVM-rbf
Texture2,-0.011428571428571399,-0.00228571428571428,5.0,1.0,0.0,3,SVM-rbf
Texture3,,,,,,3,SVM-rbf
Area1,,,,,,4,SVM-rbf
Area2,,,,,,4,SVM-rbf
Area3,,,,,,4,SVM-rbf
Compactness1,5.481318681318679,0.005932163075020215,924.0,0.0,112.0,4,SVM-rbf
Compactness2,-0.008791208791208774,-0.0002442002442002437,36.0,1.0,0.0,4,SVM-rbf
Compactness3,0.6624175824175824,0.0029973646263239022,221.0,1.0,9.0,4,SVM-rbf
Concave_points1,,,,,,4,SVM-rbf
