fold,method,filter_corr,feature,score,selected,model
1,mutual_info,True,f115,0.05514929708937011,True,SVM-rbf
1,mutual_info,True,f97,0.04513453209268925,True,SVM-rbf
1,mutual_info,True,f50,0.04366857948981906,True,SVM-rbf
1,mutual_info,True,f66,0.04357826865368586,True,SVM-rbf
1,mutual_info,True,f13,0.032198164076890246,True,SVM-rbf
1,mutual_info,True,f75,0.03191311827632659,True,SVM-rbf
1,mutual_info,True,f109,0.029411835663183616,True,SVM-rbf
1,mutual_info,True,f30,0.02929002912618528,True,SVM-rbf
1,mutual_info,True,f105,0.02911242919558643,True,SVM-rbf
1,mutual_info,True,f32,0.02695631952438382,True,SVM-rbf
1,mutual_info,True,f37,0.026693729323906457,True,SVM-rbf
1,mutual_info,True,f58,0.02479946503771102,True,SVM-rbf
1,mutual_info,True,f15,0.024683709107637508,True,SVM-rbf
1,mutual_info,True,f18,0.022796831698403075,True,SVM-rbf
1,mutual_info,True,f107,0.02209491102815231,True,SVM-rbf
1,mutual_info,True,f28,0.01868939590866514,True,SVM-rbf
1,mutual_info,True,f40,0.017059569677653208,True,SVM-rbf
1,mutual_info,True,f11,0.016299058946554146,True,SVM-rbf
1,mutual_info,True,f117,0.014767165932160431,True,SVM-rbf
1,mutual_info,True,f51,0.014737918114169801,True,SVM-rbf
1,mutual_info,True,f95,0.013585416884712043,True,SVM-rbf
1,mutual_info,True,f128,0.012872217082446236,True,SVM-rbf
1,mutual_info,True,f7,0.011970493510629732,True,SVM-rbf
1,mutual_info,True,f56,0.011484812716790582,True,SVM-rbf
1,mutual_info,True,f71,0.009537145969180871,True,SVM-rbf
1,mutual_info,True,f89,0.009460709317920868,True,SVM-rbf
1,mutual_info,True,f26,0.009318082688992257,True,SVM-rbf
1,mutual_info,True,f116,0.0091663349629032,True,SVM-rbf
1,mutual_info,True,f9,0.00779238342552202,True,SVM-rbf
1,mutual_info,True,f35,0.006410862423005703,True,SVM-rbf
1,mutual_info,True,f132,0.006349993105443152,True,SVM-rbf
1,mutual_info,True,f93,0.006185341523626597,True,SVM-rbf
1,mutual_info,True,f78,0.006155345279330371,True,SVM-rbf
1,mutual_info,True,f121,0.00583678380171615,True,SVM-rbf
1,mutual_info,True,f19,0.0048621496141278975,True,SVM-rbf
1,mutual_info,True,f73,0.00482645322839903,True,SVM-rbf
1,mutual_info,True,f31,0.004745860947161562,True,SVM-rbf
1,mutual_info,True,f76,0.0032712934838086127,True,SVM-rbf
1,mutual_info,True,f25,0.003002379250259146,True,SVM-rbf
1,mutual_info,True,f29,0.001633217177384516,True,SVM-rbf
1,mutual_info,True,f24,0.0014564988465646245,True,SVM-rbf
1,mutual_info,True,f1,0.0005041287343070522,True,SVM-rbf
1,mutual_info,True,f82,0.0002635852827912455,True,SVM-rbf
1,mutual_info,True,f74,0.00024215193330134888,True,SVM-rbf
1,mutual_info,True,f12,0.0,True,SVM-rbf
1,mutual_info,True,f44,0.0,True,SVM-rbf
1,mutual_info,True,f43,0.0,True,SVM-rbf
1,mutual_info,True,f42,0.0,True,SVM-rbf
1,mutual_info,True,f41,0.0,True,SVM-rbf
1,mutual_info,True,f39,0.0,True,SVM-rbf
1,mutual_info,True,f38,0.0,False,SVM-rbf
1,mutual_info,True,f34,0.0,False,SVM-rbf
1,mutual_info,True,f36,0.0,False,SVM-rbf
1,mutual_info,True,f33,0.0,False,SVM-rbf
1,mutual_info,True,f17,0.0,False,SVM-rbf
1,mutual_info,True,f14,0.0,False,SVM-rbf
1,mutual_info,True,f16,0.0,False,SVM-rbf
1,mutual_info,True,f23,0.0,False,SVM-rbf
1,mutual_info,True,f22,0.0,False,SVM-rbf
1,mutual_info,True,f21,0.0,False,SVM-rbf
1,mutual_info,True,f27,0.0,False,SVM-rbf
1,mutual_info,True,f20,0.0,False,SVM-rbf
1,mutual_info,True,f3,0.0,False,SVM-rbf
1,mutual_info,True,f2,0.0,False,SVM-rbf
1,mutual_info,True,f5,0.0,False,SVM-rbf
1,mutual_info,True,f8,0.0,False,SVM-rbf
1,mutual_info,True,f6,0.0,False,SVM-rbf
1,mutual_info,True,f10,0.0,False,SVM-rbf
1,mutual_info,True,f0,0.0,False,SVM-rbf
1,mutual_info,True,f4,0.0,False,SVM-rbf
1,mutual_info,True,f60,0.0,False,SVM-rbf
1,mutual_info,True,f52,0.0,False,SVM-rbf
1,mutual_info,True,f49,0.0,False,SVM-rbf
1,mutual_info,True,f48,0.0,False,SVM-rbf
1,mutual_info,True,f47,0.0,False,SVM-rbf
1,mutual_info,True,f45,0.0,False,SVM-rbf
1,mutual_info,True,f46,0.0,False,SVM-rbf
1,mutual_info,True,f70,0.0,False,SVM-rbf
1,mutual_info,True,f69,0.0,False,SVM-rbf
1,mutual_info,True,f72,0.0,False,SVM-rbf
1,mutual_info,True,f62,0.0,False,SVM-rbf
1,mutual_info,True,f64,0.0,False,SVM-rbf
1,mutual_info,True,f65,0.0,False,SVM-rbf
1,mutual_info,True,f67,0.0,False,SVM-rbf
1,mutual_info,True,f68,0.0,False,SVM-rbf
1,mutual_info,True,f61,0.0,False,SVM-rbf
1,mutual_info,True,f63,0.0,False,SVM-rbf
1,mutual_info,True,f54,0.0,False,SVM-rbf
1,mutual_info,True,f53,0.0,False,SVM-rbf
1,mutual_info,True,f55,0.0,False,SVM-rbf
1,mutual_info,True,f57,0.0,False,SVM-rbf
1,mutual_info,True,f59,0.0,False,SVM-rbf
1,mutual_info,True,f81,0.0,False,SVM-rbf
1,mutual_info,True,f104,0.0,False,SVM-rbf
1,mutual_info,True,f101,0.0,False,SVM-rbf
1,mutual_info,True,f100,0.0,False,SVM-rbf
1,mutual_info,True,f99,0.0,False,SVM-rbf
1,mutual_info,True,f92,0.0,False,SVM-rbf
1,mutual_info,True,f79,0.0,False,SVM-rbf
1,mutual_info,True,f83,0.0,False,SVM-rbf
1,mutual_info,True,f90,0.0,False,SVM-rbf
1,mutual_info,True,f77,0.0,False,SVM-rbf
1,mutual_info,True,f111,0.0,False,SVM-rbf
1,mutual_info,True,f112,0.0,False,SVM-rbf
1,mutual_info,True,f120,0.0,False,SVM-rbf
1,mutual_info,True,f124,0.0,False,SVM-rbf
1,mutual_info,True,f130,0.0,False,SVM-rbf
1,mutual_info,True,f134,0.0,False,SVM-rbf
1,mutual_info,True,f138,0.0,False,SVM-rbf
1,f_classif,True,f128,11.479249784904615,True,SVM-rbf
1,f_classif,True,f15,8.698991040139934,True,SVM-rbf
1,f_classif,True,f89,7.134106431862005,True,SVM-rbf
1,f_classif,True,f27,6.0163416801210134,True,SVM-rbf
1,f_classif,True,f10,5.819791818560774,True,SVM-rbf
