fold,model,method,filter_corr,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
1,SVM-rbf,mutual_info,True,50,0.8025,0.6776575866583621,0.69,0.20037383177570092,0.3225,0.41350000000000003,0.3804499777183601
1,SVM-rbf,f_classif,True,50,0.8825,0.841566477907543,0.69,0.20037383177570092,0.2475,0.38300000000000006,0.3719762667887667
1,SVM-rbf,rf,True,50,0.8575,0.7980247729831921,0.71,0.34238262535931013,0.3225,0.39049999999999996,0.3710990577405051
1,SVM-rbf,relief,True,50,0.875,0.8290414598882421,0.71,0.28382608695652173,0.2975,0.382,0.3944669462481963
1,SVM-rbf,xgb,True,50,0.8325,0.7484071764453815,0.69,0.20037383177570092,0.3225,0.408,0.39019841269841266
2,SVM-rbf,mutual_info,True,50,0.8175,0.7148403435629725,0.69,0.11281625881377022,0.3225,0.41800000000000004,0.41058436355311356
2,SVM-rbf,f_classif,True,50,0.8675,0.816073446610195,0.68,0.1952662721893491,0.295,0.415,0.40751348304473306
2,SVM-rbf,rf,True,50,0.8325,0.7484071764453815,0.66,0.0,0.255,0.3725,0.4091820887445887
2,SVM-rbf,relief,True,50,0.855,0.7933663902662612,0.68,0.10965630114566284,0.3075,0.37900000000000006,0.385171176046176
2,SVM-rbf,xgb,True,50,0.82,0.7206661619984861,0.68,0.10965630114566284,0.27,0.392,0.38174014107237786
3,SVM-rbf,mutual_info,True,50,0.855,0.7933663902662612,0.69,0.27021494370522003,0.3,0.37900000000000006,0.37638713369963367
3,SVM-rbf,f_classif,True,50,0.8875,0.8507441769207053,0.65,0.2464392182842001,0.2725,0.3605,0.35185821817071816
3,SVM-rbf,rf,True,50,0.865,0.8116456308722125,0.63,0.09616130283055448,0.255,0.35849999999999993,0.31616317016317014
3,SVM-rbf,relief,True,50,0.895,0.8615520606975803,0.67,0.25780463242698887,0.29,0.3555,0.3433632703081233
3,SVM-rbf,xgb,True,50,0.84,0.7640449438202247,0.67,0.0,0.3475,0.37200000000000005,0.3402724116161616
