dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset18c,1,f_classif,1,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,f_classif,1,42,KNN,0.6,0.40944881889763785
ArtificialDataset18c,1,f_classif,2,42,SVM-rbf,0.67,0.10666666666666666
ArtificialDataset18c,1,f_classif,2,42,KNN,0.65,0.46982055464926586
ArtificialDataset18c,1,f_classif,3,42,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset18c,1,f_classif,3,42,KNN,0.63,0.47629746124466404
ArtificialDataset18c,1,f_classif,4,42,SVM-rbf,0.7,0.4224422442244224
ArtificialDataset18c,1,f_classif,4,42,KNN,0.66,0.5512
ArtificialDataset18c,1,f_classif,5,42,SVM-rbf,0.7,0.4224422442244224
ArtificialDataset18c,1,f_classif,5,42,KNN,0.58,0.4591474245115453
ArtificialDataset18c,1,f_classif,6,42,SVM-rbf,0.67,0.25780463242698887
ArtificialDataset18c,1,f_classif,6,42,KNN,0.59,0.40286349049617376
ArtificialDataset18c,1,f_classif,7,42,SVM-rbf,0.67,0.25780463242698887
ArtificialDataset18c,1,f_classif,7,42,KNN,0.64,0.5199999999999999
ArtificialDataset18c,1,f_classif,8,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,f_classif,8,42,KNN,0.62,0.3952772073921971
ArtificialDataset18c,1,f_classif,9,42,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18c,1,f_classif,9,42,KNN,0.67,0.5076820307281229
ArtificialDataset18c,1,f_classif,10,42,SVM-rbf,0.69,0.3271469015413652
ArtificialDataset18c,1,f_classif,10,42,KNN,0.67,0.48569434752267965
ArtificialDataset18c,1,f_classif,11,42,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18c,1,f_classif,11,42,KNN,0.63,0.4547368421052632
ArtificialDataset18c,1,f_classif,12,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,f_classif,12,42,KNN,0.57,0.43407988917109214
ArtificialDataset18c,1,f_classif,13,42,SVM-rbf,0.66,0.10383386581469647
ArtificialDataset18c,1,f_classif,13,42,KNN,0.61,0.4161963190184049
ArtificialDataset18c,1,f_classif,14,42,SVM-rbf,0.65,0.10114579217700513
ArtificialDataset18c,1,f_classif,14,42,KNN,0.55,0.3519245875883739
ArtificialDataset18c,1,f_classif,15,42,SVM-rbf,0.66,0.18577648766328012
ArtificialDataset18c,1,f_classif,15,42,KNN,0.59,0.4661222688148311
ArtificialDataset18c,1,f_classif,16,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,f_classif,16,42,KNN,0.59,0.4661222688148311
ArtificialDataset18c,1,f_classif,17,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,f_classif,17,42,KNN,0.51,0.3550967741935484
ArtificialDataset18c,1,f_classif,18,42,SVM-rbf,0.68,0.32
ArtificialDataset18c,1,f_classif,18,42,KNN,0.63,0.4547368421052632
ArtificialDataset18c,1,f_classif,19,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,f_classif,19,42,KNN,0.61,0.4161963190184049
ArtificialDataset18c,1,f_classif,20,42,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18c,1,f_classif,20,42,KNN,0.61,0.4161963190184049
ArtificialDataset18c,1,f_classif,21,42,SVM-rbf,0.68,0.2638700947225981
ArtificialDataset18c,1,f_classif,21,42,KNN,0.56,0.32751091703056767
ArtificialDataset18c,1,f_classif,22,42,SVM-rbf,0.69,0.3271469015413652
ArtificialDataset18c,1,f_classif,22,42,KNN,0.64,0.5030198446937015
ArtificialDataset18c,1,f_classif,23,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,f_classif,23,42,KNN,0.62,0.46889089269612266
ArtificialDataset18c,1,f_classif,24,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,f_classif,24,42,KNN,0.62,0.4474671669793621
ArtificialDataset18c,1,f_classif,25,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,f_classif,25,42,KNN,0.58,0.3695652173913044
ArtificialDataset18c,1,f_classif,26,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,f_classif,26,42,KNN,0.56,0.384
ArtificialDataset18c,1,f_classif,27,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,f_classif,27,42,KNN,0.53,0.34083090764752577
ArtificialDataset18c,1,f_classif,28,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,f_classif,28,42,KNN,0.6,0.4545454545454546
ArtificialDataset18c,1,f_classif,29,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,f_classif,29,42,KNN,0.65,0.5279103548454036
ArtificialDataset18c,1,f_classif,30,42,SVM-rbf,0.69,0.27021494370522003
ArtificialDataset18c,1,f_classif,30,42,KNN,0.62,0.4878260869565217
ArtificialDataset18c,1,f_classif,31,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,f_classif,31,42,KNN,0.59,0.375741935483871
ArtificialDataset18c,1,f_classif,32,42,SVM-rbf,0.67,0.25780463242698887
ArtificialDataset18c,1,f_classif,32,42,KNN,0.62,0.4474671669793621
ArtificialDataset18c,1,f_classif,33,42,SVM-rbf,0.67,0.1904064445258147
ArtificialDataset18c,1,f_classif,33,42,KNN,0.62,0.4474671669793621
ArtificialDataset18c,1,f_classif,34,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,f_classif,34,42,KNN,0.65,0.46982055464926586
ArtificialDataset18c,1,f_classif,35,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,f_classif,35,42,KNN,0.68,0.5526315789473685
ArtificialDataset18c,1,f_classif,36,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,f_classif,36,42,KNN,0.67,0.5594739988045426
ArtificialDataset18c,1,f_classif,37,42,SVM-rbf,0.68,0.1952662721893491
ArtificialDataset18c,1,f_classif,37,42,KNN,0.64,0.5199999999999999
ArtificialDataset18c,1,f_classif,38,42,SVM-rbf,0.69,0.20037383177570092
ArtificialDataset18c,1,f_classif,38,42,KNN,0.68,0.5815384615384616
ArtificialDataset18c,1,f_classif,39,42,SVM-rbf,0.69,0.20037383177570092
ArtificialDataset18c,1,f_classif,39,42,KNN,0.68,0.5815384615384616
ArtificialDataset18c,1,f_classif,40,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,f_classif,40,42,KNN,0.67,0.5594739988045426
ArtificialDataset18c,1,f_classif,41,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,f_classif,41,42,KNN,0.69,0.6023424428332403
ArtificialDataset18c,1,f_classif,42,42,SVM-rbf,0.7,0.27685950413223137
ArtificialDataset18c,1,f_classif,42,42,KNN,0.71,0.6078842125309466
ArtificialDataset18c,1,mutual_info,1,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,mutual_info,1,42,KNN,0.56,0.14917127071823202
ArtificialDataset18c,1,mutual_info,2,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,mutual_info,2,42,KNN,0.55,0.28776978417266186
ArtificialDataset18c,1,mutual_info,3,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,mutual_info,3,42,KNN,0.62,0.3632432432432433
ArtificialDataset18c,1,mutual_info,4,42,SVM-rbf,0.68,0.0
ArtificialDataset18c,1,mutual_info,4,42,KNN,0.59,0.4266413842142688
