model,method,acc_test_mean,acc_test_std,gps_test_mean,gps_test_std
KNN,f_classif,0.806,0.023021728866442655,0.70345505664817,0.05165737527579357
KNN,mutual_info,0.8019999999999999,0.051672042731055245,0.703643666718699,0.15322851355260217
KNN,relief,0.754,0.02701851217221261,0.5210993035536824,0.10931744325243348
KNN,rf,0.772,0.03271085446759224,0.6323476924054126,0.10902359590567065
KNN,xgb,0.782,0.024899799195977478,0.6898960551021849,0.0672641014321686
SVM-rbf,f_classif,0.708,0.013038404810405304,0.2478750558323263,0.1565000949877788
SVM-rbf,mutual_info,0.696,0.008944271909999173,0.1547528016684745,0.1277412679278691
SVM-rbf,relief,0.7,0.007071067811865481,0.2719931174158076,0.06785223747583877
SVM-rbf,rf,0.7,0.012247448713915901,0.19712320720482698,0.09653573655557346
SVM-rbf,xgb,0.702,0.008366600265340763,0.20754128860537513,0.12950035578643793
