dataset,fold,method,k,n_available_features,model,acc_test,gps_test
ArtificialDataset2,1,f_classif,1,13,SVM-rbf,0.69,0.683392539964476
ArtificialDataset2,1,f_classif,1,13,KNN,0.575,0.5749815209356929
ArtificialDataset2,1,f_classif,2,13,SVM-rbf,0.705,0.7041502187133254
ArtificialDataset2,1,f_classif,2,13,KNN,0.64,0.6397748592870545
ArtificialDataset2,1,f_classif,3,13,SVM-rbf,0.73,0.7299999999999999
ArtificialDataset2,1,f_classif,3,13,KNN,0.715,0.7120907067924129
ArtificialDataset2,1,f_classif,4,13,SVM-rbf,0.735,0.7349909860879622
ArtificialDataset2,1,f_classif,4,13,KNN,0.695,0.6931345228185734
ArtificialDataset2,1,f_classif,5,13,SVM-rbf,0.735,0.7349909860879622
ArtificialDataset2,1,f_classif,5,13,KNN,0.735,0.734267880896347
ArtificialDataset2,1,f_classif,6,13,SVM-rbf,0.8,0.7998999499749875
ArtificialDataset2,1,f_classif,6,13,KNN,0.745,0.7445800141171726
ArtificialDataset2,1,f_classif,7,13,SVM-rbf,0.83,0.8299795156042896
ArtificialDataset2,1,f_classif,7,13,KNN,0.76,0.7592079207920794
ArtificialDataset2,1,f_classif,8,13,SVM-rbf,0.855,0.8549957601099446
ArtificialDataset2,1,f_classif,8,13,KNN,0.815,0.813345300362106
ArtificialDataset2,1,f_classif,9,13,SVM-rbf,0.92,0.9199913034025439
ArtificialDataset2,1,f_classif,9,13,KNN,0.85,0.8488620199146515
ArtificialDataset2,1,f_classif,10,13,SVM-rbf,0.92,0.919965202261853
ArtificialDataset2,1,f_classif,10,13,KNN,0.87,0.869263668940007
ArtificialDataset2,1,f_classif,11,13,SVM-rbf,0.94,0.9399936163421639
ArtificialDataset2,1,f_classif,11,13,KNN,0.92,0.9197820163487738
ArtificialDataset2,1,f_classif,12,13,SVM-rbf,0.935,0.9349982619856146
ArtificialDataset2,1,f_classif,12,13,KNN,0.925,0.9249005439636275
ArtificialDataset2,1,f_classif,13,13,SVM-rbf,0.95,0.9499789385004213
ArtificialDataset2,1,f_classif,13,13,KNN,0.935,0.9349843545238158
ArtificialDataset2,1,mutual_info,1,13,SVM-rbf,0.69,0.683392539964476
ArtificialDataset2,1,mutual_info,1,13,KNN,0.575,0.5749815209356929
ArtificialDataset2,1,mutual_info,2,13,SVM-rbf,0.705,0.7041502187133254
ArtificialDataset2,1,mutual_info,2,13,KNN,0.64,0.6397748592870545
ArtificialDataset2,1,mutual_info,3,13,SVM-rbf,0.73,0.7299999999999999
ArtificialDataset2,1,mutual_info,3,13,KNN,0.715,0.7120907067924129
ArtificialDataset2,1,mutual_info,4,13,SVM-rbf,0.79,0.7898936170212765
ArtificialDataset2,1,mutual_info,4,13,KNN,0.745,0.7443049900736902
ArtificialDataset2,1,mutual_info,5,13,SVM-rbf,0.86,0.8594114899579636
ArtificialDataset2,1,mutual_info,5,13,KNN,0.815,0.8140359532546022
ArtificialDataset2,1,mutual_info,6,13,SVM-rbf,0.89,0.8898886514452817
ArtificialDataset2,1,mutual_info,6,13,KNN,0.865,0.8649023861171368
ArtificialDataset2,1,mutual_info,7,13,SVM-rbf,0.925,0.924949290060852
ArtificialDataset2,1,mutual_info,7,13,KNN,0.885,0.8846055727203151
ArtificialDataset2,1,mutual_info,8,13,SVM-rbf,0.93,0.929932192444301
ArtificialDataset2,1,mutual_info,8,13,KNN,0.895,0.8947618914303311
ArtificialDataset2,1,mutual_info,9,13,SVM-rbf,0.935,0.9348589190492779
ArtificialDataset2,1,mutual_info,9,13,KNN,0.9,0.8992837958818264
ArtificialDataset2,1,mutual_info,10,13,SVM-rbf,0.95,0.9499525866610473
ArtificialDataset2,1,mutual_info,10,13,KNN,0.92,0.9198606271777002
ArtificialDataset2,1,mutual_info,11,13,SVM-rbf,0.965,0.9649918374750589
ArtificialDataset2,1,mutual_info,11,13,KNN,0.935,0.9348589190492779
ArtificialDataset2,1,mutual_info,12,13,SVM-rbf,0.96,0.9599958328992603
ArtificialDataset2,1,mutual_info,12,13,KNN,0.93,0.929932192444301
ArtificialDataset2,1,mutual_info,13,13,SVM-rbf,0.95,0.9499789385004213
ArtificialDataset2,1,mutual_info,13,13,KNN,0.935,0.9349843545238158
ArtificialDataset2,1,relief,1,13,SVM-rbf,0.63,0.621345029239766
ArtificialDataset2,1,relief,1,13,KNN,0.52,0.5199076745527986
ArtificialDataset2,1,relief,2,13,SVM-rbf,0.705,0.7041502187133254
ArtificialDataset2,1,relief,2,13,KNN,0.64,0.6397748592870545
ArtificialDataset2,1,relief,3,13,SVM-rbf,0.755,0.7526328106716592
ArtificialDataset2,1,relief,3,13,KNN,0.705,0.7044865191289827
ArtificialDataset2,1,relief,4,13,SVM-rbf,0.825,0.8237986270022883
ArtificialDataset2,1,relief,4,13,KNN,0.815,0.8140359532546022
ArtificialDataset2,1,relief,5,13,SVM-rbf,0.85,0.8488620199146515
ArtificialDataset2,1,relief,5,13,KNN,0.84,0.8387715930902112
ArtificialDataset2,1,relief,6,13,SVM-rbf,0.89,0.8898018910400721
ArtificialDataset2,1,relief,6,13,KNN,0.885,0.8844483551417787
ArtificialDataset2,1,relief,7,13,SVM-rbf,0.925,0.924949290060852
ArtificialDataset2,1,relief,7,13,KNN,0.885,0.8846055727203151
ArtificialDataset2,1,relief,8,13,SVM-rbf,0.94,0.94
ArtificialDataset2,1,relief,8,13,KNN,0.915,0.9149419002050583
ArtificialDataset2,1,relief,9,13,SVM-rbf,0.945,0.9449636002647254
ArtificialDataset2,1,relief,9,13,KNN,0.915,0.9148860496292851
ArtificialDataset2,1,relief,10,13,SVM-rbf,0.94,0.94
ArtificialDataset2,1,relief,10,13,KNN,0.915,0.9149419002050583
ArtificialDataset2,1,relief,11,13,SVM-rbf,0.965,0.9649918374750589
ArtificialDataset2,1,relief,11,13,KNN,0.935,0.9348589190492779
ArtificialDataset2,1,relief,12,13,SVM-rbf,0.96,0.9599958328992603
ArtificialDataset2,1,relief,12,13,KNN,0.93,0.929932192444301
ArtificialDataset2,1,relief,13,13,SVM-rbf,0.95,0.9499789385004213
ArtificialDataset2,1,relief,13,13,KNN,0.935,0.9349843545238158
ArtificialDataset2,1,rf,1,13,SVM-rbf,0.69,0.683392539964476
ArtificialDataset2,1,rf,1,13,KNN,0.575,0.5749815209356929
ArtificialDataset2,1,rf,2,13,SVM-rbf,0.705,0.7041502187133254
ArtificialDataset2,1,rf,2,13,KNN,0.64,0.6397748592870545
ArtificialDataset2,1,rf,3,13,SVM-rbf,0.73,0.7299999999999999
ArtificialDataset2,1,rf,3,13,KNN,0.715,0.7120907067924129
ArtificialDataset2,1,rf,4,13,SVM-rbf,0.785,0.7819374010788462
ArtificialDataset2,1,rf,4,13,KNN,0.775,0.7733549959382615
ArtificialDataset2,1,rf,5,13,SVM-rbf,0.85,0.8488620199146515
ArtificialDataset2,1,rf,5,13,KNN,0.84,0.8387715930902112
ArtificialDataset2,1,rf,6,13,SVM-rbf,0.89,0.8898018910400721
ArtificialDataset2,1,rf,6,13,KNN,0.885,0.8844483551417787
ArtificialDataset2,1,rf,7,13,SVM-rbf,0.915,0.9149976775321731
ArtificialDataset2,1,rf,7,13,KNN,0.895,0.8948560879415961
ArtificialDataset2,1,rf,8,13,SVM-rbf,0.93,0.93
ArtificialDataset2,1,rf,8,13,KNN,0.895,0.8949266247379456
ArtificialDataset2,1,rf,9,13,SVM-rbf,0.945,0.9449636002647254
ArtificialDataset2,1,rf,9,13,KNN,0.915,0.9148860496292851
ArtificialDataset2,1,rf,10,13,SVM-rbf,0.94,0.94
ArtificialDataset2,1,rf,10,13,KNN,0.915,0.9149419002050583
ArtificialDataset2,1,rf,11,13,SVM-rbf,0.965,0.9649918374750589
ArtificialDataset2,1,rf,11,13,KNN,0.935,0.9348589190492779
ArtificialDataset2,1,rf,12,13,SVM-rbf,0.96,0.9599958328992603
ArtificialDataset2,1,rf,12,13,KNN,0.93,0.929932192444301
ArtificialDataset2,1,rf,13,13,SVM-rbf,0.95,0.9499789385004213
