fold,method,filter_corr,feature,score,selected,model
1,mutual_info,True,LSTAT,0.3669447501726333,True,LogReg
1,mutual_info,True,NOX,0.23070842250648504,True,LogReg
1,mutual_info,True,INDUS,0.22300543981419052,True,LogReg
1,mutual_info,True,RM,0.21087910649204122,True,LogReg
1,mutual_info,True,PTRATIO,0.15738723943835975,True,LogReg
1,mutual_info,True,CRIM,0.1368563665990956,False,LogReg
1,mutual_info,True,ZN,0.1137291517991339,False,LogReg
1,mutual_info,True,RAD,0.10794935623824409,False,LogReg
1,mutual_info,True,DIS,0.10603465524747091,False,LogReg
1,mutual_info,True,AGE,0.08596612197720965,False,LogReg
1,mutual_info,True,B,0.08155548171017735,False,LogReg
1,mutual_info,True,CHAS,0.0,False,LogReg
1,f_classif,True,LSTAT,300.1788647251387,True,LogReg
1,f_classif,True,RM,151.82653104990285,True,LogReg
1,f_classif,True,INDUS,121.0672940191918,True,LogReg
1,f_classif,True,AGE,117.08349123229077,True,LogReg
1,f_classif,True,PTRATIO,110.68073938888264,True,LogReg
1,f_classif,True,NOX,81.63284596662561,False,LogReg
1,f_classif,True,ZN,56.42402555045911,False,LogReg
1,f_classif,True,RAD,50.63399274257477,False,LogReg
1,f_classif,True,DIS,35.44023571410386,False,LogReg
1,f_classif,True,CRIM,34.277344728278194,False,LogReg
1,f_classif,True,B,34.042475897187046,False,LogReg
1,f_classif,True,CHAS,3.149554376739016,False,LogReg
1,rf,True,LSTAT,0.3335681896146575,True,LogReg
1,rf,True,RM,0.17301944064413044,True,LogReg
1,rf,True,PTRATIO,0.09737215913237632,True,LogReg
1,rf,True,AGE,0.0802405434579905,True,LogReg
1,rf,True,NOX,0.07572298580940039,True,LogReg
1,rf,True,INDUS,0.06524823792693545,False,LogReg
1,rf,True,CRIM,0.05499875070579596,False,LogReg
1,rf,True,DIS,0.052167603904565214,False,LogReg
1,rf,True,B,0.03438234740766846,False,LogReg
1,rf,True,ZN,0.014826798948541144,False,LogReg
1,rf,True,RAD,0.014341739988902702,False,LogReg
1,rf,True,CHAS,0.004111202459035979,False,LogReg
1,relief,True,LSTAT,0.29622111753477687,True,LogReg
1,relief,True,INDUS,0.18867827407740753,True,LogReg
1,relief,True,PTRATIO,0.18402359384874653,True,LogReg
1,relief,True,RM,0.17592463466503774,True,LogReg
1,relief,True,RAD,0.16779702970297042,True,LogReg
1,relief,True,AGE,0.14047044998011657,False,LogReg
1,relief,True,NOX,0.12728211710059895,False,LogReg
1,relief,True,DIS,0.08209139002179643,False,LogReg
1,relief,True,ZN,0.043432301980198186,False,LogReg
1,relief,True,CRIM,0.014225011377379013,False,LogReg
1,relief,True,CHAS,0.002599009900990101,False,LogReg
1,relief,True,B,-0.01644757228761355,False,LogReg
1,xgb,True,LSTAT,0.4859527349472046,True,LogReg
1,xgb,True,RM,0.08995985239744186,True,LogReg
1,xgb,True,INDUS,0.07934904098510742,True,LogReg
1,xgb,True,NOX,0.06026386097073555,True,LogReg
1,xgb,True,PTRATIO,0.058878473937511444,True,LogReg
1,xgb,True,DIS,0.05735136941075325,False,LogReg
1,xgb,True,B,0.05693129822611809,False,LogReg
1,xgb,True,AGE,0.05224371328949928,False,LogReg
1,xgb,True,CRIM,0.03623698279261589,False,LogReg
1,xgb,True,RAD,0.018618853762745857,False,LogReg
1,xgb,True,ZN,0.004213880281895399,False,LogReg
1,xgb,True,CHAS,0.0,False,LogReg
2,mutual_info,True,LSTAT,0.33290211980367146,True,LogReg
2,mutual_info,True,NOX,0.26000745738060616,True,LogReg
2,mutual_info,True,RM,0.25252947279370686,True,LogReg
2,mutual_info,True,INDUS,0.20986182269212295,True,LogReg
2,mutual_info,True,PTRATIO,0.1583199616666333,True,LogReg
2,mutual_info,True,ZN,0.10377268352299307,False,LogReg
2,mutual_info,True,AGE,0.0950788406488301,False,LogReg
2,mutual_info,True,CRIM,0.09085485930766368,False,LogReg
2,mutual_info,True,DIS,0.07515562570546286,False,LogReg
2,mutual_info,True,RAD,0.06033906522155141,False,LogReg
2,mutual_info,True,B,0.02498393915559416,False,LogReg
2,mutual_info,True,CHAS,0.0,False,LogReg
2,f_classif,True,LSTAT,281.0552812012412,True,LogReg
2,f_classif,True,RM,163.16688056536833,True,LogReg
2,f_classif,True,INDUS,101.15202602371458,True,LogReg
2,f_classif,True,PTRATIO,97.12908584561029,True,LogReg
2,f_classif,True,AGE,86.40011667285034,True,LogReg
2,f_classif,True,NOX,79.35953977269115,False,LogReg
2,f_classif,True,ZN,56.27705400720292,False,LogReg
2,f_classif,True,RAD,40.05525360373439,False,LogReg
2,f_classif,True,CRIM,26.456729091166185,False,LogReg
2,f_classif,True,DIS,26.056535410741382,False,LogReg
2,f_classif,True,B,23.449203996320836,False,LogReg
2,f_classif,True,CHAS,1.8228679164951407,False,LogReg
2,rf,True,LSTAT,0.29467235213568166,True,LogReg
2,rf,True,RM,0.2192778608977521,True,LogReg
2,rf,True,PTRATIO,0.08932761395201148,True,LogReg
2,rf,True,NOX,0.07541405624673178,True,LogReg
2,rf,True,AGE,0.06541704678745948,True,LogReg
2,rf,True,INDUS,0.060996719901152845,False,LogReg
2,rf,True,DIS,0.05902550977595008,False,LogReg
2,rf,True,CRIM,0.05351913291133743,False,LogReg
2,rf,True,B,0.035196319075867656,False,LogReg
2,rf,True,RAD,0.023408041238365252,False,LogReg
2,rf,True,ZN,0.020911327998116448,False,LogReg
2,rf,True,CHAS,0.0028340190795737674,False,LogReg
2,relief,True,LSTAT,0.26217172212683615,True,LogReg
2,relief,True,RM,0.20301555806301277,True,LogReg
2,relief,True,INDUS,0.16838276130480434,True,LogReg
2,relief,True,PTRATIO,0.1559619122668768,True,LogReg
2,relief,True,RAD,0.14296296296296304,True,LogReg
2,relief,True,NOX,0.12291542447797599,False,LogReg
2,relief,True,AGE,0.11929508842862768,False,LogReg
2,relief,True,DIS,0.06434393638371977,False,LogReg
2,relief,True,ZN,0.04760012995451592,False,LogReg
2,relief,True,CRIM,0.012196500988679717,False,LogReg
2,relief,True,CHAS,-0.006493827160493833,False,LogReg
2,relief,True,B,-0.01247767428669097,False,LogReg
2,xgb,True,LSTAT,0.4232432544231415,True,LogReg
2,xgb,True,INDUS,0.09438097476959229,True,LogReg
2,xgb,True,RM,0.09167266637086868,True,LogReg
2,xgb,True,PTRATIO,0.08047161996364594,True,LogReg
2,xgb,True,CRIM,0.06470181047916412,True,LogReg
2,xgb,True,DIS,0.060976576060056686,False,LogReg
2,xgb,True,NOX,0.05022773519158363,False,LogReg
2,xgb,True,ZN,0.038728442043066025,False,LogReg
2,xgb,True,AGE,0.03730422630906105,False,LogReg
2,xgb,True,RAD,0.033768489956855774,False,LogReg
2,xgb,True,B,0.024524139240384102,False,LogReg
2,xgb,True,CHAS,0.0,False,LogReg
3,mutual_info,True,LSTAT,0.3456256952035581,True,LogReg
3,mutual_info,True,INDUS,0.2576383575217278,True,LogReg
3,mutual_info,True,NOX,0.2523517080974722,True,LogReg
3,mutual_info,True,RM,0.24182675081888072,True,LogReg
3,mutual_info,True,CRIM,0.15470745304628042,True,LogReg
3,mutual_info,True,PTRATIO,0.1546973573317052,False,LogReg
3,mutual_info,True,B,0.12524161574773496,False,LogReg
3,mutual_info,True,ZN,0.12254444044840618,False,LogReg
3,mutual_info,True,AGE,0.07020700419478731,False,LogReg
3,mutual_info,True,RAD,0.05973414576253666,False,LogReg
3,mutual_info,True,DIS,0.059556456508637945,False,LogReg
3,mutual_info,True,CHAS,0.03680016665920105,False,LogReg
3,f_classif,True,LSTAT,279.71465558907164,True,LogReg
3,f_classif,True,RM,167.65970485513344,True,LogReg
3,f_classif,True,INDUS,117.36716820569913,True,LogReg
3,f_classif,True,AGE,100.40276623305067,True,LogReg
3,f_classif,True,PTRATIO,94.12649764898174,True,LogReg
