fold,method,filter_corr,feature,score,selected,model
1,mutual_info,True,V11,0.16655524525265153,True,SVM-rbf
1,mutual_info,True,V12,0.1589255153195681,True,SVM-rbf
1,mutual_info,True,V49,0.1287652161247992,True,SVM-rbf
1,mutual_info,True,V10,0.11564852207432863,True,SVM-rbf
1,mutual_info,True,V58,0.11312173182862884,True,SVM-rbf
1,mutual_info,True,V46,0.09483092792035475,True,SVM-rbf
1,mutual_info,True,V25,0.09275263472760398,True,SVM-rbf
1,mutual_info,True,V21,0.09261067494708985,True,SVM-rbf
1,mutual_info,True,V9,0.09065466350114137,True,SVM-rbf
1,mutual_info,True,V19,0.07847444303977369,True,SVM-rbf
1,mutual_info,True,V59,0.07819763292499138,True,SVM-rbf
1,mutual_info,True,V48,0.07012065414027258,True,SVM-rbf
1,mutual_info,True,V2,0.05967876415373308,True,SVM-rbf
1,mutual_info,True,V39,0.057719277856897566,True,SVM-rbf
1,mutual_info,True,V44,0.05614514671596993,True,SVM-rbf
1,mutual_info,True,V4,0.05505459104276511,True,SVM-rbf
1,mutual_info,True,V5,0.05217079944342973,True,SVM-rbf
1,mutual_info,True,V13,0.0466402191288704,True,SVM-rbf
1,mutual_info,True,V55,0.040406821237211954,True,SVM-rbf
1,mutual_info,True,V45,0.039623293137997395,True,SVM-rbf
1,mutual_info,True,V8,0.03762306595709375,False,SVM-rbf
1,mutual_info,True,V7,0.03663854299604208,False,SVM-rbf
1,mutual_info,True,V36,0.03555102671633281,False,SVM-rbf
1,mutual_info,True,V47,0.03434617682610708,False,SVM-rbf
1,mutual_info,True,V43,0.03374094856291365,False,SVM-rbf
1,mutual_info,True,V52,0.03253495935503614,False,SVM-rbf
1,mutual_info,True,V29,0.028916947322639386,False,SVM-rbf
1,mutual_info,True,V41,0.02619730250962138,False,SVM-rbf
1,mutual_info,True,V22,0.02498905689231523,False,SVM-rbf
1,mutual_info,True,V3,0.024166318099118955,False,SVM-rbf
1,mutual_info,True,V54,0.02199904991134427,False,SVM-rbf
1,mutual_info,True,V37,0.02079966486371787,False,SVM-rbf
1,mutual_info,True,V33,0.01865297267613486,False,SVM-rbf
1,mutual_info,True,V1,0.01834263797972624,False,SVM-rbf
1,mutual_info,True,V14,0.016817126317926423,False,SVM-rbf
1,mutual_info,True,V42,0.016390824732732234,False,SVM-rbf
1,mutual_info,True,V28,0.013211001853367987,False,SVM-rbf
1,mutual_info,True,V23,0.012389147812911894,False,SVM-rbf
1,mutual_info,True,V6,0.009572404669135226,False,SVM-rbf
1,mutual_info,True,V60,0.006779003272044726,False,SVM-rbf
1,mutual_info,True,V35,0.00453673822507783,False,SVM-rbf
1,mutual_info,True,V15,0.001499226154918043,False,SVM-rbf
1,mutual_info,True,V51,0.0009357040517548043,False,SVM-rbf
1,mutual_info,True,V24,0.0,False,SVM-rbf
1,mutual_info,True,V20,0.0,False,SVM-rbf
1,mutual_info,True,V27,0.0,False,SVM-rbf
1,mutual_info,True,V26,0.0,False,SVM-rbf
1,mutual_info,True,V32,0.0,False,SVM-rbf
1,mutual_info,True,V31,0.0,False,SVM-rbf
1,mutual_info,True,V38,0.0,False,SVM-rbf
1,mutual_info,True,V40,0.0,False,SVM-rbf
1,mutual_info,True,V30,0.0,False,SVM-rbf
1,mutual_info,True,V34,0.0,False,SVM-rbf
1,mutual_info,True,V50,0.0,False,SVM-rbf
1,mutual_info,True,V53,0.0,False,SVM-rbf
