dataset,fold,method,k,n_available_features,model,acc_test,gps_test
sonar,1,f_classif,1,57,SVM-rbf,0.6666666666666666,0.6474820143884893
sonar,1,f_classif,1,57,KNN,0.5952380952380952,0.5614035087719299
sonar,1,f_classif,2,57,SVM-rbf,0.6666666666666666,0.6620689655172414
sonar,1,f_classif,2,57,KNN,0.6666666666666666,0.6620689655172414
sonar,1,f_classif,3,57,SVM-rbf,0.6904761904761905,0.6775021385799829
sonar,1,f_classif,3,57,KNN,0.7142857142857143,0.7058823529411765
sonar,1,f_classif,4,57,SVM-rbf,0.6904761904761905,0.6684256816182939
sonar,1,f_classif,4,57,KNN,0.6904761904761905,0.6563354603463993
sonar,1,f_classif,5,57,SVM-rbf,0.7380952380952381,0.7207207207207207
sonar,1,f_classif,5,57,KNN,0.6666666666666666,0.6356877323420075
sonar,1,f_classif,6,57,SVM-rbf,0.7380952380952381,0.7207207207207207
sonar,1,f_classif,6,57,KNN,0.6666666666666666,0.6201550387596899
sonar,1,f_classif,7,57,SVM-rbf,0.7142857142857143,0.689655172413793
sonar,1,f_classif,7,57,KNN,0.6428571428571429,0.5803108808290156
sonar,1,f_classif,8,57,SVM-rbf,0.6904761904761905,0.6563354603463993
sonar,1,f_classif,8,57,KNN,0.6666666666666666,0.6356877323420075
sonar,1,f_classif,9,57,SVM-rbf,0.6666666666666666,0.6201550387596899
sonar,1,f_classif,9,57,KNN,0.7142857142857143,0.689655172413793
sonar,1,f_classif,10,57,SVM-rbf,0.6904761904761905,0.6684256816182939
sonar,1,f_classif,10,57,KNN,0.7142857142857143,0.6989966555183946
sonar,1,f_classif,11,57,SVM-rbf,0.6428571428571429,0.6001974333662389
sonar,1,f_classif,11,57,KNN,0.7619047619047619,0.75
sonar,1,f_classif,12,57,SVM-rbf,0.6428571428571429,0.6001974333662389
sonar,1,f_classif,12,57,KNN,0.7142857142857143,0.689655172413793
sonar,1,f_classif,13,57,SVM-rbf,0.6428571428571429,0.6001974333662389
sonar,1,f_classif,13,57,KNN,0.7142857142857143,0.689655172413793
sonar,1,f_classif,14,57,SVM-rbf,0.6428571428571429,0.6001974333662389
sonar,1,f_classif,14,57,KNN,0.7142857142857143,0.689655172413793
sonar,1,f_classif,15,57,SVM-rbf,0.6428571428571429,0.6001974333662389
sonar,1,f_classif,15,57,KNN,0.7142857142857143,0.689655172413793
sonar,1,f_classif,16,57,SVM-rbf,0.6666666666666666,0.6356877323420075
sonar,1,f_classif,16,57,KNN,0.7142857142857143,0.689655172413793
sonar,1,f_classif,17,57,SVM-rbf,0.6666666666666666,0.6356877323420075
sonar,1,f_classif,17,57,KNN,0.7380952380952381,0.7207207207207207
sonar,1,f_classif,18,57,SVM-rbf,0.6666666666666666,0.6356877323420075
sonar,1,f_classif,18,57,KNN,0.7142857142857143,0.689655172413793
sonar,1,f_classif,19,57,SVM-rbf,0.6904761904761905,0.6563354603463993
sonar,1,f_classif,19,57,KNN,0.7380952380952381,0.7207207207207207
sonar,1,f_classif,20,57,SVM-rbf,0.6190476190476191,0.5806451612903226
sonar,1,f_classif,20,57,KNN,0.7142857142857143,0.689655172413793
sonar,1,f_classif,21,57,SVM-rbf,0.6666666666666666,0.6201550387596899
sonar,1,f_classif,21,57,KNN,0.6904761904761905,0.6563354603463993
sonar,1,f_classif,22,57,SVM-rbf,0.6904761904761905,0.6684256816182939
sonar,1,f_classif,22,57,KNN,0.7380952380952381,0.7112616426756985
sonar,1,f_classif,23,57,SVM-rbf,0.6904761904761905,0.6684256816182939
sonar,1,f_classif,23,57,KNN,0.6904761904761905,0.6563354603463993
sonar,1,f_classif,24,57,SVM-rbf,0.6904761904761905,0.6775021385799829
sonar,1,f_classif,24,57,KNN,0.6666666666666666,0.6356877323420075
sonar,1,f_classif,25,57,SVM-rbf,0.6904761904761905,0.6775021385799829
sonar,1,f_classif,25,57,KNN,0.7619047619047619,0.75
sonar,1,f_classif,26,57,SVM-rbf,0.7142857142857143,0.6989966555183946
sonar,1,f_classif,26,57,KNN,0.7142857142857143,0.6989966555183946
sonar,1,f_classif,27,57,SVM-rbf,0.7857142857142857,0.7652173913043478
sonar,1,f_classif,27,57,KNN,0.6904761904761905,0.6684256816182939
sonar,1,f_classif,28,57,SVM-rbf,0.7619047619047619,0.7427652733118971
sonar,1,f_classif,28,57,KNN,0.7142857142857143,0.6989966555183946
sonar,1,f_classif,29,57,SVM-rbf,0.7857142857142857,0.7652173913043478
sonar,1,f_classif,29,57,KNN,0.6904761904761905,0.6684256816182939
sonar,1,f_classif,30,57,SVM-rbf,0.7857142857142857,0.7652173913043478
sonar,1,f_classif,30,57,KNN,0.7142857142857143,0.6989966555183946
sonar,1,f_classif,31,57,SVM-rbf,0.7619047619047619,0.7427652733118971
sonar,1,f_classif,31,57,KNN,0.7380952380952381,0.7207207207207207
sonar,1,f_classif,32,57,SVM-rbf,0.7619047619047619,0.7427652733118971
sonar,1,f_classif,32,57,KNN,0.7380952380952381,0.7207207207207207
sonar,1,f_classif,33,57,SVM-rbf,0.7380952380952381,0.7207207207207207
sonar,1,f_classif,33,57,KNN,0.7380952380952381,0.7207207207207207
sonar,1,f_classif,34,57,SVM-rbf,0.7380952380952381,0.7207207207207207
sonar,1,f_classif,34,57,KNN,0.7380952380952381,0.727853152434158
sonar,1,f_classif,35,57,SVM-rbf,0.7380952380952381,0.7207207207207207
sonar,1,f_classif,35,57,KNN,0.7619047619047619,0.75
sonar,1,f_classif,36,57,SVM-rbf,0.7619047619047619,0.7427652733118971
sonar,1,f_classif,36,57,KNN,0.7619047619047619,0.75
sonar,1,f_classif,37,57,SVM-rbf,0.7857142857142857,0.7652173913043478
sonar,1,f_classif,37,57,KNN,0.7619047619047619,0.75
sonar,1,f_classif,38,57,SVM-rbf,0.7619047619047619,0.7427652733118971
