fold,method,filter_corr,feature,score,selected,model
1,mutual_info,True,Char_freq4,0.21847078080792226,True,SVM-rbf
1,mutual_info,True,Capital_run_length_longest,0.18714585248517412,True,SVM-rbf
1,mutual_info,True,Char_freq5,0.18509279702930703,True,SVM-rbf
1,mutual_info,True,Capital_run_length_average,0.17136370280822644,True,SVM-rbf
1,mutual_info,True,Word_freq_your,0.15185199023389617,True,SVM-rbf
1,mutual_info,True,Word_freq_remove,0.14952464242462038,True,SVM-rbf
1,mutual_info,True,Word_freq_free,0.13602087903951077,True,SVM-rbf
1,mutual_info,True,Capital_run_length_total,0.12945566451688828,True,SVM-rbf
1,mutual_info,True,Word_freq_you,0.11883640110299165,True,SVM-rbf
1,mutual_info,True,Word_freq_money,0.11820182019322756,True,SVM-rbf
1,mutual_info,True,Word_freq_george,0.10375484080503683,True,SVM-rbf
1,mutual_info,True,Word_freq_hp,0.10274467519130281,True,SVM-rbf
1,mutual_info,True,Word_freq_our,0.09578091750805218,True,SVM-rbf
1,mutual_info,True,Word_freq_000,0.09380823524525828,True,SVM-rbf
1,mutual_info,True,Word_freq_hpl,0.08096671916916054,True,SVM-rbf
1,mutual_info,True,Word_freq_all,0.07593693799892498,True,SVM-rbf
1,mutual_info,True,Word_freq_receive,0.0722726431027545,True,SVM-rbf
1,mutual_info,True,Word_freq_mail,0.07221241282732893,True,SVM-rbf
1,mutual_info,True,Word_freq_internet,0.06610761404086185,True,SVM-rbf
1,mutual_info,True,Word_freq_business,0.06297007725429804,False,SVM-rbf
1,mutual_info,True,Word_freq_address,0.061840953711754354,False,SVM-rbf
1,mutual_info,True,Word_freq_over,0.06067289410103971,False,SVM-rbf
1,mutual_info,True,Word_freq_email,0.058180403765749844,False,SVM-rbf
1,mutual_info,True,Word_freq_order,0.05670179536256126,False,SVM-rbf
1,mutual_info,True,Word_freq_will,0.0543223133696662,False,SVM-rbf
1,mutual_info,True,Word_freq_re,0.05396086416714496,False,SVM-rbf
1,mutual_info,True,Word_freq_credit,0.05321261619920392,False,SVM-rbf
1,mutual_info,True,Char_freq2,0.050855215670661424,False,SVM-rbf
1,mutual_info,True,Word_freq_lab,0.048875285094474696,False,SVM-rbf
1,mutual_info,True,Word_freq_1999,0.04537485459685353,False,SVM-rbf
1,mutual_info,True,Word_freq_make,0.04130144040680772,False,SVM-rbf
1,mutual_info,True,Char_freq6,0.04090615443056622,False,SVM-rbf
1,mutual_info,True,Word_freq_85,0.0408006973628825,False,SVM-rbf
1,mutual_info,True,Word_freq_edu,0.03885764619432597,False,SVM-rbf
1,mutual_info,True,Word_freq_people,0.03776024614201523,False,SVM-rbf
1,mutual_info,True,Word_freq_labs,0.037657844459317635,False,SVM-rbf
1,mutual_info,True,Word_freq_telnet,0.03317232419812677,False,SVM-rbf
1,mutual_info,True,Word_freq_addresses,0.03258602553541623,False,SVM-rbf
1,mutual_info,True,Word_freq_650,0.03161337291932376,False,SVM-rbf
1,mutual_info,True,Word_freq_meeting,0.030487361461906337,False,SVM-rbf
1,mutual_info,True,Word_freq_original,0.025332932793950436,False,SVM-rbf
1,mutual_info,True,Char_freq1,0.02414545309960503,False,SVM-rbf
1,mutual_info,True,Word_freq_project,0.023613991943956858,False,SVM-rbf
1,mutual_info,True,Word_freq_font,0.022991134899573495,False,SVM-rbf
1,mutual_info,True,Char_freq3,0.019803694912372327,False,SVM-rbf
1,mutual_info,True,Word_freq_857,0.01908122145703084,False,SVM-rbf
1,mutual_info,True,Word_freq_pm,0.018998472988600357,False,SVM-rbf
1,mutual_info,True,Word_freq_data,0.018282046921709094,False,SVM-rbf
1,mutual_info,True,Word_freq_conference,0.017567114324315014,False,SVM-rbf
1,mutual_info,True,Word_freq_cs,0.015233226067238315,False,SVM-rbf
1,mutual_info,True,Word_freq_parts,0.012837107565651706,False,SVM-rbf
1,mutual_info,True,Word_freq_technology,0.011777478485412551,False,SVM-rbf
1,mutual_info,True,Word_freq_report,0.011418448306367068,False,SVM-rbf
1,mutual_info,True,Word_freq_table,0.0021812944041466054,False,SVM-rbf
1,mutual_info,True,Word_freq_3d,0.0,False,SVM-rbf
1,mutual_info,True,Word_freq_direct,0.0,False,SVM-rbf
1,f_classif,True,Word_freq_your,628.5913797027057,True,SVM-rbf
1,f_classif,True,Word_freq_000,477.77025493674415,True,SVM-rbf
1,f_classif,True,Word_freq_remove,444.2928632592403,True,SVM-rbf
1,f_classif,True,Char_freq5,384.9219042685418,True,SVM-rbf
1,f_classif,True,Word_freq_you,308.92406009965146,True,SVM-rbf
1,f_classif,True,Word_freq_business,272.6437564693308,True,SVM-rbf
1,f_classif,True,Capital_run_length_total,270.2329214431755,True,SVM-rbf
1,f_classif,True,Word_freq_free,255.57729163873142,True,SVM-rbf
1,f_classif,True,Word_freq_hp,253.74385171469436,True,SVM-rbf
1,f_classif,True,Word_freq_our,219.3949861722803,True,SVM-rbf
1,f_classif,True,Word_freq_order,217.57304558197697,True,SVM-rbf
1,f_classif,True,Word_freq_receive,217.29943999306494,True,SVM-rbf
1,f_classif,True,Word_freq_over,208.60507627986266,True,SVM-rbf
1,f_classif,True,Word_freq_hpl,199.55075384395116,True,SVM-rbf
1,f_classif,True,Char_freq4,198.38810517783284,True,SVM-rbf
1,f_classif,True,Word_freq_internet,184.87177761554315,True,SVM-rbf
1,f_classif,True,Word_freq_money,173.8960395798803,True,SVM-rbf
1,f_classif,True,Capital_run_length_longest,155.87848807768495,True,SVM-rbf
1,f_classif,True,Word_freq_all,149.78273257059183,True,SVM-rbf
1,f_classif,True,Word_freq_email,146.1110936863516,False,SVM-rbf
1,f_classif,True,Word_freq_addresses,135.98789084125696,False,SVM-rbf
1,f_classif,True,Word_freq_credit,134.2255294557016,False,SVM-rbf
1,f_classif,True,Word_freq_george,132.0155402574219,False,SVM-rbf
1,f_classif,True,Word_freq_1999,114.25601432444543,False,SVM-rbf
1,f_classif,True,Word_freq_85,108.34364819081767,False,SVM-rbf
1,f_classif,True,Word_freq_labs,106.6323852657882,False,SVM-rbf
1,f_classif,True,Word_freq_650,101.51774727535962,False,SVM-rbf
1,f_classif,True,Word_freq_mail,86.48512068151567,False,SVM-rbf
1,f_classif,True,Word_freq_edu,81.39730286111103,False,SVM-rbf
1,f_classif,True,Word_freq_original,74.68336981693997,False,SVM-rbf
1,f_classif,True,Word_freq_re,72.95268630920933,False,SVM-rbf
1,f_classif,True,Word_freq_meeting,70.94764615018163,False,SVM-rbf
1,f_classif,True,Word_freq_telnet,69.86000830432968,False,SVM-rbf
1,f_classif,True,Word_freq_technology,69.44522564905958,False,SVM-rbf
1,f_classif,True,Word_freq_lab,64.34310323804527,False,SVM-rbf
1,f_classif,True,Word_freq_people,63.20413504885633,False,SVM-rbf
1,f_classif,True,Word_freq_make,61.26777327493131,False,SVM-rbf
1,f_classif,True,Word_freq_pm,57.412753022229836,False,SVM-rbf
1,f_classif,True,Word_freq_data,56.161959343349835,False,SVM-rbf
1,f_classif,True,Word_freq_857,48.41998270991965,False,SVM-rbf
1,f_classif,True,Capital_run_length_average,43.69028658693621,False,SVM-rbf
1,f_classif,True,Word_freq_cs,36.32665769138542,False,SVM-rbf
1,f_classif,True,Word_freq_project,32.815591644101815,False,SVM-rbf
1,f_classif,True,Char_freq2,30.970913577781484,False,SVM-rbf
1,f_classif,True,Word_freq_conference,28.598815337759707,False,SVM-rbf
1,f_classif,True,Word_freq_font,27.882547594485057,False,SVM-rbf
1,f_classif,True,Word_freq_report,26.597305017786596,False,SVM-rbf
1,f_classif,True,Char_freq6,22.298986862282494,False,SVM-rbf
1,f_classif,True,Char_freq3,17.036600890231412,False,SVM-rbf
1,f_classif,True,Word_freq_direct,16.79729617364607,False,SVM-rbf
1,f_classif,True,Char_freq1,12.49783343102717,False,SVM-rbf
1,f_classif,True,Word_freq_3d,9.557632426498408,False,SVM-rbf
1,f_classif,True,Word_freq_table,6.22303942012472,False,SVM-rbf
1,f_classif,True,Word_freq_parts,5.261089112618326,False,SVM-rbf
1,f_classif,True,Word_freq_address,3.780246863812794,False,SVM-rbf
1,f_classif,True,Word_freq_will,0.23343566716226855,False,SVM-rbf
1,rf,True,Char_freq4,0.12708144173374533,True,SVM-rbf
1,rf,True,Char_freq5,0.09181410662820325,True,SVM-rbf
1,rf,True,Word_freq_remove,0.0878547511338772,True,SVM-rbf
1,rf,True,Word_freq_free,0.07065753807062526,True,SVM-rbf
1,rf,True,Capital_run_length_average,0.06981232918105558,True,SVM-rbf
1,rf,True,Capital_run_length_longest,0.053859860441493664,True,SVM-rbf
1,rf,True,Word_freq_your,0.04581074957443581,True,SVM-rbf
1,rf,True,Word_freq_hp,0.04363255364108555,True,SVM-rbf
1,rf,True,Capital_run_length_total,0.04233399989503235,True,SVM-rbf
1,rf,True,Word_freq_money,0.032552865791409306,True,SVM-rbf
1,rf,True,Word_freq_you,0.030344357385040575,True,SVM-rbf
1,rf,True,Word_freq_our,0.027120256537901878,True,SVM-rbf
1,rf,True,Word_freq_000,0.025152861799372855,True,SVM-rbf
1,rf,True,Word_freq_george,0.02091898411011577,True,SVM-rbf
1,rf,True,Word_freq_edu,0.018823838574989062,True,SVM-rbf
1,rf,True,Word_freq_hpl,0.01829261783793609,True,SVM-rbf
1,rf,True,Word_freq_internet,0.01366636674340864,True,SVM-rbf
1,rf,True,Char_freq2,0.011975845134028417,True,SVM-rbf
1,rf,True,Word_freq_will,0.011497527500708026,True,SVM-rbf
1,rf,True,Word_freq_business,0.01135038896300673,False,SVM-rbf
1,rf,True,Word_freq_all,0.011272099473762762,False,SVM-rbf
1,rf,True,Word_freq_re,0.010220003419433053,False,SVM-rbf
1,rf,True,Word_freq_mail,0.009885742783944674,False,SVM-rbf
1,rf,True,Word_freq_1999,0.009860595535394976,False,SVM-rbf
1,rf,True,Word_freq_receive,0.009115958526500866,False,SVM-rbf
1,rf,True,Word_freq_over,0.008231198466992122,False,SVM-rbf
1,rf,True,Word_freq_email,0.00813489223702262,False,SVM-rbf
1,rf,True,Word_freq_meeting,0.005304052655549068,False,SVM-rbf
1,rf,True,Word_freq_address,0.005281658091206258,False,SVM-rbf
1,rf,True,Char_freq1,0.005250641347625922,False,SVM-rbf
1,rf,True,Word_freq_650,0.004721633913266681,False,SVM-rbf
1,rf,True,Word_freq_credit,0.004694500499940809,False,SVM-rbf
1,rf,True,Word_freq_order,0.003991485405815236,False,SVM-rbf
1,rf,True,Word_freq_people,0.003786937456436239,False,SVM-rbf
1,rf,True,Word_freq_85,0.0037313653584897188,False,SVM-rbf
1,rf,True,Char_freq6,0.0037054283624542495,False,SVM-rbf
1,rf,True,Word_freq_labs,0.003406676185601833,False,SVM-rbf
1,rf,True,Word_freq_make,0.0033354913498190395,False,SVM-rbf
1,rf,True,Word_freq_pm,0.00327922598089323,False,SVM-rbf
1,rf,True,Word_freq_technology,0.003065432582259036,False,SVM-rbf
1,rf,True,Char_freq3,0.002766653314828547,False,SVM-rbf
1,rf,True,Word_freq_data,0.002575788377280705,False,SVM-rbf
1,rf,True,Word_freq_font,0.0025386567818115047,False,SVM-rbf
1,rf,True,Word_freq_report,0.0024862127905557045,False,SVM-rbf
1,rf,True,Word_freq_telnet,0.002383327901441304,False,SVM-rbf
1,rf,True,Word_freq_project,0.0019370862257855168,False,SVM-rbf
1,rf,True,Word_freq_original,0.0017747698087679919,False,SVM-rbf
1,rf,True,Word_freq_lab,0.0016332439488957204,False,SVM-rbf
1,rf,True,Word_freq_conference,0.0014505718406735886,False,SVM-rbf
1,rf,True,Word_freq_cs,0.0014229493945272782,False,SVM-rbf
1,rf,True,Word_freq_direct,0.0012255754692235858,False,SVM-rbf
1,rf,True,Word_freq_addresses,0.0011911206124125531,False,SVM-rbf
1,rf,True,Word_freq_857,0.0006653207187378496,False,SVM-rbf
1,rf,True,Word_freq_3d,0.0005353118244135179,False,SVM-rbf
1,rf,True,Word_freq_parts,0.00034866303672521253,False,SVM-rbf
1,rf,True,Word_freq_table,0.00023648764403984542,False,SVM-rbf
1,relief,True,Word_freq_george,0.014381307861544925,True,SVM-rbf
1,relief,True,Word_freq_you,0.011635595684888029,True,SVM-rbf
1,relief,True,Word_freq_your,0.010856297215253314,True,SVM-rbf
1,relief,True,Word_freq_hp,0.008676925482730365,True,SVM-rbf
1,relief,True,Word_freq_free,0.008297164808267634,True,SVM-rbf
1,relief,True,Word_freq_will,0.008146908913368818,True,SVM-rbf
1,relief,True,Char_freq4,0.006404174551127696,True,SVM-rbf
1,relief,True,Capital_run_length_total,0.006346719333523226,True,SVM-rbf
1,relief,True,Char_freq5,0.006338889751933053,True,SVM-rbf
1,relief,True,Word_freq_our,0.0054299755235245935,True,SVM-rbf
1,relief,True,Word_freq_85,0.005086814709566146,True,SVM-rbf
1,relief,True,Word_freq_remove,0.004661116969720323,True,SVM-rbf
1,relief,True,Word_freq_labs,0.00461800140235583,True,SVM-rbf
1,relief,True,Word_freq_telnet,0.004458329429133625,True,SVM-rbf
1,relief,True,Word_freq_000,0.004106893084460099,True,SVM-rbf
1,relief,True,Word_freq_all,0.004094722359980157,True,SVM-rbf
1,relief,True,Word_freq_hpl,0.004072546614511988,True,SVM-rbf
1,relief,True,Word_freq_technology,0.00403888014378204,True,SVM-rbf
1,relief,True,Word_freq_650,0.004027748981044435,True,SVM-rbf
1,relief,True,Word_freq_857,0.0031545914531164575,False,SVM-rbf
1,relief,True,Word_freq_receive,0.003143325445427128,False,SVM-rbf
1,relief,True,Word_freq_direct,0.002981016447917175,False,SVM-rbf
1,relief,True,Word_freq_address,0.0029800242098470976,False,SVM-rbf
1,relief,True,Word_freq_re,0.002956193990605023,False,SVM-rbf
1,relief,True,Word_freq_1999,0.0027861262869293122,False,SVM-rbf
1,relief,True,Word_freq_mail,0.0026736413102827756,False,SVM-rbf
1,relief,True,Word_freq_order,0.0026332685659804884,False,SVM-rbf
1,relief,True,Word_freq_over,0.0023454402157925985,False,SVM-rbf
1,relief,True,Word_freq_business,0.002290222588899601,False,SVM-rbf
1,relief,True,Char_freq2,0.0022773697125759978,False,SVM-rbf
1,relief,True,Word_freq_edu,0.002224804925142946,False,SVM-rbf
1,relief,True,Word_freq_money,0.0020347152570029817,False,SVM-rbf
1,relief,True,Char_freq1,0.0018043668165603941,False,SVM-rbf
1,relief,True,Word_freq_report,0.0017790435052352674,False,SVM-rbf
1,relief,True,Word_freq_original,0.0017019872947819353,False,SVM-rbf
1,relief,True,Word_freq_addresses,0.0016501547586671207,False,SVM-rbf
1,relief,True,Word_freq_font,0.001521969187314262,False,SVM-rbf
1,relief,True,Word_freq_internet,0.0015029960978148386,False,SVM-rbf
1,relief,True,Word_freq_lab,0.0012744317199275758,False,SVM-rbf
1,relief,True,Word_freq_make,0.0012456871648270805,False,SVM-rbf
1,relief,True,Word_freq_email,0.0012147312945583533,False,SVM-rbf
1,relief,True,Capital_run_length_longest,0.0009062504050277792,False,SVM-rbf
1,relief,True,Word_freq_meeting,0.0007224540618531942,False,SVM-rbf
1,relief,True,Capital_run_length_average,0.0006415268471517168,False,SVM-rbf
1,relief,True,Word_freq_people,0.0005353316329655754,False,SVM-rbf
1,relief,True,Word_freq_pm,0.0005292269776338528,False,SVM-rbf
1,relief,True,Word_freq_cs,0.00046863346916139266,False,SVM-rbf
1,relief,True,Word_freq_credit,0.0004554117364415293,False,SVM-rbf
1,relief,True,Word_freq_data,0.0003954696530300319,False,SVM-rbf
1,relief,True,Word_freq_table,0.00011342145532886754,False,SVM-rbf
1,relief,True,Word_freq_project,5.716616807180045e-05,False,SVM-rbf
1,relief,True,Char_freq6,3.282769619503354e-05,False,SVM-rbf
1,relief,True,Word_freq_3d,1.670008526013517e-05,False,SVM-rbf
1,relief,True,Word_freq_parts,6.210997508253135e-07,False,SVM-rbf
1,relief,True,Char_freq3,-1.0231351973235523e-05,False,SVM-rbf
1,relief,True,Word_freq_conference,-0.000105803644275224,False,SVM-rbf
1,xgb,True,Word_freq_remove,0.12862907350063324,True,SVM-rbf
1,xgb,True,Char_freq5,0.12041806429624557,True,SVM-rbf
1,xgb,True,Char_freq4,0.10925840586423874,True,SVM-rbf
1,xgb,True,Word_freq_hp,0.06594260036945343,True,SVM-rbf
