y,Hostility,N1,kDN,subset_k,variables_incluidas,measure,level
0,0.6618181818181819,0.6836363636363636,0.6887272727272727,1,f3,Hostility,0
1,0.0910344827586207,0.2593103448275862,0.26317241379310347,1,f3,Hostility,1
dataset,0.248,0.376,0.38020000000000004,1,f3,Hostility,dataset
0,0.7381818181818182,0.676060606060606,0.7010909090909091,2,"f3,f96",Hostility,0
1,0.08551724137931034,0.26655172413793105,0.2747586206896552,2,"f3,f96",Hostility,1
dataset,0.265,0.37916666666666665,0.392,2,"f3,f96",Hostility,dataset
0,0.8109090909090909,0.7133333333333333,0.7083636363636364,3,"f3,f96,f142",Hostility,0
1,0.08413793103448276,0.271816091954023,0.2750344827586207,3,"f3,f96,f142",Hostility,1
dataset,0.284,0.3932333333333333,0.39420000000000005,3,"f3,f96,f142",Hostility,dataset
0,0.76,0.7359393939393939,0.7141818181818183,4,"f3,f96,f142,f112",Hostility,0
1,0.08827586206896551,0.28151724137931033,0.27062068965517244,4,"f3,f96,f142,f112",Hostility,1
dataset,0.273,0.40648333333333336,0.3926,4,"f3,f96,f142,f112",Hostility,dataset
0,0.7890909090909091,0.71,0.7265454545454546,5,"f3,f96,f142,f112,f12",Hostility,0
1,0.05931034482758621,0.2654482758620689,0.272,5,"f3,f96,f142,f112,f12",Hostility,1
dataset,0.26,0.38770000000000004,0.397,5,"f3,f96,f142,f112,f12",Hostility,dataset
0,0.7381818181818182,0.7155151515151515,0.7061818181818182,6,"f3,f96,f142,f112,f12,f150",Hostility,0
1,0.0896551724137931,0.2687750410509031,0.27062068965517244,6,"f3,f96,f142,f112,f12,f150",Hostility,1
dataset,0.268,0.39162857142857144,0.3904000000000001,6,"f3,f96,f142,f112,f12,f150",Hostility,dataset
0,0.7236363636363636,0.6421818181818182,0.6967272727272728,7,"f3,f96,f142,f112,f12,f150,f83",Hostility,0
1,0.07862068965517241,0.2542331691297208,0.26620689655172414,7,"f3,f96,f142,f112,f12,f150,f83",Hostility,1
dataset,0.256,0.3609190476190476,0.3846,7,"f3,f96,f142,f112,f12,f150,f83",Hostility,dataset
0,0.7927272727272727,0.7315151515151515,0.7127272727272728,8,"f3,f96,f142,f112,f12,f150,f83,f64",Hostility,0
1,0.08,0.24844991789819376,0.2675862068965517,8,"f3,f96,f142,f112,f12,f150,f83,f64",Hostility,1
dataset,0.276,0.38129285714285716,0.39,8,"f3,f96,f142,f112,f12,f150,f83,f64",Hostility,dataset
0,0.730909090909091,0.7118095238095238,0.7069090909090909,9,"f3,f96,f142,f112,f12,f150,f83,f64,f38",Hostility,0
1,0.08137931034482758,0.2655862068965517,0.25958620689655176,9,"f3,f96,f142,f112,f12,f150,f83,f64,f38",Hostility,1
dataset,0.26,0.38829761904761906,0.3826,9,"f3,f96,f142,f112,f12,f150,f83,f64,f38",Hostility,dataset
0,0.6909090909090909,0.6939047619047619,0.7258181818181818,10,"f3,f96,f142,f112,f12,f150,f83,f64,f38,f86",Hostility,0
1,0.10344827586206896,0.24373727422003283,0.2562758620689655,10,"f3,f96,f142,f112,f12,f150,f83,f64,f38,f86",Hostility,1
dataset,0.265,0.3675333333333333,0.38539999999999996,10,"f3,f96,f142,f112,f12,f150,f83,f64,f38,f86",Hostility,dataset
0,0.7127272727272728,0.701025974025974,0.7265454545454546,11,"f3,f96,f142,f112,f12,f150,f83,f64,f38,f86,f22",Hostility,0
