dataset,subset,model,fold,n_features,acc_train,gps_train,acc_test,gps_test,Hostility,kDN,N1
ArtificialDataset18c,all,SVM-rbf,0,50,0.815,0.7177026774012358,0.7,0.27685950413223137,0.2875,0.428,0.38907188644688645
ArtificialDataset18c,all,SVM-rbf,1,50,0.82,0.7262103505843072,0.67,0.0,0.265,0.4065000000000001,0.4152807539682539
ArtificialDataset18c,all,SVM-rbf,2,50,0.825,0.7372013651877134,0.73,0.408285800060042,0.345,0.42849999999999994,0.40366941391941397
ArtificialDataset18c,all,SVM-rbf,3,50,0.8175,0.717753473248596,0.71,0.3423826253593102,0.305,0.4235,0.38135912698412705
ArtificialDataset18c,all,SVM-rbf,4,50,0.8275,0.7401085583586522,0.63,0.1731110322809507,0.285,0.4045,0.34858905677655677
ArtificialDataset18c,all,KNN,0,50,0.75,0.6682003185276942,0.66,0.5359801488833746,0.2875,0.428,0.38907188644688645
ArtificialDataset18c,all,KNN,1,50,0.7625,0.6753101222559645,0.68,0.4397528321318229,0.265,0.4065000000000001,0.4152807539682539
ArtificialDataset18c,all,KNN,2,50,0.7575,0.6850210586104533,0.68,0.5354397950469684,0.345,0.42849999999999994,0.40366941391941397
ArtificialDataset18c,all,KNN,3,50,0.77,0.6746727898966703,0.66,0.5188679245283018,0.305,0.4235,0.38135912698412705
ArtificialDataset18c,all,KNN,4,50,0.7675,0.6829040749008762,0.64,0.52,0.285,0.4045,0.34858905677655677
ArtificialDataset18c,informative,SVM-rbf,0,20,0.795,0.6762514898688915,0.73,0.48389630793401417,0.2875,0.3960000000000001,0.3664087301587301
ArtificialDataset18c,informative,SVM-rbf,1,20,0.8175,0.725995477450384,0.7,0.33460076045627374,0.3275,0.40299999999999997,0.3855955086580087
ArtificialDataset18c,informative,SVM-rbf,2,20,0.8075,0.7002591141910214,0.74,0.4589426321709786,0.2825,0.3990000000000001,0.35962400793650784
ArtificialDataset18c,informative,SVM-rbf,3,20,0.805,0.7004865483686319,0.71,0.4310583033987289,0.2775,0.381,0.3771460084033613
