dataset,subset,model,n_features,acc_train_mean,acc_train_std,acc_test_mean,acc_test_std,gps_train_mean,gps_train_std,gps_test_mean,gps_test_std,Hostility_mean,Hostility_std,kDN_mean,kDN_std,N1_mean,N1_std
ArtificialDataset21,all,KNN,600,0.8637499999999999,0.009312290266094597,0.76,0.01274754878398195,0.8507217401590446,0.012029416106467836,0.7227824555636995,0.018796213456130296,0.27475,0.024628489600460688,0.35125,0.00990107317415642,0.2857750444422653,0.015193432319214127
ArtificialDataset21,all,SVM-rbf,600,0.9869999999999999,0.0024366985862022805,0.679,0.024341322889276148,0.9864195586717693,0.002556747615303087,0.5436734292047982,0.04737171677919149,0.27475,0.024628489600460688,0.35125,0.00990107317415642,0.2857750444422653,0.015193432319214127
ArtificialDataset21,informative,KNN,300,0.91075,0.007885905147793689,0.8150000000000001,0.02236067977499787,0.9052024169717082,0.007989082535602923,0.7989954652172406,0.027648187852192287,0.23325,0.010846946574958322,0.31085,0.009592640408146245,0.2482728863340454,0.012458596620497805
ArtificialDataset21,informative,SVM-rbf,300,0.99025,0.0016298006013006846,0.727,0.03615936946352908,0.9898307356531937,0.001708857454581987,0.6502733419069714,0.06373632779845315,0.23325,0.010846946574958322,0.31085,0.009592640408146245,0.2482728863340454,0.012458596620497805
ArtificialDataset21,informative+noise,KNN,400,0.8865000000000001,0.0047925723781702045,0.777,0.021965882636488833,0.8772940296119464,0.0065652836210345605,0.7487253262923919,0.029301080574826697,0.23825,0.019051738765792484,0.34340000000000004,0.00612015114192452,0.2929262036319246,0.011747087911742839
ArtificialDataset21,informative+noise,SVM-rbf,400,0.99125,0.0012499999999999955,0.6839999999999999,0.021035683967962536,0.9908782543502891,0.001310610406855506,0.5604961458458697,0.0601047518609181,0.23825,0.019051738765792484,0.34340000000000004,0.00612015114192452,0.2929262036319246,0.011747087911742839
ArtificialDataset21,informative+rand_extra,KNN,303,0.9025000000000001,0.006495190528383273,0.8150000000000001,0.019685019685029507,0.8962786043917326,0.006665862314530625,0.7992648695977539,0.024070386635491672,0.2285,0.027047412075834533,0.3128,0.010959299703904461,0.24476740939027644,0.012577762427686092
ArtificialDataset21,informative+rand_extra,SVM-rbf,303,0.9904999999999999,0.002091650066335224,0.7310000000000001,0.03542597916783668,0.9900919834417659,0.002190681956471083,0.6603265985193341,0.05799932920795622,0.2285,0.027047412075834533,0.3128,0.010959299703904461,0.24476740939027644,0.012577762427686092
ArtificialDataset21,informative+redundant,KNN,400,0.8949999999999999,0.005659615711335907,0.797,0.027064737205448677,0.8876314122501577,0.005701754268392327,0.7757039045476072,0.0389733917736099,0.24275000000000002,0.022936733638423756,0.3264,0.007629302065064684,0.26020424102818096,0.014137482178514838
ArtificialDataset21,informative+redundant,SVM-rbf,400,0.9890000000000001,0.0027099354235848834,0.731,0.03489269264473582,0.9885181727119037,0.0028438723200977945,0.6591550412273935,0.05253182779561459,0.24275000000000002,0.022936733638423756,0.3264,0.007629302065064684,0.26020424102818096,0.014137482178514838
ArtificialDataset21,informative+redundant_nonLinear,KNN,400,0.8852499999999999,0.002709935423584829,0.8039999999999999,0.04052776825831887,0.8761776721124985,0.002955293089645932,0.7788979645099279,0.05528943811975417,0.25025,0.022851422275210788,0.3274,0.013321270585045552,0.27496297058506153,0.025530237078993354
ArtificialDataset21,informative+redundant_nonLinear,SVM-rbf,400,0.9865,0.0010458250331676269,0.693,0.03751666296460815,0.9858958253079187,0.0010992186949356666,0.5857719999876134,0.06663633826801992,0.25025,0.022851422275210788,0.3274,0.013321270585045552,0.27496297058506153,0.025530237078993354
