feature,level,Hostility,N1,kDN
f0,0,0.5991666666666666,0.5918055555555555,0.5971666666666667
f0,1,0.21444444444444444,0.395,0.39822222222222226
f0,dataset,0.36833333333333335,0.47372222222222216,0.47780000000000006
f1,0,0.6266666666666667,0.6041666666666666,0.6086666666666667
f1,1,0.2361111111111111,0.40305555555555556,0.40455555555555556
f1,dataset,0.3923333333333333,0.4835,0.48619999999999997
f10,0,0.5291666666666667,0.54625,0.553
f10,1,0.2238888888888889,0.3641666666666667,0.36900000000000005
f10,dataset,0.346,0.437,0.4426
f11,0,0.585,0.5933333333333334,0.5953333333333333
f11,1,0.24222222222222223,0.395,0.39922222222222226
f11,dataset,0.37933333333333336,0.47433333333333333,0.4776666666666667
f12,0,0.5758333333333333,0.5858333333333333,0.5988333333333333
f12,1,0.2644444444444444,0.3902777777777778,0.39799999999999996
f12,dataset,0.389,0.4685,0.47833333333333333
f13,0,0.6075,0.5954166666666667,0.603
f13,1,0.23777777777777778,0.39694444444444443,0.4046666666666667
f13,dataset,0.38566666666666666,0.47633333333333333,0.484
f14,0,0.49,0.5375,0.5501666666666667
f14,1,0.24555555555555555,0.35805555555555557,0.36711111111111117
f14,dataset,0.3433333333333333,0.42983333333333335,0.44033333333333335
f15,0,0.6241666666666666,0.6029166666666667,0.6146666666666667
f15,1,0.23277777777777778,0.40166666666666667,0.3998888888888889
f15,dataset,0.3893333333333333,0.4821666666666667,0.4858
f16,0,0.5191666666666667,0.5683333333333334,0.5636666666666666
f16,1,0.22,0.3788888888888889,0.37488888888888894
f16,dataset,0.3396666666666667,0.45466666666666666,0.4504
f17,0,0.5516666666666666,0.5841666666666666,0.5775
f17,1,0.26555555555555554,0.3894444444444444,0.3787777777777778
f17,dataset,0.38,0.4673333333333333,0.45826666666666666
f18,0,0.5616666666666666,0.5820833333333333,0.5706666666666668
f18,1,0.2011111111111111,0.38759259259259254,0.38355555555555554
f18,dataset,0.3453333333333333,0.46538888888888885,0.4583999999999999
f19,0,0.57,0.5725,0.5783333333333334
f19,1,0.24055555555555555,0.38166666666666665,0.38666666666666666
f19,dataset,0.37233333333333335,0.458,0.4633333333333333
f2,0,0.5575,0.5720833333333334,0.5695
f2,1,0.19444444444444445,0.3811111111111111,0.3781111111111111
f2,dataset,0.3396666666666667,0.4575,0.45466666666666666
f20,0,0.5925,0.6166666666666667,0.5968333333333333
f20,1,0.22833333333333333,0.4111111111111111,0.3988888888888889
f20,dataset,0.374,0.49333333333333335,0.4780666666666667
f21,0,0.5883333333333334,0.6008333333333333,0.606
f21,1,0.24444444444444444,0.40055555555555555,0.3967777777777778
f21,dataset,0.382,0.4806666666666667,0.4804666666666667
f22,0,0.5925,0.59375,0.605
f22,1,0.2311111111111111,0.39611111111111114,0.40622222222222226
f22,dataset,0.37566666666666665,0.4751666666666667,0.4857333333333333
f23,0,0.5558333333333333,0.5958333333333333,0.5945
f23,1,0.23055555555555557,0.39694444444444443,0.39811111111111114
f23,dataset,0.3606666666666667,0.4765,0.4766666666666667
f24,0,0.5825,0.6058333333333333,0.5975
f24,1,0.235,0.4041666666666667,0.40455555555555556
f24,dataset,0.374,0.48483333333333334,0.4817333333333333
f25,0,0.5958333333333333,0.5766666666666667,0.5973333333333333
f25,1,0.2477777777777778,0.3844444444444444,0.39366666666666666
f25,dataset,0.387,0.4613333333333333,0.47513333333333335
f26,0,0.58,0.6041666666666666,0.5968333333333333
f26,1,0.24666666666666667,0.40305555555555556,0.4013333333333333
f26,dataset,0.38,0.4835,0.4795333333333333
f27,0,0.6258333333333334,0.6016666666666667,0.5975
f27,1,0.23444444444444446,0.4013888888888889,0.4028888888888889
f27,dataset,0.391,0.4815,0.48073333333333335
f28,0,0.5625,0.5866666666666667,0.5858333333333333
f28,1,0.2338888888888889,0.3913888888888889,0.3927777777777778
f28,dataset,0.36533333333333334,0.4695,0.47
